TOKEN_ID,TOKEN_NAME,hat,material,earring,mouth,eyes,face,neck,body,RARITY_SCORE,Rank
3860,Incognito #3860,2.8732758620689656,20664.6,7.851291793313069,3.474209818426362,13476.91304347826,3.967349289645463,44281.28571428572,10.390486725663717,78451.3553712531,1
8256,Incognito #8256,9999.0,20664.6,7.851291793313069,20664.6,13476.91304347826,3.967349289645463,6.1484706629110955,10.390486725663717,64833.47064194979,2
613,Incognito #613,2.8732758620689656,20664.6,7.851291793313069,3.474209818426362,4.083913043478261,30996.9,6.1484706629110955,10.390486725663717,51696.32164790586,3
6850,Incognito #6850,9999.0,20664.6,7.851291793313069,20664.6,4.083913043478261,3.967349289645463,6.1484706629110955,10.390486725663717,51360.64151151501,4
761,Incognito #761,9999.0,20664.6,7.851291793313069,135.95131578947365,13476.91304347826,3.967349289645463,6.1484706629110955,10.390486725663717,44304.82195773927,5
6734,Incognito #6734,9999.0,20664.6,7.851291793313069,3.474209818426362,13476.91304347826,3.967349289645463,6.1484706629110955,10.390486725663717,44172.34485176822,6
9893,Incognito #9893,9999.0,20664.6,7.851291793313069,3.474209818426362,13476.91304347826,3.967349289645463,6.1484706629110955,10.390486725663717,44172.34485176822,7
9995,Incognito #9995,9999.0,898.4608695652174,89.71606367583212,3.474209818426362,44.77379748663874,3.967349289645463,6.1484706629110955,10.390486725663717,11055.931247224336,8
4579,Incognito #4579,2.8732758620689656,898.4608695652174,7.851291793313069,3.474209818426362,16.80413097690556,88.059375,6.1484706629110955,3690.107142857143,4713.778766535986,9
4772,Incognito #4772,2.8732758620689656,5.904171428571428,89.71606367583212,3.474209818426362,38.83836611953389,68.72926829268293,76.61122095897183,3826.777777777778,4112.924353933865,10
6982,Incognito #6982,2.8732758620689656,5.904171428571428,89.71606367583212,3.474209818426362,38.83836611953389,68.72926829268293,68.8666962897134,3826.777777777778,4105.179829264607,11
9845,Incognito #9845,2.8732758620689656,5.904171428571428,132.46538461538464,3.474209818426362,50.475329750854904,3.967349289645463,76.61122095897183,3826.777777777778,4102.548719501701,12
4319,Incognito #4319,2.8732758620689656,5.904171428571428,132.46538461538464,3.474209818426362,38.83836611953389,3.967349289645463,47.97539080637672,3826.777777777778,4062.2759257177854,13
9795,Incognito #9795,2.8732758620689656,5.904171428571428,132.46538461538464,3.474209818426362,4.083913043478261,3.967349289645463,76.61122095897183,3826.777777777778,4056.157302794325,14
6025,Incognito #6025,2.8732758620689656,5.904171428571428,89.71606367583212,3.474209818426362,50.475329750854904,3.967349289645463,47.97539080637672,3826.777777777778,4031.1635684095536,15
