TOKEN_ID,TOKEN_NAME,Clan,Background,Body,Apparel,Mouth,Eyes,Head,Item,Face,Hat,Hand,NUM_TRAITS,RARITY_SCORE,Rank
3238,Zerivugs Kedu #3238,27.277084957131724,10.987912087912088,32.72842046198447,28.431635388739952,30.591346153846153,24.003086419753085,30.474137931034484,26.99722286507753,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.70796660731244,7143
7716,Zerivugs Kedu #7716,27.277084957131724,10.987912087912088,31.768790849673202,29.054794520547947,30.548620810055862,24.379310344827587,30.474137931034484,26.99722286507753,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.70499470809338,7144
1496,Ma'argaths Kedu #1496,19.540201005025125,27.88565737051793,23.18263116057234,51.73170731707317,22.502893518518515,23.782874617737,32.530674846625764,3.369000173280194,11.39542834814887,4.271043093032622,6.55930202046707,15.951729796253248,242.7031432672519,7145
162,Zerivugs Kedu #162,27.277084957131724,10.83482972136223,31.768790849673202,29.37673130193906,30.548620810055862,25.923333333333332,29.78932584269663,25.952169076751947,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.68800623477694,7146
4695,Ma'argaths Kedu #4695,19.540201005025125,28.744558521560574,43.339318885448925,27.68929503916449,22.73681133056133,26.542662116040955,32.530674846625764,3.369000173280194,11.39542834814887,4.271043093032622,6.55930202046707,15.951729796253248,242.67002517560923,7147
6474,Zerivugs Kedu #6474,27.277084957131724,10.83482972136223,32.115719922914565,28.129973474801066,30.591346153846153,27.974820143884894,30.474137931034484,24.03935980217063,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.65439244897868,7148
7056,Zerivugs Kedu #7056,27.277084957131724,10.987912087912088,32.72842046198447,29.54038997214485,30.591346153846153,23.49546827794562,29.78932584269663,26.99722286507753,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.62429096057204,7149
2080,Ma'argaths Kedu #2080,19.540201005025125,27.234630350194546,22.924472684396697,50.02358490566038,22.73681133056133,27.192307692307693,31.375739644970412,3.369000173280194,11.39542834814887,4.271043093032622,6.55930202046707,15.951729796253248,242.57425104429822,7150
5780,Zerivugs Kedu #5780,27.277084957131724,10.987912087912088,32.72842046198447,28.431635388739952,30.591346153846153,23.855828220858896,30.474137931034484,26.99722286507753,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.56070840841824,7151
3301,Zerivugs Kedu #3301,27.277084957131724,10.83482972136223,32.115719922914565,29.054794520547947,30.548620810055862,24.003086419753085,30.474137931034484,26.99722286507753,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.52261748971037,7152
7094,Zerivugs Kedu #7094,27.277084957131724,10.83482972136223,32.72842046198447,29.054794520547947,30.591346153846153,24.379310344827587,30.474137931034484,25.952169076751947,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.5092135093195,7153
2889,Zerivugs Kedu #2889,27.277084957131724,10.83482972136223,31.768790849673202,29.054794520547947,30.548620810055862,27.974820143884894,29.78932584269663,24.03935980217063,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.50474698935605,7154
2671,Ma'argaths Kedu #2671,19.540201005025125,27.024324324324326,22.924472684396697,52.50000000000001,22.73681133056133,24.84664536741214,31.375739644970412,3.369000173280194,11.39542834814887,4.271043093032622,6.55930202046707,15.951729796253248,242.49469778787207,7155
202,Zerivugs Kedu #202,27.277084957131724,10.987912087912088,32.72842046198447,29.054794520547947,30.548620810055862,23.855828220858896,29.78932584269663,26.99722286507753,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.45633010809811,7156
3758,Ma'argaths Kedu #3758,19.540201005025125,27.88565737051793,23.662271805273832,56.40957446808512,22.73681133056133,25.666666666666668,15.266314779270635,3.369000173280194,21.13442840751253,4.271043093032622,6.55930202046707,15.951729796253248,242.45300091594632,7157
7595,Zerivugs Kedu #7595,27.277084957131724,10.987912087912088,32.115719922914565,28.431635388739952,30.548620810055862,24.379310344827587,30.474137931034484,26.99722286507753,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.42876464952673,7158
7092,Zerivugs Kedu #7092,27.277084957131724,10.987912087912088,31.768790849673202,28.129973474801066,30.548620810055862,27.974820143884894,30.474137931034484,24.03935980217063,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.4178203984969,7159
3029,Zerivugs Kedu #3029,27.277084957131724,10.83482972136223,32.72842046198447,28.129973474801066,30.548620810055862,25.923333333333332,29.78932584269663,25.952169076751947,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.4008780199502,7160
2775,Zerivugs Kedu #2775,27.277084957131724,10.987912087912088,32.72842046198447,28.431635388739952,30.591346153846153,24.379310344827587,29.78932584269663,26.99722286507753,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.3993784440491,7161
7506,Zerivugs Kedu #7506,27.277084957131724,10.83482972136223,32.115719922914565,31.75149700598803,30.548620810055862,24.379310344827587,29.78932584269663,24.47821221235224,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.39172115916182,7162
4477,Zerivugs Kedu #4477,27.277084957131724,10.987912087912088,32.115719922914565,31.75149700598803,30.591346153846153,23.49546827794562,30.474137931034484,24.47821221235224,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.38849889095786,7163
2010,Zerivugs Kedu #2010,27.277084957131724,10.83482972136223,31.768790849673202,29.054794520547947,30.548620810055862,25.923333333333332,29.78932584269663,25.952169076751947,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.36606945338582,7164
3844,Zerivugs Kedu #3844,27.277084957131724,10.987912087912088,31.768790849673202,31.75149700598803,30.548620810055862,23.855828220858896,30.474137931034484,24.47821221235224,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.35920441683948,7165
3235,Zerivugs Kedu #3235,27.277084957131724,10.987912087912088,31.768790849673202,29.54038997214485,30.591346153846153,23.49546827794562,30.474137931034484,26.99722286507753,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.3494734365986,7166
3303,Zerivugs Kedu #3303,27.277084957131724,10.987912087912088,32.72842046198447,31.75149700598803,30.548620810055862,24.003086419753085,29.78932584269663,24.03935980217063,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.34242772952547,7167
