TOKEN_ID,TOKEN_NAME,Team,Collab,Secret,Background,Fur,Body,Face,Head,Special,NUM_TRAITS,RARITY_SCORE,Rank
3130,Fangster 3130,12.405583070688879,6.895095095095095,31.006977267611976,52.124101399924335,26.399156845836924,34.316602316602314,34.72969055271948,63.33977011494253,6.20628449149679,31.080428652002258,298.5036898069206,7079
8759,Fangster 8759,12.405583070688879,6.895095095095095,31.006977267611976,52.09453582907922,26.399156845836924,33.66666666666667,62.224028906955745,36.49377483443708,6.20628449149679,31.080428652002258,298.4725316598706,7080
994,Fangster 994,12.405583070688879,6.895095095095095,31.006977267611976,52.124101399924335,26.399156845836924,63.942446043165475,36.62231674087858,31.761152737752163,6.20628449149679,31.080428652002258,298.44354234445245,7081
842,Fangster 842,12.405583070688879,6.895095095095095,31.006977267611976,52.242700037921885,46.6088133299501,37.18828451882845,34.72969055271948,40.076800000000006,6.20628449149679,31.080428652002258,298.4406570163149,7082
7681,Fangster 7681,12.405583070688879,6.895095095095095,31.006977267611976,52.09453582907922,25.272001834441642,33.04089219330855,62.80556188739458,37.61474402730376,6.20628449149679,31.080428652002258,298.42210434842275,7083
3862,Fangster 3862,12.405583070688879,6.895095095095095,31.006977267611976,52.09453582907922,46.6088133299501,36.879668049792535,37.54298950810737,37.61474402730376,6.20628449149679,31.080428652002258,298.33511932112793,7084
2062,Fangster 2062,12.405583070688879,6.895095095095095,31.006977267611976,52.45155149438417,46.6088133299501,39.32743362831858,34.72969055271948,37.61474402730376,6.20628449149679,31.080428652002258,298.32660160957107,7085
6238,Fangster 6238,12.405583070688879,6.895095095095095,31.006977267611976,52.09453582907922,25.272001834441642,60.054054054054056,37.025868440502585,36.253684210526316,6.20628449149679,31.080428652002258,298.2945129454988,7086
7948,Fangster 7948,12.405583070688879,6.895095095095095,31.006977267611976,52.124101399924335,26.399156845836924,34.316602316602314,35.93687230989957,61.91640449438202,6.20628449149679,31.080428652002258,298.28750594354017,7087
3517,Fangster 3517,12.405583070688879,6.895095095095095,31.006977267611976,52.09453582907922,46.6088133299501,35.41035856573705,37.025868440502585,39.50222222222222,6.20628449149679,31.080428652002258,298.23616696438614,7088
4638,Fangster 4638,12.405583070688879,6.895095095095095,31.006977267611976,52.45155149438417,46.6088133299501,36.5761316872428,38.733113094819714,36.253684210526316,6.20628449149679,31.080428652002258,298.21766239381805,7089
6751,Fangster 6751,12.405583070688879,6.895095095095095,31.006977267611976,50.15983979610413,26.399156845836924,33.04089219330855,61.93728222996516,39.08198581560284,6.20628449149679,31.080428652002258,298.21352545771254,7090
2903,Fangster 2903,12.405583070688879,6.895095095095095,31.006977267611976,52.124101399924335,46.6088133299501,35.41035856573705,38.29171009658815,38.13536332179931,6.20628449149679,31.080428652002258,298.1647152908939,7091
8356,Fangster 8356,12.405583070688879,6.895095095095095,31.006977267611976,52.124101399924335,25.272001834441642,37.50210970464135,38.845058508388554,56.8098969072165,6.20628449149679,31.080428652002258,298.1475369315073,7092
1817,Fangster 1817,12.405583070688879,6.895095095095095,31.006977267611976,52.09453582907922,46.6088133299501,38.98245614035088,34.72969055271948,38.13536332179931,6.20628449149679,31.080428652002258,298.145227750794,7093
3397,Fangster 3397,12.405583070688879,6.895095095095095,31.006977267611976,52.242700037921885,26.399156845836924,38.476190476190474,36.62231674087858,56.8098969072165,6.20628449149679,31.080428652002258,298.1446295849393,7094
2232,Fangster 2232,12.405583070688879,6.895095095095095,31.006977267611976,52.242700037921885,46.6088133299501,33.66666666666667,35.93687230989957,42.06534351145038,6.20628449149679,31.080428652002258,298.11476443278355,7095
8086,Fangster 8086,12.405583070688879,6.895095095095095,31.006977267611976,52.09453582907922,26.399156845836924,33.66666666666667,62.224028906955745,36.13481967213115,6.20628449149679,31.080428652002258,298.1135764975647,7096
5905,Fangster 5905,12.405583070688879,6.895095095095095,31.006977267611976,52.242700037921885,46.6088133299501,37.18828451882845,35.93687230989957,38.535384615384615,6.20628449149679,31.080428652002258,298.1064233888796,7097
7770,Fangster 7770,12.405583070688879,6.895095095095095,31.006977267611976,52.242700037921885,46.6088133299501,36.879668049792535,36.62231674087858,38.13536332179931,6.20628449149679,31.080428652002258,298.08323005723736,7098
8100,Fangster 8100,12.405583070688879,6.895095095095095,31.006977267611976,52.09453582907922,25.272001834441642,33.04089219330855,61.93728222996516,38.13536332179931,6.20628449149679,31.080428652002258,298.07444398548887,7099
8827,Fangster 8827,12.405583070688879,6.895095095095095,31.006977267611976,52.45155149438417,46.6088133299501,38.98245614035088,35.93687230989957,36.49377483443708,6.20628449149679,31.080428652002258,298.06783668591675,7100
3201,Fangster 3201,12.405583070688879,6.895095095095095,31.006977267611976,52.45155149438417,46.6088133299501,36.5761316872428,38.29171009658815,36.49377483443708,6.20628449149679,31.080428652002258,298.0163500194973,7101
1520,Fangster 1520,12.405583070688879,6.895095095095095,31.006977267611976,52.124101399924335,46.6088133299501,36.879668049792535,34.72969055271948,40.076800000000006,6.20628449149679,31.080428652002258,298.0134419092814,7102
3118,Fangster 3118,12.405583070688879,6.895095095095095,31.006977267611976,52.242700037921885,46.6088133299501,36.5761316872428,38.733113094819714,36.253684210526316,6.20628449149679,31.080428652002258,298.00881093735575,7103
1321,Fangster 1321,12.405583070688879,6.895095095095095,31.006977267611976,52.09453582907922,46.6088133299501,34.316602316602314,38.845058508388554,38.535384615384615,6.20628449149679,31.080428652002258,297.9947631762998,7104
981,Fangster 981,12.405583070688879,6.895095095095095,31.006977267611976,52.45155149438417,46.6088133299501,37.18828451882845,37.64815194370431,36.49377483443708,6.20628449149679,31.080428652002258,297.98494469819906,7105
7488,Fangster 7488,12.405583070688879,6.895095095095095,31.006977267611976,52.242700037921885,46.6088133299501,37.50210970464135,37.54298950810737,36.49377483443708,6.20628449149679,31.080428652002258,297.98475599195274,7106
6421,Fangster 6421,12.405583070688879,6.895095095095095,31.006977267611976,52.09453582907922,46.6088133299501,34.053639846743295,34.37439960077351,43.220078431372556,6.20628449149679,31.080428652002258,297.94583561481363,7107
7725,Fangster 7725,12.405583070688879,6.895095095095095,31.006977267611976,50.15983979610413,46.6088133299501,40.03603603603604,37.025868440502585,36.49377483443708,6.20628449149679,31.080428652002258,297.9187010139249,7108
