TOKEN_ID,TOKEN_NAME,Editions,Edition #,Birthday,OG Buyer,OG Price,rarity,spectacular,adjective,animal,category,group,conference,creator,Redemptions,Redemption Expiration,benefit,NUM_TRAITS,RARITY_SCORE,Rank
8527,Sorcerer Scholarship,5777.325346673689,53.59553905464435,8.256843800322061,11.907589385366729,18.59020706919232,2370.003420342034,1208.2754221732746,51628.89803921569,52451.66932270916,8008.13199513382,73140.93888888891,25663.4873294347,6419.0,2633073.8000000003,95817.82387190685,2633073.8000000003,11681.78260869565,5600407.286424484,1
8524,Sorcerer Scholarship,5777.325346673689,53.59553905464435,8.256843800322061,11.907589385366729,18.59020706919232,2370.003420342034,1208.2754221732746,51628.89803921569,52451.66932270916,8008.13199513382,73140.93888888891,25663.4873294347,6419.0,2633073.8000000003,95817.82387190685,2633073.8000000003,11681.78260869565,5600407.286424484,2
8523,Sorcerer Scholarship,5777.325346673689,53.59553905464435,8.256843800322061,11.907589385366729,18.59020706919232,2370.003420342034,1208.2754221732746,51628.89803921569,52451.66932270916,8008.13199513382,73140.93888888891,25663.4873294347,6419.0,2633073.8000000003,95817.82387190685,2633073.8000000003,11681.78260869565,5600407.286424484,3
8525,Sorcerer Scholarship,5777.325346673689,53.59553905464435,8.256843800322061,11.907589385366729,18.59020706919232,2370.003420342034,1208.2754221732746,51628.89803921569,52451.66932270916,8008.13199513382,73140.93888888891,25663.4873294347,6419.0,2633073.8000000003,95817.82387190685,2633073.8000000003,11681.78260869565,5600407.286424484,4
8526,Sorcerer Scholarship,5777.325346673689,53.59553905464435,8.256843800322061,11.907589385366729,18.59020706919232,2370.003420342034,1208.2754221732746,51628.89803921569,52451.66932270916,8008.13199513382,73140.93888888891,25663.4873294347,6419.0,2633073.8000000003,95817.82387190685,2633073.8000000003,11681.78260869565,5600407.286424484,5
9653,Video Game Vulture,5777.325346673689,53.59553905464435,10255.0,14789.226016625478,23089.037179936866,2370.003420342034,1208.2754221732746,258144.49019607846,262258.34661354584,4811.903874269006,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1825497.2421142792,6
9049,Tennis Elbow,5777.325346673689,53.59553905464435,10255.0,295.78452033250954,721.5324118730271,2370.003420342034,1208.2754221732746,258144.49019607846,262258.34661354584,20443.119565217392,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1804267.5115408709,7
7235,Ping Pong Kalong,5777.325346673689,53.59553905464435,10255.0,14789.226016625478,721.5324118730271,2370.003420342034,1208.2754221732746,258144.49019607846,262258.34661354584,4811.903874269006,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1803129.7373462152,8
1436,Bubble Hockey Basset Hound,5777.325346673689,53.59553905464435,10255.0,14789.226016625478,721.5324118730271,2370.003420342034,1208.2754221732746,258144.49019607846,262258.34661354584,1474.9461124803945,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1799792.7795844267,9
1757,Checkers Chicken,5777.325346673689,53.59553905464435,10255.0,7394.613008312739,721.5324118730271,2370.003420342034,1208.2754221732746,258144.49019607846,262258.34661354584,4811.903874269006,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1795735.1243379025,10
9532,Uno Unicorn,5777.325346673689,53.59553905464435,10255.0,704.2488579345465,23089.037179936866,2370.003420342034,1208.2754221732746,86048.1633986928,87419.44887118193,1474.9461124803945,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1461140.08265405,11
9530,Uno Unicorn,5777.325346673689,53.59553905464435,2563.75,4929.742005541825,23089.037179936866,2370.003420342034,1208.2754221732746,86048.1633986928,87419.44887118193,1474.9461124803945,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1457674.3258016573,12
9531,Uno Unicorn,5777.325346673689,53.59553905464435,2563.75,3697.3065041563696,23089.037179936866,2370.003420342034,1208.2754221732746,86048.1633986928,87419.44887118193,1474.9461124803945,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1456441.8903002718,13
965,Basketball Butterfly,5777.325346673689,53.59553905464435,1709.1666666666665,14789.226016625478,23089.037179936866,2370.003420342034,1208.2754221732746,51628.89803921569,52451.66932270916,5098.903563129357,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1400916.1390221068,14
962,Basketball Butterfly,5777.325346673689,53.59553905464435,3418.333333333333,7394.613008312739,23089.037179936866,2370.003420342034,1208.2754221732746,51628.89803921569,52451.66932270916,5098.903563129357,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1395230.6926804606,15
964,Basketball Butterfly,5777.325346673689,53.59553905464435,3418.333333333333,4929.742005541825,23089.037179936866,2370.003420342034,1208.2754221732746,51628.89803921569,52451.66932270916,5098.903563129357,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1392765.8216776897,16
963,Basketball Butterfly,5777.325346673689,53.59553905464435,2563.75,3697.3065041563696,23089.037179936866,2370.003420342034,1208.2754221732746,51628.89803921569,52451.66932270916,5098.903563129357,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1390678.802842971,17
966,Basketball Butterfly,5777.325346673689,53.59553905464435,10255.0,643.0098268098033,721.5324118730271,2370.003420342034,1208.2754221732746,51628.89803921569,52451.66932270916,5098.903563129357,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1372948.2513975606,18
1287,Bowling Boa,5777.325346673689,53.59553905464435,1709.1666666666665,14789.226016625478,23089.037179936866,2370.003420342034,1208.2754221732746,28682.72113289761,29139.816290393985,16094.583129584355,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1365653.7886499285,19
1294,Bowling Boa,5777.325346673689,53.59553905464435,10255.0,295.78452033250954,23089.037179936866,2370.003420342034,1208.2754221732746,28682.72113289761,29139.816290393985,16094.583129584355,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1359706.180486969,20
7321,Poker Pirate,5777.325346673689,53.59553905464435,5127.5,4929.742005541825,23089.037179936866,2370.003420342034,1208.2754221732746,258144.49019607846,262258.34661354584,20443.119565217392,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,121901.56481481482,7156.647640791476,1349617.174972595,21
1290,Bowling Boa,5777.325346673689,53.59553905464435,10255.0,7394.613008312739,51.423245389614394,2370.003420342034,1208.2754221732746,28682.72113289761,29139.816290393985,16094.583129584355,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1343767.3950404017,22
1293,Bowling Boa,5777.325346673689,53.59553905464435,10255.0,7394.613008312739,51.423245389614394,2370.003420342034,1208.2754221732746,28682.72113289761,29139.816290393985,16094.583129584355,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1343767.3950404017,23
80,"""Gone Fishing"" Fish",5777.325346673689,53.59553905464435,10255.0,295.78452033250954,23089.037179936866,2370.003420342034,1208.2754221732746,258144.49019607846,262258.34661354584,7463.361111111111,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,121901.56481481482,7156.647640791476,1337130.9590332794,24
