TOKEN_ID,TOKEN_NAME,Backgrounds,Top,Necklace,Hands,Type,Eyes,Head,Mouth,Nose,Earrings,Bracelet,Headphones,Body Mod,Hair,RARITY_SCORE,Rank
5725,DJENERATES #5725,194.935691318328,111.11111111111111,356.8800588668138,125.40400775694894,27.224249228178504,195.95959595959596,124.35897435897435,65.28689214201582,70.82876962395035,566.588785046729,558.1127733026467,23.90634627233518,48.881273936706314,39.26728063961138,2508.7458095639454,2302
2871,DJENERATES #2871,200.4132231404959,256.4102564102564,376.84537684537685,216.27647714604234,27.224249228178504,86.3258131980599,171.98581560283685,151.85909980430532,70.0007216569243,651.8817204301075,185.45072172832425,23.90634627233518,48.881273936706314,39.26728063961138,2506.7283760395608,2303
9120,DJENERATES #9120,200.4132231404959,114.9425287356322,199.58847736625515,67.40323813494545,102.91777188328913,153.89497064889736,260.752688172043,182.33082706766916,70.82876962395035,24.659345129143787,35.27272727272727,1005.1813471502591,48.881273936706314,39.26728063961138,2506.3344689016253,2304
4491,DJENERATES #4491,201.07794361525706,294.11764705882354,128.92078681552366,83.2760989010989,27.224249228178504,169.41751812068813,97.38955823293172,97.93033821302373,70.0007216569243,717.4556213017753,506.7920585161965,23.90634627233518,48.881273936706314,39.26728063961138,2505.657442509074,2305
4176,DJENERATES #4176,194.0,333.3333333333333,320.76719576719574,125.40400775694894,27.224249228178504,214.554302145543,202.08333333333331,151.85909980430532,70.82876962395035,717.4556213017753,35.27272727272727,23.90634627233518,48.881273936706314,39.26728063961138,2504.8375404159437,2306
7634,DJENERATES #7634,203.78151260504202,178.57142857142858,124.74279835390945,239.1518737672584,621.7948717948718,214.554302145543,237.7450980392157,111.30235226620769,70.82876962395035,204.8141891891892,185.45072172832425,23.90634627233518,48.881273936706314,39.26728063961138,2504.7928189335935,2307
6642,DJENERATES #6642,203.78151260504202,96.15384615384616,124.74279835390945,67.95572369342862,102.91777188328913,192.11725094078037,170.17543859649123,65.28689214201582,70.82876962395035,217.29390681003585,185.45072172832425,919.4312796208532,48.881273936706314,39.26728063961138,2504.284466728284,2308
9312,DJENERATES #9312,201.07794361525706,116.27906976744185,27.63532763532763,80.05942555298778,102.91777188328913,146.60318899720397,425.438596491228,174.85353762956285,70.82876962395035,24.659345129143787,35.27272727272727,1010.4166666666667,48.881273936706314,39.26728063961138,2504.1909248411043,2309
7505,DJENERATES #7505,185.11450381679387,156.25,122.19702695893172,239.1518737672584,621.7948717948718,153.49315610412216,66.80440771349862,522.911051212938,70.82876962395035,217.29390681003585,35.27272727272727,23.90634627233518,48.881273936706314,39.26728063961138,2503.167195923781,2310
9044,DJENERATES #9044,185.11450381679387,222.22222222222223,172.16897408590697,66.38379414180126,102.91777188328913,86.3258131980599,248.7179487179487,65.28689214201582,70.82876962395035,24.659345129143787,185.45072172832425,984.771573604061,48.881273936706314,39.26728063961138,2502.9968848698345,2311
8030,DJENERATES #8030,201.07794361525706,117.6470588235294,27.63532763532763,466.34615384615387,102.91777188328913,146.60318899720397,133.60881542699724,78.28894269572235,70.0007216569243,24.659345129143787,35.27272727272727,1010.4166666666667,48.881273936706314,39.26728063961138,2502.62321822526,2312
6125,DJENERATES #6125,202.08333333333334,263.1578947368421,130.79827400215748,66.38379414180126,27.224249228178504,101.88540517829945,183.7121212121212,89.1134588883785,70.0007216569243,688.9204545454545,567.0856474714996,23.90634627233518,48.881273936706314,39.26728063961138,2502.4202552436427,2313
7616,DJENERATES #7616,194.0,98.0392156862745,153.09343434343432,239.1518737672584,621.7948717948718,101.88540517829945,66.80440771349862,596.0061443932412,70.0007216569243,213.8447971781305,35.27272727272727,23.90634627233518,48.881273936706314,39.26728063961138,2501.9484998333132,2314
5921,DJENERATES #5921,190.64465408805032,277.77777777777777,361.6703952274422,109.56737828984527,27.224249228178504,86.3258131980599,19.109535066981874,65.28689214201582,70.82876962395035,673.6111111111112,506.7920585161965,23.90634627233518,48.881273936706314,39.26728063961138,2500.893535118262,2315
8020,DJENERATES #8020,190.34536891679747,212.7659574468085,124.74279835390945,83.2760989010989,102.91777188328913,136.39879069113408,248.7179487179487,172.13842058562557,70.82876962395035,24.659345129143787,35.27272727272727,1010.4166666666667,48.881273936706314,39.26728063961138,2500.629218765417,2316
7574,DJENERATES #7574,186.82588597842835,185.18518518518516,131.7576745449606,239.1518737672584,621.7948717948718,101.88540517829945,329.93197278911566,136.86067019400352,70.0007216569243,204.8141891891892,180.33091652723556,23.90634627233518,48.881273936706314,39.26728063961138,2500.594267654125,2317
8487,DJENERATES #8487,203.78151260504202,200.0,124.74279835390945,83.2760989010989,102.91777188328913,146.60318899720397,212.719298245614,165.95380667236955,70.82876962395035,24.659345129143787,195.09251810136766,881.818181818182,48.881273936706314,39.26728063961138,2500.541844907488,2318
6700,DJENERATES #6700,195.88045234248793,294.11764705882354,122.19702695893172,67.40323813494545,102.91777188328913,101.88540517829945,224.537037037037,141.03962195565248,70.0007216569243,24.659345129143787,185.45072172832425,881.818181818182,48.881273936706314,39.26728063961138,2500.0557254583587,2319
7906,DJENERATES #7906,202.08333333333334,114.9425287356322,141.81286549707602,83.2760989010989,102.91777188328913,146.60318899720397,224.537037037037,105.77971646673936,70.0007216569243,24.659345129143787,195.09251810136766,1000.0000000000001,48.881273936706314,39.26728063961138,2499.8536803151633,2320
4588,DJENERATES #4588,202.08333333333334,322.5806451612903,371.64750957854403,112.54205824341571,27.224249228178504,214.554302145543,204.64135021097044,141.399416909621,70.0007216569243,213.8447971781305,506.7920585161965,23.90634627233518,48.881273936706314,39.26728063961138,2499.3653430108,2321
6752,DJENERATES #6752,195.88045234248793,232.5581395348837,341.0689170182841,66.38379414180126,102.91777188328913,182.57105213626951,212.719298245614,65.28689214201582,70.0007216569243,24.659345129143787,35.27272727272727,881.818181818182,48.881273936706314,39.26728063961138,2499.28584789794,2322
7508,DJENERATES #7508,201.07794361525706,126.58227848101265,153.09343434343432,239.1518737672584,621.7948717948718,136.39879069113408,66.80440771349862,522.911051212938,70.0007216569243,213.8447971781305,35.27272727272727,23.90634627233518,48.881273936706314,39.26728063961138,2498.9877985758403,2323
