TOKEN_ID,TOKEN_NAME,Background,Color,Shirts,Eyewear,Hairstyle,Headwear,Jewelry,Mouth,RARITY_SCORE,Rank
4685,HypeHippos Female Edition #4685,15.841953219644022,4.972504972504972,34.48275862068965,50.595238095238095,15.30566309534528,34.0,25.76928907078975,18.62809555117247,199.5955026253842,3772
4085,HypeHippos Female Edition #4085,5.447670319810292,79.88721804511277,27.62430939226519,9.788679679852596,15.30566309534528,34.0,18.267784225231033,9.263800337856246,199.5851250954734,3773
980,HypeHippos Female Edition #980,50.91344713986223,51.45278450363197,13.698630136986303,9.788679679852596,12.086740135087094,34.0,18.267784225231033,9.263800337856246,199.47186615850745,3774
4710,HypeHippos Female Edition #4710,56.216931216931215,24.630541871921185,10.02004008016032,9.788679679852596,36.41036624544871,34.0,19.137678712146798,9.263800337856246,199.46803814431706,3775
3656,HypeHippos Female Edition #3656,5.447670319810292,4.972504972504972,22.123893805309734,48.76649454962708,18.849096352145473,34.0,25.76928907078975,39.51650395165039,199.4454530218377,3776
4764,HypeHippos Female Edition #4764,43.758043758043755,4.972504972504972,11.627906976744187,9.788679679852596,36.41036624544871,34.0,19.137678712146798,39.51650395165039,199.2116842963914,3777
4,HypeHippos Female Edition #4,48.766494549627076,32.642089093702,10.02004008016032,9.788679679852596,25.71082879612825,34.0,19.57397812320092,18.62809555117247,199.13020587384366,3778
1984,HypeHippos Female Edition #1984,50.91344713986223,32.642089093702,27.62430939226519,9.788679679852596,15.30566309534528,34.0,19.57397812320092,9.263800337856246,199.11196686208447,3779
2992,HypeHippos Female Edition #2992,50.91344713986223,32.642089093702,11.627906976744187,9.788679679852596,31.686859273066172,34.0,19.137678712146798,9.263800337856246,199.0604612132302,3780
671,HypeHippos Female Edition #671,28.706518068220195,24.630541871921185,13.698630136986303,9.788679679852596,59.81703026038002,34.0,19.137678712146798,9.263800337856246,199.04287906736334,3781
3937,HypeHippos Female Edition #3937,87.99171842650104,4.972504972504972,13.698630136986303,9.788679679852596,13.507071349118068,34.0,25.76928907078975,9.263800337856246,198.991693973609,3782
116,HypeHippos Female Edition #116,33.451397087760725,58.945908460471564,21.83406113537118,9.788679679852596,12.086740135087094,34.0,19.57397812320092,9.263800337856246,198.9445649596003,3783
4021,HypeHippos Female Edition #4021,33.451397087760725,4.972504972504972,24.03846153846154,9.788679679852596,15.30566309534528,34.0,25.76928907078975,51.608986035215544,198.9349814799304,3784
877,HypeHippos Female Edition #877,5.447670319810292,4.972504972504972,53.191489361702125,9.788679679852596,12.086740135087094,34.0,18.267784225231033,61.12909025530384,198.88395894949196,3785
4141,HypeHippos Female Edition #4141,43.758043758043755,4.972504972504972,53.191489361702125,9.788679679852596,16.23841818702837,34.0,18.267784225231033,18.62809555117247,198.8450157355353,3786
75,HypeHippos Female Edition #75,10.939510939510939,60.714285714285715,10.02004008016032,43.52278545826933,12.086740135087094,34.0,18.267784225231033,9.263800337856246,198.8149468904007,3787
1949,HypeHippos Female Edition #1949,15.841953219644022,32.642089093702,11.627906976744187,9.788679679852596,59.81703026038002,34.0,25.76928907078975,9.263800337856246,198.75074863896882,3788
2274,HypeHippos Female Edition #2274,10.939510939510939,24.630541871921185,18.867924528301888,50.595238095238095,15.30566309534528,34.0,25.76928907078975,18.62809555117247,198.7362631522796,3789
1393,HypeHippos Female Edition #1393,43.758043758043755,49.16136495083864,11.627906976744187,9.788679679852596,15.30566309534528,34.0,25.76928907078975,9.263800337856246,198.67474786947045,3790
4534,HypeHippos Female Edition #4534,5.447670319810292,24.630541871921185,11.627906976744187,9.788679679852596,15.30566309534528,34.0,25.76928907078975,72.0949957591179,198.6647467735812,3791
3844,HypeHippos Female Edition #3844,48.766494549627076,4.972504972504972,10.02004008016032,36.085756739545744,36.41036624544871,34.0,19.137678712146798,9.263800337856246,198.65664163728985,3792
1119,HypeHippos Female Edition #1119,33.451397087760725,4.972504972504972,38.46153846153846,9.788679679852596,18.849096352145473,34.0,19.57397812320092,39.51650395165039,198.61369862865354,3793
2020,HypeHippos Female Edition #2020,15.841953219644022,32.642089093702,13.774104683195592,48.76649454962708,15.30566309534528,34.0,19.57397812320092,18.62809555117247,198.53237831588737,3794
4001,HypeHippos Female Edition #4001,10.939510939510939,4.972504972504972,13.698630136986303,48.76649454962708,58.62068965517241,34.0,18.267784225231033,9.263800337856246,198.529414816889,3795
719,HypeHippos Female Edition #719,10.939510939510939,4.972504972504972,11.627906976744187,92.34111895708854,16.23841818702837,34.0,19.137678712146798,9.263800337856246,198.52093908288006,3796
