TOKEN_ID,TOKEN_NAME,Type,Background,Body,Eyes,Mouth,Wear,Hair,Face,Head,Extra,Style,Strength,Spirit,Helmet,Domain,NUM_TRAITS,RARITY_SCORE,Rank
4661,0N1 #4661,17.681697612732098,19.422268470343393,18.49373297002725,18.0650406504065,19.500391788120982,16.017162962327298,34.71875,25.76054102546408,17.278222633649616,10.382311222361285,36.56180215475024,24.430366492146597,36.067246376811596,6.005405405405406,6.005405405405406,24.021621621621623,330.4119667915734,6697
2211,0N1 #2211,17.681697612732098,19.84561403508772,18.49373297002725,30.498039215686273,19.500391788120982,19.464803420586087,15.679435483870968,17.432333987111235,29.122796068029334,11.84389872453836,34.310294117647054,24.430366492146597,36.067246376811596,6.005405405405406,6.005405405405406,24.021621621621623,330.403082724828,6698
1844,0N1 #1844,17.681697612732098,19.422268470343393,17.06184012066365,30.498039215686273,19.500391788120982,16.922616619067046,15.679435483870968,33.64845862628447,17.278222633649616,13.488076311605724,34.59647822057461,24.430366492146597,34.12212065813528,6.005405405405406,6.005405405405406,24.021621621621623,330.36244468531316,6699
7229,0N1 #7229,17.681697612732098,19.84561403508772,17.06184012066365,38.122549019607845,19.24702242846094,20.00300075018755,28.07581227436823,17.789553945863513,11.787798408488065,11.84389872453836,34.310294117647054,24.430366492146597,34.12212065813528,6.005405405405406,6.005405405405406,24.021621621621623,330.35400102035925,6700
1195,0N1 #1195,17.681697612732098,19.5955905511811,17.06184012066365,38.122549019607845,19.500391788120982,19.33474905474698,12.38375796178344,16.441860465116278,29.122796068029334,10.382311222361285,23.76168045830681,34.85490196078431,36.067246376811596,6.005405405405406,6.005405405405406,24.021621621621623,330.34380509267817,6701
4873,0N1 #4873,17.681697612732098,19.422268470343393,18.49373297002725,30.498039215686273,18.88767455980571,16.889693240430727,13.339622641509434,21.071122149469407,17.278222633649616,11.84389872453836,36.27755102040817,34.72520930232558,37.898071065989846,6.005405405405406,6.005405405405406,24.021621621621623,330.33923603934824,6702
3020,0N1 #3020,17.681697612732098,19.84561403508772,18.0992,32.60796645702306,19.500391788120982,19.33474905474698,12.38375796178344,28.004201050262562,11.787798408488065,10.382311222361285,36.27755102040817,34.24733944954128,34.12212065813528,6.005405405405406,6.005405405405406,24.021621621621623,330.3071311511233,6703
3380,0N1 #3380,17.681697612732098,19.5955905511811,18.0992,38.122549019607845,18.88767455980571,16.017162962327298,15.679435483870968,17.789553945863513,17.278222633649616,10.382311222361285,34.59647822057461,34.85490196078431,35.28317580340264,6.005405405405406,6.005405405405406,24.021621621621623,330.3003864085934,6704
3530,0N1 #3530,17.681697612732098,19.422268470343393,18.0992,24.18973561430793,18.88767455980571,19.464803420586087,28.48717948717949,25.76054102546408,17.278222633649616,11.84389872453836,34.59647822057461,24.430366492146597,34.12212065813528,6.005405405405406,6.005405405405406,24.021621621621623,330.29661935189563,6705
5024,0N1 #5024,17.681697612732098,19.5955905511811,17.06184012066365,20.09560723514212,19.24702242846094,16.889693240430727,18.298823529411766,17.432333987111235,29.122796068029334,10.382311222361285,36.56180215475024,35.79060402684564,36.067246376811596,6.005405405405406,6.005405405405406,24.021621621621623,330.2598009863642,6706
