TOKEN_ID,TOKEN_NAME,Background,Body,Eyes,Clothes,Head,Mouth,NUM_TRAITS,RARITY_SCORE,Rank
1393,Wicked Cranium #1393,90.55030433225922,65.8269130661114,68.94016628049611,430.48,64.49241361723831,48.870917874396135,47.0,816.1607151705011,1
4484,Wicked Cranium #4484,90.55030433225922,29.45917297612114,24.916945812807885,430.48,81.17701813513081,76.06225563909776,47.0,779.6456968954168,2
4377,Wicked Cranium #4377,37.05597069597069,165.2986928104575,20.96377652519894,430.48,17.376550207839504,54.388602150537636,47.0,772.5635923900043,3
9410,Wicked Cranium #9410,37.05597069597069,12.154315647827758,24.881400954301736,430.48,55.123583260680036,152.1245112781955,47.0,758.8197818369757,4
2664,Wicked Cranium #2664,40.233375755647465,69.84451808892571,73.906195207481,430.48,51.96363262790221,40.5462124248497,47.0,753.9739341048062,5
1175,Wicked Cranium #1175,99.53049980322709,338.1109625668449,41.23371647509578,50.525821596244135,131.58532778355882,35.24836236933798,47.0,743.2346905943086,6
4076,Wicked Cranium #4076,48.044642857142854,39.88440309099511,73.906195207481,430.48,51.96363262790221,40.5462124248497,47.0,731.825086208371,7
6689,Wicked Cranium #6689,48.172761904761906,69.84451808892571,57.37454627949183,430.48,38.57347670250896,33.664825291181366,47.0,725.1101282668699,8
1525,Wicked Cranium #1525,52.513911960132894,54.494074552898084,41.23371647509578,430.48,41.0996993580889,56.51553072625698,47.0,723.3369330724726,9
7675,Wicked Cranium #7675,48.044642857142854,28.39099685675797,52.6944473382644,430.48,71.56395019807584,43.6046551724138,47.0,721.7786924226549,10
3667,Wicked Cranium #3667,46.55872606774669,56.999549244985346,67.0840848806366,430.48,17.376550207839504,54.388602150537636,47.0,719.8875125517458,11
6003,Wicked Cranium #6003,48.044642857142854,69.51814183617373,57.37454627949183,430.48,36.33982326316546,17.131718882303133,47.0,705.8888731182772,12
10032,Wicked Cranium #10032,35.35183114341627,28.39099685675797,69.48949031460366,430.48,71.56395019807584,22.50562847608454,47.0,704.7818969889383,13
4288,Wicked Cranium #4288,47.98083855055967,69.51814183617373,20.96377652519894,430.48,47.157747529367896,40.30390438247012,47.0,703.4044088237704,14
10516,Wicked Cranium #10516,48.044642857142854,54.494074552898084,37.34874104703537,52.75490196078431,131.58532778355882,331.68131147540987,47.0,702.9089996768294,15
5796,Wicked Cranium #5796,47.98083855055967,338.1109625668449,96.8992337164751,29.484931506849314,118.23609163160356,17.131718882303133,47.0,694.8437768546357,16
3094,Wicked Cranium #3094,48.43106089620834,338.1109625668449,47.14016775396085,40.611320754716985,131.58532778355882,40.30390438247012,47.0,693.18274413776,17
8739,Wicked Cranium #8739,46.55872606774669,41.32467320261438,46.51163218390804,430.48,41.0996993580889,39.90642998027614,47.0,692.8811607926341,18
6012,Wicked Cranium #6012,34.87410369553226,54.494074552898084,46.51163218390804,46.18884120171674,131.58532778355882,331.68131147540987,47.0,692.3352908930239,19
7216,Wicked Cranium #7216,48.044642857142854,31.856279128353695,54.84862285838213,430.48,38.57347670250896,40.5462124248497,47.0,691.3492339712374,20
9276,Wicked Cranium #9276,48.172761904761906,12.154315647827758,41.23371647509578,430.48,43.28005476170103,67.89449664429532,47.0,690.2153454336819,21
2965,Wicked Cranium #2965,47.98083855055967,36.02150690784788,46.51163218390804,430.48,27.65522143247676,53.24357894736843,47.0,688.8927780221608,22
9877,Wicked Cranium #9877,48.044642857142854,31.856279128353695,45.186171163123106,129.66265060240963,55.123583260680036,331.68131147540987,47.0,688.5546384871192,23
8594,Wicked Cranium #8594,99.53049980322709,69.51814183617373,355.9563687543983,41.87548638132296,36.420938940092164,35.24836236933798,47.0,685.5497980845522,24
7654,Wicked Cranium #7654,34.87410369553226,12.154315647827758,67.0840848806366,430.48,54.75362632604461,38.83408829174664,47.0,685.1802188417879,25
1511,Wicked Cranium #1511,47.98083855055967,65.8269130661114,37.34874104703537,430.48,17.376550207839504,38.83408829174664,47.0,684.8471311632926,26
10207,Wicked Cranium #10207,99.53049980322709,29.056410845588232,24.881400954301736,430.48,31.438498352911928,17.131718882303133,47.0,679.5185288383321,27
1740,Wicked Cranium #1740,34.87410369553226,31.585737479705255,57.37454627949183,430.48,36.420938940092164,39.90642998027614,47.0,677.6417563750977,28
1359,Wicked Cranium #1359,35.35183114341627,37.662993298585256,355.9563687543983,44.655601659751035,36.420938940092164,120.43190476190476,47.0,677.4796385581477,29
5310,Wicked Cranium #5310,37.05597069597069,29.45917297612114,54.84862285838213,430.48,36.420938940092164,38.83408829174664,47.0,674.0987937623128,30
658,Wicked Cranium #658,48.172761904761906,36.02150690784788,46.51163218390804,30.573863636363637,131.58532778355882,331.68131147540987,47.0,671.5464038918501,31
7577,Wicked Cranium #7577,90.55030433225922,338.1109625668449,20.96377652519894,41.87548638132296,71.56395019807584,54.388602150537636,47.0,664.4530821542395,32
9858,Wicked Cranium #9858,47.98083855055967,123.97401960784312,44.494546094299785,29.7292817679558,38.57347670250896,331.68131147540987,47.0,663.4334741985772,33
5828,Wicked Cranium #5828,35.35183114341627,36.642567371776295,40.84745215214407,430.48,38.66488304540591,33.664825291181366,47.0,662.6515590039239,34
5938,Wicked Cranium #5938,34.87410369553226,107.80349531116794,355.9563687543983,35.169934640522875,36.420938940092164,40.30390438247012,47.0,657.5287457241836,35
9842,Wicked Cranium #9842,48.044642857142854,123.97401960784312,40.84745215214407,34.493589743589745,31.317813138505354,331.68131147540987,47.0,657.358828974635,36
7397,Wicked Cranium #7397,37.05597069597069,338.1109625668449,45.186171163123106,81.53030303030303,71.56395019807584,35.24836236933798,47.0,655.6957200236556,37
7833,Wicked Cranium #7833,40.233375755647465,71.18125527723052,355.9563687543983,61.14772727272727,36.420938940092164,43.6046551724138,47.0,655.5443211725095,38
6573,Wicked Cranium #6573,35.35183114341627,36.28507890961262,20.96377652519894,430.48,44.45934780697899,39.90642998027614,47.0,654.4464643654829,39
1126,Wicked Cranium #1126,90.55030433225922,57.43970020440607,355.9563687543983,40.92015209125476,17.376550207839504,44.96124444444444,47.0,654.2043200346022,40
10675,Wicked Cranium #10675,47.98083855055967,338.1109625668449,86.34585182656195,62.20809248554914,54.75362632604461,17.131718882303133,47.0,653.5310906378634,41
4252,Wicked Cranium #4252,52.513911960132894,28.39099685675797,67.0840848806366,73.71232876712328,52.46488953428068,331.68131147540987,47.0,652.8475234743413,42
10515,Wicked Cranium #10515,48.044642857142854,28.39099685675797,24.881400954301736,430.48,27.65522143247676,44.96124444444444,47.0,651.4135065451238,43
5394,Wicked Cranium #5394,44.16818023052742,54.494074552898084,53.01477832512315,42.20392156862745,75.53972520908006,331.68131147540987,47.0,648.101991361666,44
9665,Wicked Cranium #9665,48.172761904761906,100.51947535771063,355.9563687543983,44.655601659751035,27.65522143247676,17.131718882303133,47.0,641.0911479914018,45
1679,Wicked Cranium #1679,46.55872606774669,338.1109625668449,54.84862285838213,37.238754325259514,81.17701813513081,35.24836236933798,47.0,640.1824463227019,46
8986,Wicked Cranium #8986,37.05597069597069,39.88440309099511,53.832907620263946,78.55474452554745,51.96363262790221,331.68131147540987,47.0,639.9729700360892,47
160,Wicked Cranium #160,40.233375755647465,338.1109625668449,37.34874104703537,62.20809248554914,59.11804581580178,54.388602150537636,47.0,638.4078198214162,48
4836,Wicked Cranium #4836,40.233375755647465,39.88440309099511,53.832907620263946,53.277227722772274,70.63454824745148,331.68131147540987,47.0,636.5437739125401,49
4463,Wicked Cranium #4463,46.55872606774669,70.84229691876752,46.51163218390804,34.493589743589745,59.11804581580178,331.68131147540987,47.0,636.2056022052236,50
9554,Wicked Cranium #9554,45.96637586332243,338.1109625668449,49.55074451410658,83.42635658914729,31.438498352911928,40.30390438247012,47.0,635.7968422688032,51
1185,Wicked Cranium #1185,45.96637586332243,31.856279128353695,67.0840848806366,30.573863636363637,81.17701813513081,331.68131147540987,47.0,635.338933119217,52
9081,Wicked Cranium #9081,35.35183114341627,338.1109625668449,24.916945812807885,53.277227722772274,81.17701813513081,54.388602150537636,47.0,634.2225875315098,53
9578,Wicked Cranium #9578,44.16818023052742,36.02150690784788,24.881400954301736,73.71232876712328,75.53972520908006,331.68131147540987,47.0,633.0044535442903,54
2107,Wicked Cranium #2107,45.96637586332243,70.84229691876752,40.84745215214407,40.92015209125476,54.75362632604461,331.68131147540987,47.0,632.0112148269433,55
5164,Wicked Cranium #5164,40.233375755647465,338.1109625668449,53.01477832512315,41.87548638132296,75.53972520908006,35.24836236933798,47.0,631.0226906073565,56
9235,Wicked Cranium #9235,47.98083855055967,338.1109625668449,37.34874104703537,80.91729323308272,38.66488304540591,40.30390438247012,47.0,630.3266228253987,57
1996,Wicked Cranium #1996,35.35183114341627,100.51947535771063,355.9563687543983,56.6421052631579,17.376550207839504,17.131718882303133,47.0,629.9780496088257,58
2350,Wicked Cranium #2350,99.53049980322709,338.1109625668449,44.494546094299785,40.611320754716985,41.0996993580889,17.131718882303133,47.0,627.9787474594807,59
4887,Wicked Cranium #4887,48.43106089620834,42.996769806188375,355.9563687543983,52.75490196078431,27.65522143247676,52.964816753926705,47.0,627.7591396039827,60
8209,Wicked Cranium #8209,40.233375755647465,107.80349531116794,355.9563687543983,31.560117302052785,27.65522143247676,17.131718882303133,47.0,627.3402974380464,61
3725,Wicked Cranium #3725,48.172761904761906,39.88440309099511,355.9563687543983,78.55474452554745,17.376550207839504,39.51671875,47.0,626.4615472335422,62
5942,Wicked Cranium #5942,37.05597069597069,71.18125527723052,355.9563687543983,41.87548638132296,34.06384268300896,38.83408829174664,47.0,625.967012083678,63
8625,Wicked Cranium #8625,37.05597069597069,338.1109625668449,20.96377652519894,46.99563318777293,118.23609163160356,17.131718882303133,47.0,625.4941534896942,64
4459,Wicked Cranium #4459,44.16818023052742,54.494074552898084,37.59021997621879,51.247619047619054,59.11804581580178,331.68131147540987,47.0,625.299451098475,65
7042,Wicked Cranium #7042,40.233375755647465,31.585737479705255,355.9563687543983,50.525821596244135,27.65522143247676,72.25914285714286,47.0,625.2156678756148,66
1260,Wicked Cranium #1260,46.55872606774669,338.1109625668449,68.94016628049611,30.487252124645895,75.53972520908006,17.131718882303133,47.0,623.7685511311169,67
9198,Wicked Cranium #9198,45.96637586332243,71.18125527723052,42.130101615858734,41.39230769230769,43.28005476170103,331.68131147540987,47.0,622.6314066858303,68
6635,Wicked Cranium #6635,34.87410369553226,71.18125527723052,46.51163218390804,52.75490196078431,38.57347670250896,331.68131147540987,47.0,622.576681295374,69
9362,Wicked Cranium #9362,46.55872606774669,42.996769806188375,355.9563687543983,61.14772727272727,27.65522143247676,40.30390438247012,47.0,621.6187177160075,70
2634,Wicked Cranium #2634,47.98083855055967,29.45917297612114,42.3346166722464,76.32624113475178,43.28005476170103,331.68131147540987,47.0,618.0622355707899,71
495,Wicked Cranium #495,48.43106089620834,36.02150690784788,53.832907620263946,30.06145251396648,70.63454824745148,331.68131147540987,47.0,617.6627876611481,72
14,Wicked Cranium #14,47.98083855055967,36.02150690784788,355.9563687543983,43.048,34.06384268300896,53.24357894736843,47.0,617.3141358431832,73
6048,Wicked Cranium #6048,52.513911960132894,65.8269130661114,46.51163218390804,30.573863636363637,41.0996993580889,331.68131147540987,47.0,615.2073316800147,74
5717,Wicked Cranium #5717,45.96637586332243,338.1109625668449,68.94016628049611,37.238754325259514,41.0996993580889,35.24836236933798,47.0,613.6043207633497,75
6294,Wicked Cranium #6294,48.43106089620834,12.154315647827758,68.94016628049611,50.525821596244135,54.75362632604461,331.68131147540987,47.0,613.4863022222308,76
16,Wicked Cranium #16,48.172761904761906,338.1109625668449,47.14016775396085,41.87548638132296,54.75362632604461,35.24836236933798,47.0,612.3013673022732,77
6634,Wicked Cranium #6634,46.55872606774669,28.39099685675797,355.9563687543983,43.395161290322584,17.376550207839504,72.25914285714286,47.0,610.9369460342078,78
3530,Wicked Cranium #3530,48.172761904761906,31.585737479705255,355.9563687543983,40.611320754716985,34.06384268300896,53.24357894736843,47.0,610.6336105239598,79
7980,Wicked Cranium #7980,34.87410369553226,29.45917297612114,355.9563687543983,61.14772727272727,36.420938940092164,44.96124444444444,47.0,609.8195560833155,80
