TOKEN_ID,TOKEN_NAME,Background,Body,Headware,Face,Shirt,RARITY_SCORE,Rank
5478,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,1
6044,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,2
9472,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,3
7875,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,4
7371,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,5
3073,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,6
8032,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,7
6969,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,8
711,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,9
4699,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,10
3764,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,11
8384,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,12
2179,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,13
9311,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,14
5286,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,15
4632,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,16
9767,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,17
9994,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,18
9099,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,19
8646,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,20
1723,UNKNOWN,34131.10344827586,36659.333333333336,14773.164179104477,14344.95652173913,9998.0,109906.55748245282,21
6035,UNKNOWN,392.3115338882283,3.962314454532353,73.49832924927601,367.81939799331104,75.74242424242424,913.333999827772,22
8637,UNKNOWN,16.829932666802694,394.18637992831543,74.23700592514813,298.8532608695652,109.86813186813185,893.9747112579633,23
