TOKEN_ID,TOKEN_NAME,HYPE TYPE,BASTARDNESS,SONG WORD COUNT,SPEEDOMETER,NUM OF FRAMES,HEAD TURNS,FLOATY HEAD,BACKGROUND GLITCH LEVEL,BACKGROUND MOOD,TYPE,BACKGROUND,FACING DIRECTION,BAD HABIT(S),GLITCH PATTERN,RARITY_SCORE,Rank
7152,BASTARD GAN PUNK V2 #7152,801.7021276595744,96.61538461538463,72.65948899244738,548.7378640776699,211.95,150720.0,550.7429963459196,674.865671641791,423.9,133.61702127659575,534.468085106383,400.8510638297872,76.35258358662614,4.436159566744501,155250.8984466989,1
6971,BASTARD GAN PUNK V2 #6971,801.7021276595744,115.34693877551021,44.8675288591936,548.7378640776699,211.95,150720.0,550.7429963459196,674.865671641791,423.9,133.61702127659575,534.468085106383,400.8510638297872,76.35258358662614,4.436159566744501,155241.83804072576,2
10536,BASTARD GAN PUNK V2 #10536,801.7021276595744,129.93103448275863,44.8675288591936,84780.0,5298.75,2249.55223880597,18086.399999999998,1322.1052631578948,423.9,133.61702127659575,534.468085106383,400.8510638297872,76.35258358662614,4.436159566744501,114286.93310633153,3
7222,BASTARD GAN PUNK V2 #7222,801.7021276595744,105.6448598130841,48.31285393738647,84780.0,5298.75,2249.55223880597,18086.399999999998,1322.1052631578948,423.9,133.61702127659575,534.468085106383,400.8510638297872,76.35258358662614,4.436159566744501,114266.09225674006,4
3330,BASTARD GAN PUNK V2 #3330,801.7021276595744,118.98947368421054,47.89492267495233,1513.9285714285716,84780.0,5024.0,18086.399999999998,1322.1052631578948,423.9,133.61702127659575,534.468085106383,400.8510638297872,76.35258358662614,4.436159566744501,113268.64527197134,5
7628,BASTARD GAN PUNK V2 #7628,801.7021276595744,97.44827586206895,187.04908990623278,1513.9285714285716,84780.0,2249.55223880597,18086.399999999998,1322.1052631578948,423.9,133.61702127659575,534.468085106383,400.8510638297872,76.35258358662614,4.436159566744501,110611.81048018645,6
5387,BASTARD GAN PUNK V2 #5387,801.7021276595744,94.99159663865545,148.03885190439814,1513.9285714285716,84780.0,2249.55223880597,18086.399999999998,1322.1052631578948,423.9,133.61702127659575,534.468085106383,400.8510638297872,76.35258358662614,4.436159566744501,110570.3435629612,7
3750,BASTARD GAN PUNK V2 #3750,801.7021276595744,87.62790697674419,131.20030950768933,1513.9285714285716,84780.0,2249.55223880597,18086.399999999998,1322.1052631578948,423.9,133.61702127659575,534.468085106383,400.8510638297872,76.35258358662614,4.436159566744501,110546.1413309026,8
103,BASTARD GAN PUNK V2 #103,801.7021276595744,115.34693877551021,48.31285393738647,84780.0,5298.75,5024.0,550.7429963459196,3897.931034482758,423.9,133.61702127659575,534.468085106383,400.8510638297872,76.35258358662614,4.436159566744501,102090.41086456728,9
17,BASTARD GAN PUNK V2 #17,801.7021276595744,116.5360824742268,46.84139645705998,84780.0,5298.75,2249.55223880597,550.7429963459196,3897.931034482758,423.9,133.61702127659575,534.468085106383,400.8510638297872,76.35258358662614,4.436159566744501,99315.68078959166,10
