TOKEN_ID,TOKEN_NAME,BOSS,Background,Fur,Mask,Mouth,Eyes,Clothes,Hat,Tail,NUM_TRAITS,RARITY_SCORE,Rank
193,Raccoon Mafia #193,7.678185096153846,41.32560646900269,20.152208201892744,44.05689655172414,11.519008264462808,24.167402269861284,49.74626865671642,5.292667771333886,7.103975535168195,39.26197183098592,250.30419064730194,3015
1940,Raccoon Mafia #1940,7.678185096153846,40.86300639658848,22.06649395509499,25.68140703517588,28.797520661157023,30.39611419508327,41.6625,27.496054519368727,7.103975535168195,18.550272232304902,250.29552962609532,3016
2512,Raccoon Mafia #2512,7.678185096153846,39.53532748839608,44.67307692307692,44.05689655172414,21.984227129337537,13.874932126696834,4.616343490304709,27.496054519368727,7.103975535168195,39.26197183098592,250.28099069121288,3017
839,Raccoon Mafia #839,7.678185096153846,40.56031746031746,25.00293542074364,44.569186046511625,13.350574712643677,24.776664511958632,4.616343490304709,43.359162895927604,7.103975535168195,39.26197183098592,250.27931700071528,3018
1257,Raccoon Mafia #1257,7.678185096153846,40.86300639658848,22.06649395509499,22.349562682215744,21.984227129337537,32.04807692307693,38.75581395348837,38.873732251521304,7.103975535168195,18.550272232304902,250.2733461549503,3019
3178,Raccoon Mafia #3178,7.678185096153846,37.56873315363881,20.120472440944884,30.12141453831041,11.519008264462808,32.04807692307693,59.517857142857146,5.292667771333886,7.103975535168195,39.26197183098592,250.23236269693282,3020
1225,Raccoon Mafia #1225,7.678185096153846,40.56031746031746,22.06649395509499,25.68140703517588,13.350574712643677,15.158987542020963,4.616343490304709,33.90490933215391,68.66009852216747,18.550272232304902,250.22758937833783,3021
697,Raccoon Mafia #697,7.678185096153846,39.53532748839608,22.06649395509499,30.12141453831041,20.61834319526627,32.04807692307693,38.310344827586206,33.90490933215391,7.103975535168195,18.550272232304902,249.93734312351174,3022
2434,Raccoon Mafia #2434,7.678185096153846,39.53532748839608,22.06649395509499,44.05689655172414,13.350574712643677,15.158987542020963,4.616343490304709,57.08041697691735,7.103975535168195,39.26197183098592,249.90917317940983,3023
997,Raccoon Mafia #997,7.678185096153846,40.86300639658848,22.06649395509499,21.205809128630708,20.61834319526627,40.66790450928382,45.04054054054054,5.292667771333886,7.103975535168195,39.26197183098592,249.79889795904668,3024
2297,Raccoon Mafia #2297,7.678185096153846,39.53532748839608,35.49027777777778,44.569186046511625,11.519008264462808,34.085815918185865,28.73275862068966,22.43459174714662,7.103975535168195,18.550272232304902,249.69939872679734,3025
1133,Raccoon Mafia #1133,7.678185096153846,37.440293040293035,20.120472440944884,44.569186046511625,11.519008264462808,30.39611419508327,38.310344827586206,33.90490933215391,7.103975535168195,18.550272232304902,249.5927610106627,3026
1657,Raccoon Mafia #1657,7.678185096153846,39.53532748839608,20.120472440944884,30.12141453831041,13.350574712643677,51.276923076923076,32.359223300970875,29.472895040369085,7.103975535168195,18.550272232304902,249.56926346218503,3027
1472,Raccoon Mafia #1472,7.678185096153846,37.440293040293035,22.06649395509499,21.205809128630708,11.519008264462808,46.800366300366306,38.310344827586206,38.873732251521304,7.103975535168195,18.550272232304902,249.5484806315823,3028
779,Raccoon Mafia #779,7.678185096153846,41.32560646900269,22.06649395509499,22.349562682215744,11.519008264462808,13.874932126696834,4.616343490304709,38.873732251521304,68.66009852216747,18.550272232304902,249.5142350899253,3029
2312,Raccoon Mafia #2312,7.678185096153846,37.440293040293035,20.152208201892744,22.349562682215744,11.519008264462808,35.73846153846154,43.85526315789473,45.093529411764706,7.103975535168195,18.550272232304902,249.48075916061228,3030
1725,Raccoon Mafia #1725,7.678185096153846,40.56031746031746,20.152208201892744,22.349562682215744,51.62222222222222,15.158987542020963,38.75581395348837,27.496054519368727,7.103975535168195,18.550272232304902,249.42759944515316,3031
2888,Raccoon Mafia #2888,7.678185096153846,41.32560646900269,22.06649395509499,22.349562682215744,21.984227129337537,40.66790450928382,41.6625,5.292667771333886,7.103975535168195,39.26197183098592,249.39309497857664,3032
1609,Raccoon Mafia #1609,7.678185096153846,39.53532748839608,20.152208201892744,30.12141453831041,11.519008264462808,15.158987542020963,4.616343490304709,27.496054519368727,74.53475935828877,18.550272232304902,249.36256073150395,3033
1399,Raccoon Mafia #1399,7.678185096153846,40.86300639658848,20.120472440944884,30.12141453831041,51.24264705882353,15.158987542020963,32.359223300970875,5.292667771333886,7.103975535168195,39.26197183098592,249.20255151130098,3034
1697,Raccoon Mafia #1697,7.678185096153846,40.56031746031746,20.120472440944884,25.68140703517588,11.519008264462808,51.276923076923076,40.646341463414636,5.292667771333886,7.103975535168195,39.26197183098592,249.1412699748806,3035
1970,Raccoon Mafia #1970,7.678185096153846,40.86300639658848,20.152208201892744,25.68140703517588,11.519008264462808,30.39611419508327,4.616343490304709,61.77195809830781,7.103975535168195,39.26197183098592,249.04417814412366,3036
482,Raccoon Mafia #482,7.678185096153846,40.56031746031746,20.152208201892744,44.569186046511625,11.519008264462808,30.39611419508327,4.616343490304709,5.292667771333886,44.961290322580645,39.26197183098592,249.00729267962694,3037
2869,Raccoon Mafia #2869,7.678185096153846,40.86300639658848,20.120472440944884,25.68140703517588,11.519008264462808,24.776664511958632,47.614285714285714,5.292667771333886,46.77181208053691,18.550272232304902,248.86778154374596,3038
2256,Raccoon Mafia #2256,7.678185096153846,41.32560646900269,22.06649395509499,22.349562682215744,11.519008264462808,24.167402269861284,35.45744680851064,58.56302521008404,7.103975535168195,18.550272232304902,248.78097852285916,3039
1712,Raccoon Mafia #1712,7.678185096153846,37.440293040293035,22.06649395509499,21.205809128630708,28.797520661157023,40.66790450928382,39.21176470588235,5.292667771333886,7.103975535168195,39.26197183098592,248.7265862339838,3040
1858,Raccoon Mafia #1858,7.678185096153846,37.440293040293035,20.152208201892744,22.349562682215744,20.61834319526627,49.973272490221646,38.75581395348837,5.292667771333886,7.103975535168195,39.26197183098592,248.62629379701966,3041
483,Raccoon Mafia #483,7.678185096153846,41.32560646900269,20.152208201892744,25.68140703517588,11.519008264462808,40.66790450928382,49.74626865671642,5.292667771333886,7.103975535168195,39.26197183098592,248.4292033701762,3042
2736,Raccoon Mafia #2736,7.678185096153846,40.56031746031746,20.120472440944884,22.349562682215744,21.984227129337537,40.66790450928382,43.28571428571429,5.292667771333886,7.103975535168195,39.26197183098592,248.3049987414556,3043
