TOKEN_ID,TOKEN_NAME,Earring,Background,Fur,Clothes,Mouth,Eyes,Hat,RARITY_SCORE,Rank
7495,UNKNOWN,421.8600191754555,43.44391785150079,107.71113831089352,41.666666666666664,272.108843537415,177.13365539452494,52.85285285285285,1116.7770937893094,1
8811,UNKNOWN,283.14028314028315,43.20502749410841,16.903572800614672,48.78048780487805,476.1904761904762,62.11180124223602,51.48005148005148,981.8117001526479,2
7616,UNKNOWN,421.8600191754555,44.64285714285714,300.7518796992481,29.940119760479043,101.01010101010102,44.283413848631234,33.59291494884715,976.0813055856191,3
4873,UNKNOWN,136.0544217687075,43.20502749410841,503.4324942791762,69.44444444444444,101.01010101010102,82.1048703116253,40.44861187718331,975.6999711853462,4
8135,UNKNOWN,76.37562923103629,44.24778761061947,18.842876108089587,78.125,476.1904761904762,86.95652173913045,182.95218295218294,963.690473831535,5
73,UNKNOWN,143.18255776114546,44.24778761061947,503.4324942791762,53.191489361702125,50.12531328320802,34.71948236408112,133.616762830246,962.5158874901784,6
3749,UNKNOWN,8.950184089013648,42.868277474668744,503.4324942791762,29.940119760479043,49.01960784313726,277.2526780088217,39.1180654338549,950.5814268891515,7
4980,UNKNOWN,143.18255776114546,47.008547008547005,503.4324942791762,45.24886877828054,52.28758169934641,44.283413848631234,99.09909909909909,934.542562474226,8
5515,UNKNOWN,421.8600191754555,42.6026336173509,18.842876108089587,5.302226935312832,8.596604341285193,390.41703637976934,31.54347981934189,919.1648763766052,9
2794,UNKNOWN,8.950184089013648,43.44391785150079,87.38828202581927,84.03361344537815,512.8205128205128,177.13365539452494,5.271228675483995,919.0413943022336,10
7449,UNKNOWN,421.8600191754555,43.20502749410841,47.2610096670247,43.10344827586207,272.108843537415,57.44875310092701,28.31402831402831,913.3011295648209,11
446,UNKNOWN,421.8600191754555,47.008547008547005,76.68177065179505,84.03361344537815,40.04004004004003,54.347826086956516,182.95218295218294,906.9239993603552,12
8976,UNKNOWN,76.37562923103629,42.868277474668744,58.33222855627734,70.92198581560284,512.8205128205128,78.72606906423333,65.34006534006534,905.3847683023967,13
