TOKEN_ID,TOKEN_NAME,Background,Fur,Clothes,Mouth,Eyes,Shooting,Defense,Vision,Finish,Head,Head Accessory,Jewellery,NUM_TRAITS,RARITY_SCORE,Rank
4254,Kong #4254,140.18043025676613,1803.5714285714284,890.652557319224,58.30398891646942,2506.2034739454093,101.010101010101,51.81347150259067,68.9655172413793,54.01069518716577,1254.6583850931677,3884.6153846153843,14027.777777777777,18363.63636363636,43205.39957507322,1
3694,Kong #3694,89.84166518413095,1568.3229813664595,984.4054580896685,1188.235294117647,1806.797853309481,40.816326530612244,40.816326530612244,113.63636363636363,77.6923076923077,1021.2335692618806,3699.6336996336995,14027.777777777777,18363.63636363636,43022.845986767,2
6075,Kong #6075,93.97971526937751,2186.147186147186,890.652557319224,28.277850883332864,1806.797853309481,80.64516129032258,39.37007874015748,87.71929824561403,46.54377880184332,1021.2335692618806,2679.0450928381965,14027.777777777777,18363.63636363636,41351.82628352076,3
7097,Kong #7097,93.97971526937751,1803.5714285714284,984.4054580896685,1164.9365628604382,1806.797853309481,227.27272727272725,54.054054054054056,41.49377593360996,38.54961832061068,1021.2335692618806,3699.6336996336995,12023.809523809525,18363.63636363636,41323.37435002286,4
6987,Kong #6987,110.49119352368452,1677.7408637873752,984.4054580896685,64.36810910713149,72.13770444968216,454.5454545454545,43.66812227074236,40.65040650406504,37.68656716417911,914.8550724637681,3884.6153846153843,14027.777777777777,18363.63636363636,40676.57847793527,5
9080,Kong #9080,106.51761231807636,1568.3229813664595,890.652557319224,64.36810910713149,2774.7252747252746,156.25,94.33962264150944,42.37288135593221,61.58536585365853,1021.2335692618806,3884.6153846153843,10978.260869565218,18363.63636363636,40006.88059176611,6
5618,Kong #5618,100.12887875483295,2186.147186147186,1496.2962962962963,1164.9365628604382,72.13770444968216,40.983606557377044,39.37007874015748,227.27272727272725,88.59649122807016,1021.2335692618806,2679.0450928381965,10978.260869565218,18363.63636363636,38458.04542760842,7
5648,Kong #5648,110.49119352368452,2061.224489795918,1133.557800224467,1188.235294117647,51.07975522176705,101.010101010101,51.81347150259067,42.73504273504273,40.562248995983936,1155.6064073226544,2679.0450928381965,10978.260869565218,18363.63636363636,37957.25813048963,8
9802,Kong #9802,93.97971526937751,1568.3229813664595,984.4054580896685,58.30398891646942,51.07975522176705,44.642857142857146,40.48582995951417,45.45454545454546,54.01069518716577,1254.6583850931677,2679.0450928381965,12023.809523809525,18363.63636363636,37261.835191985076,9
1408,Kong #1408,89.84166518413095,1677.7408637873752,984.4054580896685,58.30398891646942,37.03160519175772,41.1522633744856,45.04504504504504,113.63636363636363,41.393442622950815,914.8550724637681,3699.6336996336995,10978.260869565218,18363.63636363636,37044.93670114729,10
8168,Kong #8168,106.51761231807636,1361.1859838274931,1133.557800224467,28.277850883332864,37.03160519175772,49.01960784313725,40.816326530612244,87.71929824561403,51.53061224489796,1021.2335692618806,2679.0450928381965,12023.809523809525,18363.63636363636,36983.38124685535,11
3054,Kong #3054,103.05070911131517,1677.7408637873752,984.4054580896685,58.30398891646942,1806.797853309481,37.87878787878788,39.37007874015748,40.0,2525.0,1021.2335692618806,10.7428522804629,14027.777777777777,129.82005141388177,22462.121990567255,12
5070,Kong #5070,93.97971526937751,2186.147186147186,1496.2962962962963,1164.9365628604382,1806.797853309481,102.04081632653062,37.59398496240602,45.45454545454546,325.80645161290323,12.999716837851057,3884.6153846153843,10978.260869565218,129.82005141388177,22264.7494346715,13
