TOKEN_ID,TOKEN_NAME,Background,Clothes,Hat,Eyes,Fur,Mouth,Earring,NUM_TRAITS,RARITY_SCORE,Rank
1574,Great Ape #1574,43.84088964927288,71.94244604316548,35.497835497835496,34.81953290870488,37.80195463765443,37.79498525073746,60.90314913844325,41.0,363.6007931258139,1028
8988,Great Ape #8988,41.4811817078106,54.34782608695652,37.03703703703704,35.96491228070175,36.437966583718456,63.27160493827161,54.039804929484646,41.0,363.5803335639807,1029
8244,Great Ape #8244,39.79037267080745,53.191489361702125,54.886211512717544,37.44292237442922,37.70114942528736,38.56282919488338,60.90314913844325,41.0,363.4781236782704,1030
6700,Great Ape #6700,42.38164151333471,37.45318352059925,34.511784511784505,91.11111111111111,38.52297284600207,39.821289821289824,38.67194868892661,41.0,363.47393201304806,1031
8880,Great Ape #8880,40.61818902318209,57.14285714285714,33.333333333333336,35.96491228070175,56.102900930487145,38.38951310861424,60.90314913844325,41.0,363.454854957619,1032
246,Great Ape #246,39.46861763573354,65.78947368421052,36.83737646001797,48.6646884272997,56.32641846407474,36.659513590844064,38.67194868892661,41.0,363.4180369511071,1033
4442,Great Ape #4442,41.59902597402597,57.14285714285714,54.886211512717544,36.525612472160354,56.32641846407474,36.04078762306611,39.89102938314847,41.0,363.41194257205035,1034
1121,Great Ape #1121,42.38164151333471,36.36363636363637,92.34234234234233,35.96491228070175,40.62623860483552,36.04078762306611,38.67194868892661,41.0,363.3915074168434,1035
432,Great Ape #432,39.36251920122888,35.08771929824561,58.156028368794324,51.25,38.52297284600207,63.27160493827161,36.738351254480285,41.0,363.3891959070228,1036
2309,Great Ape #2309,39.79037267080745,58.8235294117647,37.96296296296296,55.59322033898305,38.628226870171474,53.721174004192875,37.86829223238201,41.0,363.3877784912645,1037
4778,Great Ape #4778,42.6905456059975,58.8235294117647,44.66230936819173,35.729847494553375,38.52297284600207,63.27160493827161,38.67194868892661,41.0,363.3727583537076,1038
3371,Great Ape #3371,41.59902597402597,37.45318352059925,33.82838283828383,55.59322033898305,56.32641846407474,36.659513590844064,60.90314913844325,41.0,363.3628938652542,1039
1842,Great Ape #1842,40.61818902318209,60.975609756097555,37.96296296296296,47.26224783861671,36.626764338038235,37.96296296296296,60.90314913844325,41.0,363.31188602030375,1040
1600,Great Ape #1600,42.6905456059975,45.04504504504504,42.57528556593977,34.0956340956341,36.626764338038235,60.365135453474686,60.90314913844325,41.0,363.3015592425726,1041
3804,Great Ape #3804,42.38164151333471,57.4712643678161,44.66230936819173,36.44444444444444,65.15175591927539,38.303437967115094,37.86829223238201,41.0,363.2831458125595,1042
8100,Great Ape #8100,42.38164151333471,42.37288135593221,37.96296296296296,58.99280575539569,37.401933953658094,63.27160493827161,39.89102938314847,41.0,363.27485986270375,1043
1067,Great Ape #1067,42.6905456059975,37.174721189591075,92.34234234234233,37.188208616780045,37.80195463765443,38.303437967115094,36.738351254480285,41.0,363.23956161396075,1044
2271,Great Ape #2271,42.38164151333471,60.975609756097555,35.497835497835496,35.96491228070175,56.32641846407474,53.21910695742472,37.86829223238201,41.0,363.233816701851,1045
2170,Great Ape #2170,42.6905456059975,57.80346820809249,36.738351254480285,55.59322033898305,37.80195463765443,53.721174004192875,37.86829223238201,41.0,363.2170062817827,1046
9885,Great Ape #9885,40.449881610102594,37.03703703703704,37.75322283609576,91.11111111111111,43.367886608842824,36.81752873563219,35.673888453841464,41.0,363.210556392663,1047
2478,Great Ape #2478,40.61818902318209,57.4712643678161,34.511784511784505,58.99280575539569,56.32641846407474,36.81752873563219,37.46345029239766,41.0,363.201441150283,1048
418,Great Ape #418,42.87805898347626,37.03703703703704,54.886211512717544,37.188208616780045,56.32641846407474,39.821289821289824,54.039804929484646,41.0,363.1770293648601,1049
89,Great Ape #89,43.84088964927288,58.8235294117647,44.66230936819173,58.99280575539569,38.52297284600207,40.57798891528108,36.738351254480285,41.0,363.15884720038844,1050
7085,Great Ape #7085,41.59902597402597,33.222591362126245,44.66230936819173,91.11111111111111,38.005190952910645,36.81752873563219,36.738351254480285,41.0,363.1561087584782,1051
1948,Great Ape #1948,42.38164151333471,33.557046979865774,51.37844611528823,35.729847494553375,56.32641846407474,63.27160493827161,39.51045581574636,41.0,363.1554613211348,1052
3832,Great Ape #3832,40.449881610102594,36.496350364963504,58.156028368794324,34.81953290870488,37.6008804108584,53.721174004192875,60.90314913844325,41.0,363.14699680605986,1053
1246,Great Ape #1246,41.4811817078106,36.496350364963504,92.34234234234233,33.60655737704918,40.50983104436321,39.821289821289824,37.86829223238201,41.0,363.12584489020065,1054
