TOKEN_ID,TOKEN_NAME,background,fur,expression,eyes,clothing,clothing_color,joint_count,last_metadata_update,extras,First 100 Cats,rarity_score,rarity_rank,bcmd_version,paid_endorsement,sneaky_custom,sneaky_custom_date,collaborator,on-contract_collaboration,NUM_TRAITS,RARITY_SCORE,Rank
9993,Blazed Cat #9993,43662.59833916084,5373.858257127488,9672.736735089078,19115.96345197091,5333.690603310198,5538.923541805278,10869.331411163095,13944.72710776103,7135716.071428572,2549.770929045431,17725.341554293824,9995.0,9995.0,5057.716940056704,2003.0080200501252,2503.760025062656,19980005.0,19980005.0,951428.8095238096,48210496.30786827,1
7582,Blazed Cat #7582,5270.934680525511,5373.858257127488,12860.456359423273,6766.460647520997,3715.1366679062853,4503.043723236421,4884.131465727975,6972.363553880515,4493.523974451242,2549.770929045431,11816.894369529218,9995.0,9995.0,5057.716940056704,19980005.0,24975006.25,1999.8003202882596,1999.8003202882596,951428.8095238096,46004693.951732814,2
9452,Blazed Cat #9452,5270.934680525511,5216.711488250653,9871.543972332016,6766.460647520997,5333.690603310198,4503.043723236421,4884.131465727975,10458.54533082077,4493.523974451242,2549.770929045431,5064.383301226807,9995.0,9995.0,5057.716940056704,19980005.0,24975006.25,1999.8003202882596,1999.8003202882596,951428.8095238096,45999900.11722089,3
9991,Blazed Cat #9991,8732.519667832168,18500.00462962963,8831.331771570014,19115.96345197091,87631.60087719299,11408.019298846637,4884.131465727975,41834.18132328308,7107.286923733637,2549.770929045431,35450.68310858765,9995.0,9995.0,5057.716940056704,2003.0080200501252,2503.760025062656,19980005.0,19980005.0,951428.8095238096,41187038.787956394,4
9995,Blazed Cat #9995,12526.648902821316,9207.375576036866,8831.331771570014,19115.96345197091,7389.055103550296,11408.019298846637,4540.703831644017,13944.72710776103,34639.398404993066,2549.770929045431,35450.68310858765,9995.0,9995.0,5057.716940056704,2003.0080200501252,2503.760025062656,19980005.0,19980005.0,951428.8095238096,41100596.9719958,5
9992,Blazed Cat #9992,5270.934680525511,18500.00462962963,5977.74204164672,6766.460647520997,5333.690603310198,5538.923541805278,4884.131465727975,41834.18132328308,4493.523974451242,2549.770929045431,3938.9647898430717,9995.0,9995.0,5057.716940056704,2003.0080200501252,2503.760025062656,19980005.0,19980005.0,951428.8095238096,41046081.62313576,6
12,Blazed Cat #12,8732.519667832168,9207.375576036866,5977.74204164672,6766.460647520997,6546.528505897772,7124.520396519754,12551.831260208568,10458.54533082077,31160.332189644418,277500.06944444444,35450.68310858765,9995.0,9995.0,419748.00420168065,2497500.625,1387500.347222222,1999.8003202882596,1999.8003202882596,19980005.0,24720220.185233638,7
6556,Blazed Cat #6556,85677.55145797599,7666.924405218727,9114.965784671533,19115.96345197091,17775.80516014235,4503.043723236421,16575.41480006637,13944.72710776103,7135716.071428572,2549.770929045431,35450.68310858765,9995.0,9995.0,5057.716940056704,1998000.5000000005,1387500.347222222,1999.8003202882596,1999.8003202882596,951428.8095238096,11714067.895683913,8
409,Blazed Cat #409,9054.656485090183,7516.931903686984,5977.74204164672,6766.460647520997,104062.52604166669,115625.0289351852,4884.131465727975,8366.836264656618,4493.523974451242,2549.770929045431,35450.68310858765,9995.0,9995.0,419748.00420168065,2497500.625,1387500.347222222,1999.8003202882596,1999.8003202882596,6660001.666666668,11293488.535528412,9
9538,Blazed Cat #9538,8732.519667832168,5216.711488250653,9114.965784671533,6766.460647520997,3715.1366679062853,9076.044789679294,12551.831260208568,10458.54533082077,31160.332189644418,2549.770929045431,17725.341554293824,9995.0,9995.0,419748.00420168065,2497500.625,1387500.347222222,1999.8003202882596,1999.8003202882596,6660001.666666668,11105807.904041022,10
