TOKEN_ID,TOKEN_NAME,body,hats,shirt,face,tier,RARITY_SCORE,Rank
9580,Cool Cat #9580,95.0,10146.612903225807,9933.0,17157.0,796.9890202702703,38128.60192349608,1
6972,Cool Cat #6972,95.0,10146.612903225807,9933.0,17157.0,796.9890202702703,38128.60192349608,2
3330,Cool Cat #3330,95.0,10146.612903225807,9933.0,17157.0,796.9890202702703,38128.60192349608,3
5280,Cool Cat #5280,95.0,10146.612903225807,9933.0,17157.0,796.9890202702703,38128.60192349608,4
500,Cool Cat #500,95.0,10146.612903225807,9933.0,17157.0,796.9890202702703,38128.60192349608,5
8800,Cool Cat #8800,95.0,10146.612903225807,9933.0,17157.0,796.9890202702703,38128.60192349608,6
1490,Cool Cat #1490,95.0,10146.612903225807,9933.0,17157.0,796.9890202702703,38128.60192349608,7
2288,Cool Cat #2288,95.0,10146.612903225807,9933.0,17157.0,796.9890202702703,38128.60192349608,8
4695,Cool Cat #4695,95.0,10146.612903225807,9933.0,17157.0,796.9890202702703,38128.60192349608,9
7753,Cool Cat #7753,95.0,144.9516129032258,180.6,903.0,796.9890202702703,2120.540633173496,10
2157,Cool Cat #2157,95.0,149.21489563567363,168.35593220338984,903.0,796.9890202702703,2112.559848109334,11
8160,Cool Cat #8160,95.0,144.9516129032258,165.54999999999998,903.0,796.9890202702703,2105.490633173496,12
7874,Cool Cat #7874,95.0,149.21489563567363,180.6,857.85,796.9890202702703,2079.653915905944,13
3652,Cool Cat #3652,95.0,149.21489563567363,168.35593220338984,857.85,796.9890202702703,2067.409848109334,14
192,Cool Cat #192,95.0,149.21489563567363,168.35593220338984,857.85,796.9890202702703,2067.409848109334,15
7026,Cool Cat #7026,95.0,144.9516129032258,168.35593220338984,857.85,796.9890202702703,2063.146565376886,16
3124,Cool Cat #3124,95.0,144.9516129032258,165.54999999999998,857.85,796.9890202702703,2060.3406331734964,17
8850,Cool Cat #8850,95.0,144.9516129032258,162.8360655737705,857.85,796.9890202702703,2057.626698747267,18
7310,Cool Cat #7310,95.0,149.21489563567363,155.203125,857.85,796.9890202702703,2054.257040905944,19
1877,Cool Cat #1877,95.0,149.21489563567363,183.94444444444446,817.0,796.9890202702703,2042.1483603503884,20
5411,Cool Cat #5411,95.0,149.21489563567363,180.6,817.0,796.9890202702703,2038.803915905944,21
7807,Cool Cat #7807,95.0,144.9516129032258,174.26315789473685,817.0,796.9890202702703,2028.203791068233,22
2823,Cool Cat #2823,95.0,149.21489563567363,162.8360655737705,817.0,796.9890202702703,2021.0399814797147,23
