TOKEN_ID,Unnamed: 0,Accessory,Background,Beard,Clothes,Eyes,Glasses,Hair,Hat,Body,Head,Moon,Mouth,Unique,NUM_TRAITS,RARITY_SCORE,Rank
8888.0,5716,None,9201.694117647061,2748.183823273613,11672.066193853429,2637.438034188034,4161.217024863043,6275.543692405466,11644.537735849055,5877.719047619047,5877.719047619047,24563.601990049752,8976.880000000001,890.4028854824165,3449.028292001397,106864.03188485136,3595
8888.0,7695,Ciggy,8402.993724071908,2748.183823273613,21943.484444444446,5069.080082135523,6228.046672973826,13976.74168435952,12042.156097560977,2716.5248968363135,2716.5248968363135,3544.9894094417523,13947.129943502825,890.4028854824165,3746.75317776513,106861.01173868457,3596
8888.0,5324,Cross,8123.873303167421,2748.183823273613,3836.2735042735044,5741.027906976745,10956.524826629682,13976.74168435952,807.2733812949641,5877.719047619047,5877.719047619047,24563.601990049752,11120.00900900901,890.4028854824165,3449.028292001397,106856.37870175611,3597
8888.0,8689,None,7160.023928215354,2748.183823273613,3649.1382113821137,2637.438034188034,4161.217024863043,7790.586193293886,18561.218045112782,7104.005755395684,7104.005755395684,24563.601990049752,8147.333333333334,890.4028854824165,3449.028292001397,106854.18327198709,3598
8888.0,5006,None,8123.873303167421,13446.220255319147,7514.891933028919,2687.688622754491,14357.786986550345,6779.655338139376,11170.325791855204,5877.719047619047,5877.719047619047,3544.9894094417523,13947.129943502825,890.4028854824165,3746.75317776513,106853.15574224512,3599
8888.0,4374,None,8868.044903457567,2748.183823273613,4898.099206349207,19514.956521739132,2556.687940967053,5504.218506131549,19286.265625,10179.967010309278,10179.967010309278,3544.9894094417523,1607.1888020833333,890.4028854824165,8183.626230187508,106850.59787473167,3600
8888.0,6726,Silver Stud,8526.34042093902,13446.220255319147,4093.9336650082914,2637.438034188034,19938.55224634023,3920.8131824498705,6993.3201133144485,10179.967010309278,10179.967010309278,3544.9894094417523,1607.1888020833333,890.4028854824165,11992.795506300288,106839.92854148538,3601
8888.0,7158,None,7160.023928215354,13446.220255319147,24563.601990049752,5349.170097508126,4161.217024863043,13976.74168435952,7526.3475609756115,2716.5248968363135,2716.5248968363135,3544.9894094417523,8147.333333333334,890.4028854824165,3746.75317776513,106833.85114098582,3602
8888.0,4597,None,8224.523060905778,2748.183823273613,10096.69529652352,5741.027906976745,6228.046672973826,5504.218506131549,7114.2420749279545,8110.528131416837,8110.528131416837,24563.601990049752,7155.484057971014,890.4028854824165,3449.028292001397,106824.51083005125,3603
8888.0,553,None,8868.044903457567,2748.183823273613,4558.895660203139,7861.91719745223,2556.687940967053,37833.5938697318,7526.3475609756115,5877.719047619047,5877.719047619047,3544.9894094417523,1607.1888020833333,890.4028854824165,8183.626230187508,106823.3163784941,3604
