,TOKEN_ID,USER,DATE,RANK,PRICE
3116,4527,0xf5139b79ee9c79973dd8102287aae8d2fe0d71da,2021-09-12T20:01:58.896391,122,0.75
3630,1964,0x0d79cce030ae9654aa9488524f407ce464297722,2021-09-12T19:47:32.185405,126,0.475
1527,8506,0x1d973d947b0f68ca339c37801ab2af8a06a501ba,2021-09-12T23:03:38.810795,129,0.849
1705,5231,0x429eb4045690a3107a499e3ad804d1ebd824f51a,2021-09-12T22:15:52.081743,130,0.76
2568,6377,0xb12bc4a0c497f1c3baee7031c5bfd119ecc0c906,2021-09-12T20:23:58.159133,131,0.95
586,8489,0xf158845adcfccb8474eafa0763139c91d4115225,2021-09-13T10:44:15.369093,132,1.1
15,8489,0x0d1d74535bcabda2da2cff5a53c2b899901d423b,2021-09-13T22:54:21.593722,132,0.9
279,1292,0x72d47083aa4593909535b19bbea290c495237226,2021-09-13T17:54:49.049587,134,1.29
1305,8734,0xf9f40128e49d2941fc7c906a9eca8bb65b54d60d,2021-09-13T00:22:50.917394,140,0.948
927,1782,0x78e73cb6934102a67a48c7917e1aa3ac9c9c83ac,2021-09-13T03:47:51.886086,144,1.3
2838,1782,0x73e4fdd812a1c28706cfbd03249731ef50f6f520,2021-09-12T20:11:00.541674,144,0.88
707,6610,0xc3baa0fa5f21af0157548bebf57028516fca7a71,2021-09-13T08:33:01.371636,145,1.02
1007,3529,0x795d7d64d16c1b30da853e5ca5c45568a41a93cc,2021-09-13T02:42:43.162211,148,1.2
2984,1845,0xfabe0e7955057cf9f646633cd64c141af7a2b770,2021-09-12T20:06:20.298903,153,0.79
4258,243,0xb70f05c4e9c5b438917bd8ac8825de51cfa6a207,2021-09-09T17:27:41.033311,157,1.6
4268,243,0xf8d0a4542b1277d8a330e69cc56bdc109029c623,2021-09-09T17:05:45.090552,157,1.25
2564,6200,0x508ed8545360a1fedf2ac62aced0eeefe4707c3c,2021-09-12T20:24:04.378458,158,0.9
853,1863,0xffce09ca00041e196e10458d5f981c0a1a76fe98,2021-09-13T04:54:53.295624,159,1.068
3209,4984,0xb29976fc13f919128470b32df5371c7750fc9667,2021-09-12T19:59:05.527056,165,0.6
4161,504,0x31ba8dc3538c6a87b957c48b674233efe7ef76f5,2021-09-09T23:41:01.999008,169,2.25
3127,1733,0x486b5e4a43e5ad882421854fd2890ccf6fbbfcfa,2021-09-12T20:01:57.050656,172,0.79
142,8656,0x48f82af779905d7dc414a580e6ed31c9b9276e00,2021-09-13T21:02:58.439194,174,0.888
1296,8631,0xc3baa0fa5f21af0157548bebf57028516fca7a71,2021-09-13T00:24:35.996471,175,0.95
3199,2362,0xb1179f5243257e239759617491ff3488a7b54532,2021-09-12T20:00:01.444827,176,0.65
290,1667,0x948f42fc40c86b2bdfe1cd136421ea2a4bd6c5fb,2021-09-13T17:48:54.238926,178,0.885
3123,4455,0xc1be6b498d5557b62a437fd887ac329a7ed02bc9,2021-09-12T20:01:58.045112,179,0.55
604,4455,0x46fb247c336499ae6f4de198d2b5d78f8ef3dae0,2021-09-13T10:19:12.795685,179,1.05
2248,4871,0x08f70056654c86a3b4b2f85f7be708731a4a8537,2021-09-12T20:48:30.098438,186,0.915
3060,4871,0xe1363434c88fcc2939211995ebfacd6ff7f4cb39,2021-09-12T20:04:11.352336,186,0.69
252,3799,0xc96adb5418751e7f84954a81448fc0a737773826,2021-09-13T18:26:13.399628,189,0.9
4070,608,0x4a9f2e8f692d2f7b3f45f04bcd5bc136e492f921,2021-09-11T02:07:47.552881,193,1.9
1476,5693,0xffc041b1c734f8bc0502a9fc0d7c35ab437c416d,2021-09-12T23:18:34.916441,194,0.9
455,3006,0x255c8bab632562e663fe133ca240b5424a50145b,2021-09-13T14:19:45.455397,196,1.03
2825,1936,0xe33ea6bae2a3cb62213b80865b193353d2999374,2021-09-12T20:11:26.773907,197,0.89
2131,4571,0x45e3472884fea19a86be55111faaa293d6c56305,2021-09-12T21:02:35.343137,200,0.89
2041,1265,0x9605b6f3448226cf0ce5fdd752de61d65d27fde9,2021-09-12T21:14:08.559126,201,0.92
722,1772,0xcaa6fdaf2aaefd9de8a890f5da9193817a17ddf8,2021-09-13T08:12:08.748433,203,0.999
1356,8645,0x168c7cafafe0551a17c80f2d4318838de747867a,2021-09-13T00:10:31.156722,208,0.95
906,8645,0x8efaeb6ece34f64b39f2045471a9cd2fe7aad495,2021-09-13T03:59:19.768411,208,1.199
783,3820,0x7306c97d28d15867ee8c73ed6d26558980dbdd58,2021-09-13T06:06:52.068596,212,1.15
1485,2642,0xc3baa0fa5f21af0157548bebf57028516fca7a71,2021-09-12T23:15:55.138923,214,0.9
2175,6658,0x58a6a4bb3de7533a5eb0a445bbe3d62b614efd7e,2021-09-12T20:56:32.601954,216,0.899
1124,4339,0x89c206030df4747e332680f4c1f5bc6fea81f006,2021-09-13T01:29:34.826923,217,1.0
395,972,0xf1ab326e9aa8792272471bc47069b9670d7292bb,2021-09-13T15:41:44.637253,219,0.9
2567,3350,0x7e5dfe576668818b48db0c1311a95482654cec37,2021-09-12T20:24:05.520614,224,0.94
3128,4675,0x0f2d0b673d9256c13511bc2bfc059ae354cceca6,2021-09-12T20:01:57.167906,226,0.6
3808,912,0x1831d004c7bf6a5abae2d882c9797102783a330f,2021-09-12T19:43:07.194393,228,0.8
2602,6374,0xd4b0963acc164332333710628ec4acaab150abd2,2021-09-12T20:21:21.879699,229,1.0
463,6929,0x7ced4081c4cde7ac4bfd71c67a682665a979cd65,2021-09-13T14:12:06.288498,230,1.11
3568,3574,0x66f861857e720c3dfa8090786c4695e753605649,2021-09-12T19:49:27.290913,234,0.4
1963,3574,0x7c5dd7bb12bb50f5b904da230c0c8a559f306f2b,2021-09-12T21:27:39.699565,234,0.79
2450,4461,0x83597b09e0af547530dba42be453d43c83312fc4,2021-09-12T20:30:59.695241,239,0.87
1596,1249,0x3b1e3f66b9b481937e6b432dea24b377477ff0e1,2021-09-12T22:44:48.186651,245,0.788
4278,320,0xf8e11bdc54955d8484a45f24693d3d0ebd8b6bfd,2021-09-09T16:51:57.267962,248,1.0
679,3404,0xc3baa0fa5f21af0157548bebf57028516fca7a71,2021-09-13T08:59:58.902933,249,0.948
3370,1578,0x89f8531b9cd63fa6094f0c978297ec93ab1b3ade,2021-09-12T19:54:25.478949,255,0.6
1543,4087,0x4ffe72a85f13d2f812728b52639b77ae4fcc7f77,2021-09-12T22:59:28.662553,256,0.85
3677,3887,0xb29976fc13f919128470b32df5371c7750fc9667,2021-09-12T19:46:58.777964,258,0.5
3339,3623,0xcd5bcf7c05670e3dda2e8dc576d1c4cfdd090150,2021-09-12T19:54:28.136690,263,0.5
4252,387,0xe33ea6bae2a3cb62213b80865b193353d2999374,2021-09-09T18:14:01.673892,264,2.0
259,4970,0x7784981924567c0aa2c0c3e17ce9b1ee309e5701,2021-09-13T18:20:04.639258,266,0.89
631,4061,0x71d3f6d8f0db270b8f3d401c3bc9ddc4661ddaa4,2021-09-13T09:46:48.465223,267,1.048
632,4061,0x0997064cd66665b42a9a2d361e554702ec565e3f,2021-09-13T09:44:43.664217,267,0.9498
4275,367,0x94158b305bdd1b81be2cacde393a0d115d327348,2021-09-09T16:53:30.741329,272,1.0
3788,1195,0xc2a48638b7583c7f50651261c7bd4122a2ffe027,2021-09-12T19:43:39.829851,275,0.69
316,5550,0xa62c1e465ff8a8da1269abbdd869d12b26566c66,2021-09-13T17:11:24.416747,282,0.938
2379,6333,0x36772f3a584735d41c12892ebe2a5a2abe74efa6,2021-09-12T20:37:20.930872,288,0.87
3764,1572,0xfddaec643afdddf0ed21482f88da5d4aec7af548,2021-09-12T19:44:25.169898,291,0.69
479,8343,0x418297b815d7c99701c3ec61eb05d1cba0c1ff07,2021-09-13T13:56:03.530855,294,1.0
3701,3332,0x010dd0b8ee75e35169e1a42163ab9c6f162708da,2021-09-12T19:45:49.009344,295,0.369
4135,208,0x75f5eb4cb1af5724f515f28fdd7c8a36c9261c78,2021-09-10T02:37:36.432059,297,2.48
583,3263,0xede9a4f7088260bc9478766565d0af49f5b6bd88,2021-09-13T10:50:46.372680,301,1.1
2828,4611,0xede10d5c4527674db823cdd936962a34ff31c13c,2021-09-12T20:11:24.658766,302,0.8
2480,4611,0x4e71ef0f284f48c4dcc3b29c3f452843cf92448d,2021-09-12T20:29:06.078159,302,0.95
2146,4231,0xf31adf12a6d4c42563a409797ecd21bda2a8b8af,2021-09-12T21:00:29.515531,304,0.949
3773,1623,0xc1e7c5ab22a747db4d63d0df649f5d3f6bbe8200,2021-09-12T19:44:01.086562,306,0.74
3232,1311,0xc7950b3c23b42b12edc5e8101d25348a9593916c,2021-09-12T19:57:44.107604,308,0.744
759,7741,0xcbafdae054f24e2e6c4a3dc70e85db8b13b56ab4,2021-09-13T06:55:50.743599,310,1.147
245,8018,0x1c92556f2a27ec809de47b2d384c2f474f07baef,2021-09-13T18:30:54.190701,313,0.9
515,3765,0xed807e7625f6993aed6341cfccf7e76a3c3ffc3a,2021-09-13T12:36:23.233132,314,1.09
522,3765,0x51c2bc3e8cb79d7bd0003121a8cde881ae5d545d,2021-09-13T12:25:32.399360,314,0.93
665,3442,0x5e42d39b0460b1abf1dbf6d6ff70a25ddda49512,2021-09-13T09:11:20.137861,319,1.0
1188,6960,0xceb5d5881b1d8484df57370ed48e9f4d8d9d9c15,2021-09-13T01:02:26.861384,320,0.99
291,8519,0x2ded757668a8af1bf13b57b646e66a5767b120cb,2021-09-13T17:47:03.866095,327,0.89
3931,471,0xaee79ca6b22efdf9aee15ebc3cf774ccef2ce06b,2021-09-12T19:19:01.709831,328,2.1
2436,3879,0xffdc52b54f14e04e66768d86eab5554f08061139,2021-09-12T20:32:30.333633,330,0.95
2549,3879,0x4cadb895719ce44460c9902170218811ec648315,2021-09-12T20:24:36.365056,330,0.9
1262,3482,0x4f55ae5521c82f09e98657eeb24450a24ea6e513,2021-09-13T00:34:18.556663,333,0.98
1483,7362,0x0331bfe784f8a01b83cf7d8a6818bd66d8b29ed1,2021-09-12T23:16:13.424480,334,0.9
558,5685,0xed807e7625f6993aed6341cfccf7e76a3c3ffc3a,2021-09-13T11:42:08.935206,335,1.1
4195,570,0x76c9e00e14315796ded7de8f3418ecd6367d0d28,2021-09-09T21:09:56.375531,337,1.99
4128,633,0x68c5adfbb4403229c618410fbcf079166186afad,2021-09-10T04:47:39.193007,340,2.45
3319,1390,0xbc1b89612b8c8e006929197569818e785e427bfb,2021-09-12T19:55:29.112059,342,0.6
810,2220,0xaa4f54fba2271590ea264973ff8a562fa085595f,2021-09-13T05:39:00.197476,344,1.0
3242,3246,0xc1d1a314f45c130c77e3fb67f8569362017e954f,2021-09-12T19:57:33.300895,345,0.875
3348,3246,0xf69ca13723675bec7cfcae98a8046ca58cd8ba63,2021-09-12T19:54:28.426846,345,0.55
2886,3426,0xa7c34b15ccce63e4a5b933ea0c4dfee4db35d5e4,2021-09-12T20:09:14.610809,348,0.82
874,3426,0x3bd1b8f38218d4ead6c6f306bf42ceec385f9e98,2021-09-13T04:25:11.665929,348,1.07
2369,3934,0x67a65887619dc15823d00fb90ef9119fcbf5dfe4,2021-09-12T20:37:39.970649,349,0.96
970,8603,0x2da54b2e8c7775ff39f3977553895db3e18501c3,2021-09-13T03:03:54.783984,353,1.25
858,3584,0xc8e955ce48bdded94d85bf3a6f1ec41f8bbb441c,2021-09-13T04:44:56.820977,357,1.068
59,5678,0xd54b4fde949570f18f1c13952a538a1525b6cab2,2021-09-13T22:20:05.381931,358,0.9
2655,5678,0xe0699551bc5a3514335870844ae22e2633698515,2021-09-12T20:18:46.297946,358,0.84
654,6615,0xc3baa0fa5f21af0157548bebf57028516fca7a71,2021-09-13T09:21:15.702428,359,1.03
3150,4841,0x9ef9dc59d2d8ee490572ff59e018103b2e96ae44,2021-09-12T20:01:09.356908,360,0.5
388,971,0xf1ab326e9aa8792272471bc47069b9670d7292bb,2021-09-13T15:43:37.656828,361,0.9
3379,3163,0x91b0bd0a5664821adefa2b71d2c4ca2b2a3971b2,2021-09-12T19:54:27.491918,362,0.5
3682,2272,0xa894186fe581b8ca4bdc34683cf40410ffcba67c,2021-09-12T19:46:57.628384,363,0.39
2570,2272,0x10d0739e251f5c212312d023c9fcfe0fdcafca23,2021-09-12T20:23:58.871743,363,0.99
378,970,0x8b624038a2e50eb034b05c5c1223766ffc5a225c,2021-09-13T15:47:55.967562,365,0.9
3836,1402,0x278db415b3c969e789e1ec9e80e1e001a5dcee82,2021-09-12T19:41:58.838624,366,0.45
2859,1402,0x7706abe0d94e08dd0375dc3d0e997d5680324e38,2021-09-12T20:09:58.193824,366,0.799
831,5296,0x938a0af4b86057489bc651dd02c080890d8ed5e5,2021-09-13T05:16:42.602324,368,1.05
1114,5296,0x07e9ddcbeb02b121df864ede32e79e6d11fcd4cc,2021-09-13T01:32:25.963861,368,0.99
3984,289,0x42f7c5275ac4372156027d939843c9c42523df2e,2021-09-12T00:29:12.716195,371,1.8
3442,4395,0x0f3e5f4d5033c8eeae3b5feac3c6c51a23c7a852,2021-09-12T19:52:16.121009,373,0.5
2427,4395,0xc9f7bc0ed37b821a34bfd508059c75460d6efb37,2021-09-12T20:33:16.956549,373,0.948
23,6184,0x88529d2289d47e9339938f25f2e56a33c91671cb,2021-09-13T22:52:22.041325,376,0.95
2578,6184,0x294c0e460f922224e2eb4451e870c1d828223413,2021-09-12T20:23:23.474482,376,0.75
3087,2458,0x8a618c1cba0f822f7ce333c4c04b9337efb4638b,2021-09-12T20:03:15.732198,380,0.7
2335,1042,0xe07295c04d02f2efc8d3701c5582a7651c7a9c2e,2021-09-12T20:40:02.892129,382,0.94
3565,1042,0xfe8ecadec5aa84b00e49ed8b3efc866ff3b43fc4,2021-09-12T19:49:26.001143,382,0.42
3977,484,0x5091555760dba6af5bdceebe74b023452c053576,2021-09-12T04:03:32.803285,383,1.77
247,6525,0xa50cdb164f2a1f904310076bb2288532c37f08aa,2021-09-13T18:28:41.557271,385,0.898
2153,7732,0x5ed2f08d19c6c94cb26fbe806cbdcb1f9f2f234b,2021-09-12T20:59:50.281610,386,0.8
2123,7732,0x2f5f10d8136a986df4943c3b4c335032268d3789,2021-09-12T21:02:51.790755,386,0.9
1884,2384,0x6cdd7327a426aeb2e1259d2432efa5c1dec2dc4c,2021-09-12T21:41:03.401423,389,0.8
3010,3414,0xd57aea3072fa4bc1ce9b7fa139445e8c1e735e15,2021-09-12T20:05:31.297406,391,0.85
1869,1913,0xab621ff6d5a0d70d05da5c755d56e4f55aba01ad,2021-09-12T21:43:10.311020,395,0.85
1058,7260,0x24009c669e690d4b348d3614254b1149b3ad3dfa,2021-09-13T02:16:01.630682,396,1.1
2340,4579,0x3659a232018ebd62b0693d265acba0049bcae446,2021-09-12T20:39:57.366460,397,0.98
2381,4579,0x1db728f6812d935a1873433e9cd3ed1766e325b4,2021-09-12T20:37:21.170910,397,0.81
1094,3654,0x1115a90f82cfd083de7480494bac1c6f000f5357,2021-09-13T01:46:48.732636,399,1.0
1254,1129,0x2b9e03299d9449d3add284a1c13ab2566e876d64,2021-09-13T00:37:01.640450,400,1.0
701,6604,0x6487892dff909617b6fae370408c978e3b9630c5,2021-09-13T08:37:35.206462,401,0.934
1866,1909,0xab621ff6d5a0d70d05da5c755d56e4f55aba01ad,2021-09-12T21:43:56.335484,402,0.85
2765,2675,0x342f5c4b791d483b852bef40d3f7597a00291a81,2021-09-12T20:14:06.149638,403,0.8
935,2675,0xe76c973780e85bac237714d1d3f28ecb25957b4c,2021-09-13T03:39:25.127375,403,1.269
3979,568,0x923c753947d55d1ae74892d52738adc4311d8cac,2021-09-12T02:06:16.895340,405,2.0
1955,4476,0x659a6498055cd3131b7516c29a5f08fb09351f05,2021-09-12T21:27:59.288305,406,0.89
