,block_numbers,timestamps,base_fee
111,13212979,2021-09-12 19:57:35,152.842893073
112,13212980,2021-09-12 19:58:22,171.947810622
113,13212981,2021-09-12 19:58:33,193.166318041
114,13212982,2021-09-12 19:58:48,196.847929159
115,13212983,2021-09-12 19:58:54,188.327376388
116,13212984,2021-09-12 19:59:01,179.918010137
117,13212985,2021-09-12 19:59:51,202.405594891
118,13212986,2021-09-12 19:59:55,179.209674204
119,13212987,2021-09-12 20:00:12,201.608275978
120,13212988,2021-09-12 20:00:14,214.068181911
121,13212989,2021-09-12 20:00:22,201.880163593
122,13212990,2021-09-12 20:00:23,176.645143144
123,13212991,2021-09-12 20:00:36,182.56588353
124,13212992,2021-09-12 20:00:37,159.745148089
125,13212993,2021-09-12 20:00:41,157.01827242
126,13212994,2021-09-12 20:00:44,140.517770227
127,13212995,2021-09-12 20:00:50,144.254895362
128,13212996,2021-09-12 20:01:24,161.76523211
129,13212997,2021-09-12 20:01:27,179.458404127
130,13212998,2021-09-12 20:01:46,194.449031191
131,13212999,2021-09-12 20:01:54,181.523906008
132,13213000,2021-09-12 20:01:55,164.03609986
133,13213001,2021-09-12 20:01:57,148.819553515
134,13213002,2021-09-12 20:02:12,166.884932738
135,13213003,2021-09-12 20:02:28,179.346280731
136,13213004,2021-09-12 20:02:32,166.776946102
137,13213005,2021-09-12 20:02:34,147.762453532
138,13213006,2021-09-12 20:02:42,143.407864474
139,13213007,2021-09-12 20:02:48,128.122625256
140,13213008,2021-09-12 20:03:01,144.04736431
141,13213009,2021-09-12 20:03:23,159.939727088
142,13213010,2021-09-12 20:03:29,141.922932675
143,13213011,2021-09-12 20:04:02,159.65809187
144,13213012,2021-09-12 20:04:03,169.240352772
145,13213013,2021-09-12 20:04:07,152.054877819
146,13213014,2021-09-12 20:04:14,142.21158503
147,13213015,2021-09-12 20:04:45,159.986946425
148,13213016,2021-09-12 20:04:55,165.650789636
149,13213017,2021-09-12 20:05:07,166.567341888
150,13213018,2021-09-12 20:05:16,160.569478161
151,13213019,2021-09-12 20:05:17,142.324258721
152,13213020,2021-09-12 20:05:39,159.921147553
153,13213021,2021-09-12 20:05:40,144.671585334
154,13213022,2021-09-12 20:05:45,131.343711919
155,13213023,2021-09-12 20:05:50,127.545695422
156,13213024,2021-09-12 20:06:10,141.698323092
157,13213025,2021-09-12 20:06:22,149.939259037
158,13213026,2021-09-12 20:06:34,148.146730198
159,13213027,2021-09-12 20:06:42,155.591030551
160,13213028,2021-09-12 20:07:06,174.790724709
161,13213029,2021-09-12 20:07:13,166.979456859
162,13213030,2021-09-12 20:07:26,168.875024351
163,13213031,2021-09-12 20:07:53,189.975146636
164,13213032,2021-09-12 20:08:23,208.516686118
165,13213033,2021-09-12 20:08:42,213.169113893
166,13213034,2021-09-12 20:08:43,194.086151986
167,13213035,2021-09-12 20:08:46,171.736402145
168,13213036,2021-09-12 20:08:57,185.90909757
169,13213037,2021-09-12 20:09:02,165.858829284
170,13213038,2021-09-12 20:09:26,186.398662325
171,13213039,2021-09-12 20:09:38,198.309844176
172,13213040,2021-09-12 20:09:46,201.739154585
173,13213041,2021-09-12 20:09:52,178.310738949
174,13213042,2021-09-12 20:10:00,200.599225043
175,13213043,2021-09-12 20:10:21,214.780998357
176,13213044,2021-09-12 20:10:38,236.772831699
177,13213045,2021-09-12 20:10:52,231.102763111
178,13213046,2021-09-12 20:10:55,202.214917723
179,13213047,2021-09-12 20:11:14,213.794110052
180,13213048,2021-09-12 20:11:19,192.555564733
181,13213049,2021-09-12 20:11:42,194.744052849
182,13213050,2021-09-12 20:11:48,179.104855367
183,13213051,2021-09-12 20:12:15,188.79941462
184,13213052,2021-09-12 20:12:26,173.779563723
185,13213053,2021-09-12 20:12:34,165.045622972
186,13213054,2021-09-12 20:12:49,159.858288556
187,13213055,2021-09-12 20:13:33,179.831320162
188,13213056,2021-09-12 20:13:35,157.628557115
189,13213057,2021-09-12 20:13:46,166.278526645
190,13213058,2021-09-12 20:13:56,152.906065276
191,13213059,2021-09-12 20:14:01,139.109339283
192,13213060,2021-09-12 20:14:09,149.566766779
193,13213061,2021-09-12 20:14:21,142.510661655
194,13213062,2021-09-12 20:14:28,138.165617277
195,13213063,2021-09-12 20:14:54,148.626774025
196,13213064,2021-09-12 20:15:21,158.740360968
197,13213065,2021-09-12 20:15:28,145.703934493
198,13213066,2021-09-12 20:15:34,135.987475778
199,13213067,2021-09-12 20:15:42,128.79540529
