,TOKEN_ID,USER,OFFER,DATE,RANK
0,1027,0x201cedc1a286150a809f9f1a9e4c05c33ae154b1,1.0,2021-10-13T14:55:49.567544,5047
1,472,0x2a58d1bf93fc5715ffad15d4a9ec4676cda877f2,5.8,2021-10-13T14:41:32.040440,5977
2,1497,0x201cedc1a286150a809f9f1a9e4c05c33ae154b1,1.0,2021-10-13T14:21:46.110597,5655
3,8479,0x201cedc1a286150a809f9f1a9e4c05c33ae154b1,1.0,2021-10-13T14:21:38.812514,536
4,6391,0x201cedc1a286150a809f9f1a9e4c05c33ae154b1,1.0,2021-10-13T14:06:21.690954,6961
5,4213,0x39d0792ad8a277af90b91c32eabc2aef37f8c151,6.0585,2021-10-13T14:05:34.721520,3270
6,7045,0x201cedc1a286150a809f9f1a9e4c05c33ae154b1,1.0,2021-10-13T14:02:10.364286,6567
7,4214,0x39d0792ad8a277af90b91c32eabc2aef37f8c151,6.0585,2021-10-13T13:58:16.915682,18
8,4214,0x39d0792ad8a277af90b91c32eabc2aef37f8c151,6.0585,2021-10-13T13:58:15.592356,18
9,648,0x201cedc1a286150a809f9f1a9e4c05c33ae154b1,1.0,2021-10-13T13:38:46.965128,4808
10,4957,0xe1b1b89479397f6abf09dc49a57207bfdd23f3a3,3.7787,2021-10-13T13:24:47.463813,6962
11,1027,0x39a00cc8557f5bbf8f581d12932b9b7b2dbee493,3.4013,2021-10-13T13:22:38.979663,5047
12,4958,0xeeaac19931b60166c9954db3df3bb9db400c9666,4.5162,2021-10-13T13:22:25.107220,3829
13,7045,0x7502081d263c25c7819d85e36d47cf705e3fbb76,4.416,2021-10-13T13:21:50.799870,6567
14,648,0xdc7635110f919dbdc0eaeb2da873134aaad0aa6e,3.6966,2021-10-13T13:20:39.321634,4808
15,1497,0xe971a5a15a9a68022af4cc52b4bee80af2ba13ab,5.7,2021-10-13T12:48:06.571196,5655
16,1605,0x201cedc1a286150a809f9f1a9e4c05c33ae154b1,1.0,2021-10-13T12:19:52.911450,7421
17,6391,0xe971a5a15a9a68022af4cc52b4bee80af2ba13ab,5.8,2021-10-13T12:06:41.675229,6961
18,6391,0x384d5e35f01986eeab07c883b6a6490cfd206d87,5.676798188,2021-10-13T10:45:28.292607,6961
19,5251,0x384d5e35f01986eeab07c883b6a6490cfd206d87,5.662196488,2021-10-13T10:37:50.809620,8209
