,TOKEN_ID,USER,DATE,RANK,PRICE
1096,5624,0x42f85f6dc06eb6fe7ef607ac850fe633ffae221f,2021-09-22T15:48:51.958238,5,0.16
191,9495,0x95f5272a4302e58a13422deaeffff646d2b940ab,2021-09-22T18:05:41.101950,6,0.109
1694,53,0x96bba2988a064af2ca6028ed21d53dbd6ced2b47,2021-09-20T10:14:39.928641,7,0.1048
1738,38,0x51c3016d6699480ec6becdf2155079c27ebae040,2021-09-20T08:57:04.812041,9,0.107
1748,43,0xcb03d7d779b6d4250d9ea3ca7feb01f24d096735,2021-09-20T08:42:07.406157,12,0.107
1735,47,0x51c3016d6699480ec6becdf2155079c27ebae040,2021-09-20T08:59:11.066833,14,0.106
2050,1704,0x79137d62f126836f96fed0fe044c7c0023f6cd15,2021-09-19T11:05:09.928463,15,0.11
1709,48,0x5cf27815411d0eac8eb726e7227fe09828a85780,2021-09-20T09:36:05.960594,16,0.105
2843,76,0xe37282c507e62446861e02491acf060571a1d6c2,2021-09-17T11:34:06.053335,17,0.01
1727,52,0xb961d17dbce3fa9f54959fa7ca245ce511d28dfd,2021-09-20T09:08:09.100345,18,0.107
2860,58,0xec7e61b272b8fe2eda86275f867253025d031214,2021-09-17T11:22:20.871345,21,0.2
1749,41,0xdcaba4bf782b693def3adf5b21d81de6328e00f7,2021-09-20T08:40:50.888691,23,0.107
2855,14,0x822b5a721b4bcf8e627f0dc287c57f187d0b17dc,2021-09-17T11:26:53.335932,24,0.19
1737,45,0x51c3016d6699480ec6becdf2155079c27ebae040,2021-09-20T08:57:47.759642,25,0.106
2149,132,0x661e6ba870af4fca13f2ee7c45c7df33cfecdb4f,2021-09-19T00:48:55.654479,33,0.0999
1744,34,0x96bba2988a064af2ca6028ed21d53dbd6ced2b47,2021-09-20T08:48:43.696570,36,0.107
1706,54,0x0080dc966005600c1c0da76e17ee65cb5429de2c,2021-09-20T09:41:08.793999,63,0.106
2857,12,0x1831d004c7bf6a5abae2d882c9797102783a330f,2021-09-17T11:24:38.906298,83,0.2
1722,36,0xb587cdc5f974c250901c4ea15df5c1b8fd8cc6fe,2021-09-20T09:11:42.946745,84,0.106
331,6118,0x2865ec116a7742a0f3a0cad741f994e2c01ee6dc,2021-09-22T17:57:43.278348,93,0.12
1734,40,0x51c3016d6699480ec6becdf2155079c27ebae040,2021-09-20T08:59:47.158408,98,0.107
1151,131,0x98781e471767dfca0f8102e1aefb94dfe7888d85,2021-09-22T14:32:12.621670,105,0.1555
1746,49,0x51c3016d6699480ec6becdf2155079c27ebae040,2021-09-20T08:48:00.323142,110,0.107
402,10184,0x6d6a605bcc6d81d0dbbc3fb124d0d89faf9bf311,2021-09-22T17:53:59.114223,117,0.12
1721,207,0x31d08a68629bd2b8d00fedab78b0081783bf17a8,2021-09-20T09:15:57.915097,118,0.1066
1050,62,0xc52a04be765fabd6da4693a77f189d1b0f67825b,2021-09-22T17:01:09.910947,122,0.1489
1725,50,0xb961d17dbce3fa9f54959fa7ca245ce511d28dfd,2021-09-20T09:10:44.449895,126,0.107
