,block_numbers,timestamps,base_fee
111,13276877,2021-09-22 17:30:33,200.879343323
112,13276878,2021-09-22 17:30:47,225.967624859
113,13276879,2021-09-22 17:31:01,220.683818238
114,13276880,2021-09-22 17:31:02,194.814870414
115,13276881,2021-09-22 17:31:32,209.063027733
116,13276882,2021-09-22 17:32:06,206.928665427
117,13276883,2021-09-22 17:32:28,196.371235618
118,13276884,2021-09-22 17:32:34,175.256061052
119,13276885,2021-09-22 17:32:37,173.094608728
120,13276886,2021-09-22 17:32:40,154.827476076
121,13276887,2021-09-22 17:32:57,156.270048828
122,13276888,2021-09-22 17:33:22,154.174881589
123,13276889,2021-09-22 17:33:39,145.43328245
124,13276890,2021-09-22 17:33:49,140.737965291
125,13276891,2021-09-22 17:33:56,133.211317154
126,13276892,2021-09-22 17:34:08,128.036297059
127,13276893,2021-09-22 17:34:13,119.545606367
128,13276894,2021-09-22 17:34:49,128.066820177
129,13276895,2021-09-22 17:35:28,142.488456813
130,13276896,2021-09-22 17:35:34,130.787947125
131,13276897,2021-09-22 17:35:45,119.791042585
132,13276898,2021-09-22 17:36:26,131.022162644
133,13276899,2021-09-22 17:36:39,123.447378933
134,13276900,2021-09-22 17:37:41,138.861994377
135,13276901,2021-09-22 17:37:48,140.713742215
136,13276902,2021-09-22 17:38:33,151.239863016
137,13276903,2021-09-22 17:38:40,137.287015197
138,13276904,2021-09-22 17:38:52,128.388732138
139,13276905,2021-09-22 17:38:53,112.340140621
140,13276906,2021-09-22 17:39:22,126.292566938
141,13276907,2021-09-22 17:39:36,136.395265054
142,13276908,2021-09-22 17:39:39,123.604794528
143,13276909,2021-09-22 17:40:29,139.048047599
144,13276910,2021-09-22 17:40:54,150.262634162
145,13276911,2021-09-22 17:41:13,140.376330794
146,13276912,2021-09-22 17:41:18,136.765213205
147,13276913,2021-09-22 17:41:44,130.687028637
148,13276914,2021-09-22 17:41:50,124.456423762
149,13276915,2021-09-22 17:41:58,120.421886685
150,13276916,2021-09-22 17:42:01,108.586939011
151,13276917,2021-09-22 17:42:06,106.758881513
152,13276918,2021-09-22 17:42:09,102.62268925
