Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3928.39/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0xca0140fac205b76e409d4578672e3b2e7b8bef80905bbdf754e31a904f0a415b,13276865,1632331614,9/22/21 17:26,0x0000000698d98a23ecf4bbbfa5af3576f6685e59,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,1.738,0,6827.0378,0.002528074,9.930527519,3078.88,Error(0),Reverted,Mint
0xd4b0ec8a4a9fbaf4f4e758c2b1ac8f6eb5f77b60ecbb87c1b233834eab0af3c3,13276865,1632331614,9/22/21 17:26,0x0000000698d98a23ecf4bbbfa5af3576f6685e59,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,1.738,0,6827.0378,0.002528074,9.930527519,3078.88,Error(0),Reverted,Mint
0xe82aed500201792c55dfac1e73660f698dfb01fa0e27f5f0a8f8ef790a5154d9,13276865,1632331614,9/22/21 17:26,0x0000000698d98a23ecf4bbbfa5af3576f6685e59,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,1.738,0,6827.0378,0.002528074,9.930527519,3078.88,Error(0),Reverted,Mint
0x946c6d8d199d2bf86cca7f2a8acd56a6e8d57ac0d629ab9f0341d39468017ff4,13276869,1632331682,9/22/21 17:28,0xc35795a4b9b52125ac3cc698d05741ff6f772c62,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.316,0,1241.2796,0.154821,608.1523701,3078.88,Error(0),Out of gas,Mint
0xa3c7d93b2b4893aca322a5d176cb964925d532660ce3d1b892ec1d19f505e6c2,13276871,1632331718,9/22/21 17:28,0xc35795a4b9b52125ac3cc698d05741ff6f772c62,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.316,0,1241.2796,0.0801915,315.0002312,3078.88,Error(0),Out of gas,Mint
0xffa722f5ceb57eb7d185dbc2eb4ca3f31c8f1961714bbf5c5b783bb604f12183,13276877,1632331833,9/22/21 17:30,0x9425e212647518853a92ae7d2c1ab09d343e70b6,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.156,0,612.82884,0.0073095,28.71456671,3078.88,Error(0),Reverted,Mint
0xe20e88af30b70bcadcaced8b67c9f4f47b11620099bef6ade51ff57e83b965b7,13276877,1632331833,9/22/21 17:30,0xe38ef668a8885a2311339b2ed2c93f082a32a2f8,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.316,0,1241.37124,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x8933df26d2aa603ade7d874802f1a4fb7cefe6fb987e5b36b2b1493ca7a2eec7,13276877,1632331833,9/22/21 17:30,0x0f25e255fbf1e31391cf5d5ae85c8f15aeed1142,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.158,0,620.68562,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x98b8dfdd2b6de2e437b1413e2e84838369b025dc1d0cb3246843eafe07deba34,13276877,1632331833,9/22/21 17:30,0xfb97a081efee4aac7b2bfa162a0aca7d816648bb,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.869,0,3413.77091,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0xe30863cd611a02859404524522ce0cadacbdb6928757e4a6f8fd3b86185e845a,13276877,1632331833,9/22/21 17:30,0x7df0ff116b650cb61ceddb069a9f5ebf2afff9b5,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.079,0,310.34281,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x5bd70b693bac44a00ea2a1d75947e4c943ffe2ab85fdd1fcac558d46032797a4,13276877,1632331833,9/22/21 17:30,0xf8f85c9ed32574f4de3a4a8447f8ac689982e57b,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.079,0,310.34281,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0xbab4b8230d5c14de5edae72831e316f5e41d2e98130329a469a3144c42940459,13276877,1632331833,9/22/21 17:30,0xfc08853e11dc21bd4abffd8b624dee9e2e6c2f11,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.079,0,310.34281,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x49290f18258dd5ffc7a693a010f24745b063182e81381d9f1b1050b05a2a9d6b,13276877,1632331833,9/22/21 17:30,0x17e2b01aad75d74e540105e452491ef1aac6e0ea,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.237,0,931.02843,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x5ce93ce329c993867bef3ca3ddb0c9f9d1d5aed49460cff64175eb7f0b000d33,13276877,1632331833,9/22/21 17:30,0xf79dfddd56f527717a763fd99cc74694c060552d,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.079,0,310.34281,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x91297534666e4fb89e34aabe6c5f1ea1d527a5e8b1bcb127f24bf8648dd2395c,13276877,1632331833,9/22/21 17:30,0x5b938ec9b920b6c1ab351f65581f17dd2090f579,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.79,0,3103.4281,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0xf4af238dd4d8e2dbc44f06f7b36c73943f2458acacda208face05ea0a747a4fb,13276877,1632331833,9/22/21 17:30,0x5886977245d8831eef08dea9e76f55ffffaf2af8,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.316,0,1241.37124,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x5cf57966dfc13c4003fe3dd9593f7feeb8b3b19a2728089dab233a7713df6819,13276877,1632331833,9/22/21 17:30,0x5e016512a29a35cfc48db5db32daec6b53aef5e6,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.079,0,310.34281,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x5e297f43711f819f6da332b1c4011d6408e6726ca0adce691c4560197fbd1fa4,13276877,1632331833,9/22/21 17:30,0x02979035a4250c1d9878d62a409f5fd041ff4d56,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.158,0,620.68562,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x2986adafd555f1afa72da8bf60ce90260cf685b02d7cc386b1d9c927e486d1d2,13276877,1632331833,9/22/21 17:30,0xc3f8e3b3808d2e33b06abfb8731b88948e1f2b8b,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.869,0,3413.77091,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0xbbe2889d251e75aac9633ff8db0d74b6df8ee500927e397344a767beda2f16af,13276877,1632331833,9/22/21 17:30,0x15464e57dac8bd2976b3acaa9f90814dc2c551f2,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.079,0,310.34281,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0xdfeba15bede4fd9ef5b1b94e66b6a8f6a385068c8cc7a3247fe64d1d7e0de443,13276877,1632331833,9/22/21 17:30,0x1db6a0bfb16ed5d7e88074b61122067c39d1861b,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.395,0,1551.71405,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x6b940f1e1686e81a147266eec1f96e83109039ddd738f7399fdd942ffc329b6f,13276877,1632331833,9/22/21 17:30,0x2c35a970a19b943bed591d55204034d8672de7ac,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.158,0,620.68562,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0xf3c42df0bcc1490770f878524b6b316ebf13329cd168c588be5e75f92d0ee0f1,13276877,1632331833,9/22/21 17:30,0xa0656e36325d05e29177c418836ca10f860e76bf,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.158,0,620.68562,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
