,txid,to_account,TOKEN_ID,current_owner,rank
0,0xaee85ebce1e31fee6d31a3b2338382c3a16e935193e16525bc433bae1a3aa12c,0x3fc25e0291de739d8530aa7f6362c672fc93026d,8887,0x3fc25e0291de739d8530aa7f6362c672fc93026d,6359
1,0xc53f1424149bdb3b780c3f3080b95f8c6018cba371e16f7000674df21a7f6862,0x15caac6fd6517a6e1deb8a888b53299418b07454,8882,0x15caac6fd6517a6e1deb8a888b53299418b07454,1212
2,0xc53f1424149bdb3b780c3f3080b95f8c6018cba371e16f7000674df21a7f6862,0x15caac6fd6517a6e1deb8a888b53299418b07454,8883,0x15caac6fd6517a6e1deb8a888b53299418b07454,5099
3,0xc53f1424149bdb3b780c3f3080b95f8c6018cba371e16f7000674df21a7f6862,0x15caac6fd6517a6e1deb8a888b53299418b07454,8884,0x15caac6fd6517a6e1deb8a888b53299418b07454,4643
4,0xc53f1424149bdb3b780c3f3080b95f8c6018cba371e16f7000674df21a7f6862,0x15caac6fd6517a6e1deb8a888b53299418b07454,8881,0x15caac6fd6517a6e1deb8a888b53299418b07454,242
5,0x783fbae680456ee4b28e5e7d8ba7a52db211d51397400318e26aebd5733d8b07,0xd92c8818f0e5dbff93d707521368be142d9e4a51,8885,0xd92c8818f0e5dbff93d707521368be142d9e4a51,8785
6,0x783fbae680456ee4b28e5e7d8ba7a52db211d51397400318e26aebd5733d8b07,0xd92c8818f0e5dbff93d707521368be142d9e4a51,8886,0xd92c8818f0e5dbff93d707521368be142d9e4a51,4004
7,0xebe5000f135f57f656ade7b781f3c6f91c5b76d91f727b7e0ecd96e73dffb6f0,0x7e93e0141b51ecde12666fe192d8506cd33c5fd1,8879,0x7e93e0141b51ecde12666fe192d8506cd33c5fd1,1651
8,0xd5bef42e54ce476bea2b281d626290e903a7bb1d142f22f19d7daeb9d9597e44,0x58341105d756b471817cc417345e7f71572e4404,8880,0x8985373e049e2e1a54ecc261b1c70ea9ef093e4f,2435
9,0xde7b4dfff2ece1eb5c5826192fcb0a19ea780cf38bbe4153aa98e5849fafbfbe,0xe98b6c22e1ee531e2c654286b506b0484a3f7e97,8876,0xe98b6c22e1ee531e2c654286b506b0484a3f7e97,3941
10,0x99fd4b3d4e81fdeeff3e52b9f2e2400c336be9ebb7432d97775d7f0961591a35,0x0cc8bf31724359c3e51ecb2dc7659bbb57b51a7c,8875,0x0cc8bf31724359c3e51ecb2dc7659bbb57b51a7c,6632
11,0xa2981002409cda646ec4f5b6f3c39a70812fc5c0a573bc0c3156e4673422196a,0x5b560419495142a44f0ef0b8775703f441af2398,8877,0x5b560419495142a44f0ef0b8775703f441af2398,1885
12,0x4203757c739cba0413b2d05019ecc8a2638ff3479a34519f0f420dcd18945ff8,0x027ff2acf86af04fa46ea3efa19c8f7813bb1440,8878,0x027ff2acf86af04fa46ea3efa19c8f7813bb1440,7843
13,0xd2a990bf2d86f06d1fe3ff1ffcc2baa661df99ff22670d253584fab3fbca13db,0x7abc1558ebf5f32ce53f23b0fd7de5d0bac9cd96,8870,0x56409b0be7a5ddbda591ddb491823516a172a9a2,4449
14,0x9313692343ffba6c08ea462d2fa9c30f22f0357a7bc5aca16b85ea775d66a73e,0xa942a6cc7c70c32999e28e43d8ccd368916c3797,8871,0xa942a6cc7c70c32999e28e43d8ccd368916c3797,5827
15,0x9313692343ffba6c08ea462d2fa9c30f22f0357a7bc5aca16b85ea775d66a73e,0xa942a6cc7c70c32999e28e43d8ccd368916c3797,8872,0xa942a6cc7c70c32999e28e43d8ccd368916c3797,4586
16,0x40f5a35428206b062406f69190b01e8fb252a2d3dce78fe893d7cb604ab83206,0x528920699fb5210c85f2bba9f7ba0a4fd0a703e1,8874,0x528920699fb5210c85f2bba9f7ba0a4fd0a703e1,5510
17,0x9313692343ffba6c08ea462d2fa9c30f22f0357a7bc5aca16b85ea775d66a73e,0xa942a6cc7c70c32999e28e43d8ccd368916c3797,8873,0xa942a6cc7c70c32999e28e43d8ccd368916c3797,8423
18,0xc95756df6a22a1e027d5e8f42721b8738bc987495b3361d6a06f6ed71c08f0a6,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,8860,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,3686
19,0xc95756df6a22a1e027d5e8f42721b8738bc987495b3361d6a06f6ed71c08f0a6,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,8861,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,7524
20,0xc95756df6a22a1e027d5e8f42721b8738bc987495b3361d6a06f6ed71c08f0a6,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,8862,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,1000
21,0xbbfe523f687ba05915b5f445b6deefd8d833d998530cdfb5e8484d2c5231e03e,0xfe274ff2846a414e690606c2ed2ccc4ad6bb9c53,8856,0xfe274ff2846a414e690606c2ed2ccc4ad6bb9c53,4182
22,0xc95756df6a22a1e027d5e8f42721b8738bc987495b3361d6a06f6ed71c08f0a6,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,8863,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,7647
23,0xbbfe523f687ba05915b5f445b6deefd8d833d998530cdfb5e8484d2c5231e03e,0xfe274ff2846a414e690606c2ed2ccc4ad6bb9c53,8857,0xfe274ff2846a414e690606c2ed2ccc4ad6bb9c53,2261
24,0xc95756df6a22a1e027d5e8f42721b8738bc987495b3361d6a06f6ed71c08f0a6,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,8864,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,2955
25,0xbbfe523f687ba05915b5f445b6deefd8d833d998530cdfb5e8484d2c5231e03e,0xfe274ff2846a414e690606c2ed2ccc4ad6bb9c53,8858,0xfe274ff2846a414e690606c2ed2ccc4ad6bb9c53,3307
26,0xc95756df6a22a1e027d5e8f42721b8738bc987495b3361d6a06f6ed71c08f0a6,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,8865,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,2302
27,0xbbfe523f687ba05915b5f445b6deefd8d833d998530cdfb5e8484d2c5231e03e,0xfe274ff2846a414e690606c2ed2ccc4ad6bb9c53,8859,0xfe274ff2846a414e690606c2ed2ccc4ad6bb9c53,1545
28,0xc95756df6a22a1e027d5e8f42721b8738bc987495b3361d6a06f6ed71c08f0a6,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,8866,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,4873
29,0xc95756df6a22a1e027d5e8f42721b8738bc987495b3361d6a06f6ed71c08f0a6,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,8867,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,7087
30,0xc95756df6a22a1e027d5e8f42721b8738bc987495b3361d6a06f6ed71c08f0a6,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,8868,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,1669
31,0xc95756df6a22a1e027d5e8f42721b8738bc987495b3361d6a06f6ed71c08f0a6,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,8869,0x6d3cd864271864f2f32a9a58631f22b384bf9a17,8147
32,0xf204dc3a773e1a8cc259f2136f7dcb3ec1d53c95ca94baea2116d0988cf9e0ed,0x79593b91f2c6661a270cb61b059b7793235bc544,8852,0x79593b91f2c6661a270cb61b059b7793235bc544,6515
33,0xf204dc3a773e1a8cc259f2136f7dcb3ec1d53c95ca94baea2116d0988cf9e0ed,0x79593b91f2c6661a270cb61b059b7793235bc544,8853,0x79593b91f2c6661a270cb61b059b7793235bc544,6875
34,0xf204dc3a773e1a8cc259f2136f7dcb3ec1d53c95ca94baea2116d0988cf9e0ed,0x79593b91f2c6661a270cb61b059b7793235bc544,8854,0x79593b91f2c6661a270cb61b059b7793235bc544,1378
35,0xf204dc3a773e1a8cc259f2136f7dcb3ec1d53c95ca94baea2116d0988cf9e0ed,0x79593b91f2c6661a270cb61b059b7793235bc544,8855,0x79593b91f2c6661a270cb61b059b7793235bc544,8027
36,0x33cb2ff8ea4a73ed40ee2eb3e577fe6f47fe8ee7418d28360468af1662d9cf80,0x0cc496387c1b19c0d30fc3b4120f55c972bcfe63,8850,0x0cc496387c1b19c0d30fc3b4120f55c972bcfe63,6989
37,0x33cb2ff8ea4a73ed40ee2eb3e577fe6f47fe8ee7418d28360468af1662d9cf80,0x0cc496387c1b19c0d30fc3b4120f55c972bcfe63,8851,0x0cc496387c1b19c0d30fc3b4120f55c972bcfe63,5245
