,id,price,date_sold
1669,4664,0.25,2021-09-01T04:57:34
1667,4194,0.024,2021-09-01T04:58:34
1668,5978,0.027,2021-09-01T04:58:34
1664,5576,0.15,2021-09-01T05:02:07
1666,2034,0.0275,2021-09-01T05:02:07
1665,2721,0.268,2021-09-01T05:02:07
1663,3742,0.35,2021-09-01T05:02:22
1662,5972,0.25,2021-09-01T05:02:22
1661,5980,0.027,2021-09-01T05:02:22
1660,2005,0.028,2021-09-01T05:02:22
1659,3525,0.1,2021-09-01T05:02:22
1658,5983,0.024,2021-09-01T05:03:28
1657,2214,0.025,2021-09-01T05:04:19
1656,4191,0.025,2021-09-01T05:06:03
1655,2910,0.028,2021-09-01T05:06:03
1654,5365,0.032,2021-09-01T05:07:03
1653,441,0.025,2021-09-01T05:07:13
1652,2422,0.029,2021-09-01T05:08:00
1651,2191,0.025,2021-09-01T05:08:19
1650,5467,0.025,2021-09-01T05:09:05
1649,2909,0.028,2021-09-01T05:09:30
1648,5367,0.025,2021-09-01T05:10:40
1647,5466,0.025,2021-09-01T05:10:42
1646,5368,0.025,2021-09-01T05:10:42
1645,2914,0.028,2021-09-01T05:11:43
1644,5366,0.027,2021-09-01T05:16:02
1642,5981,0.0229,2021-09-01T05:18:17
1641,3431,0.027,2021-09-01T05:20:55
1640,3419,0.027,2021-09-01T05:21:41
1639,5354,0.05,2021-09-01T05:26:15
1638,4701,0.029,2021-09-01T05:26:38
1637,2029,0.0249,2021-09-01T05:29:06
1636,1033,0.029,2021-09-01T05:30:21
1635,3434,0.027,2021-09-01T05:32:37
1634,3423,0.03,2021-09-01T05:33:10
1631,5992,0.068,2021-09-01T05:34:17
1633,3601,0.0255,2021-09-01T05:34:17
1632,3428,0.027,2021-09-01T05:34:17
1630,3418,0.06,2021-09-01T05:35:17
1629,5971,0.1,2021-09-01T05:35:17
1628,5258,0.25,2021-09-01T05:36:40
1627,3327,0.03,2021-09-01T05:39:24
1626,5813,0.035,2021-09-01T05:39:24
1625,2424,0.029,2021-09-01T05:43:10
1624,3387,0.027,2021-09-01T05:44:13
1620,5975,0.288,2021-09-01T05:45:17
1619,2912,0.028,2021-09-01T05:45:17
1622,2905,0.028,2021-09-01T05:45:17
1623,3389,0.027,2021-09-01T05:45:17
1621,3384,0.027,2021-09-01T05:45:17
1618,2762,0.029,2021-09-01T05:48:56
1617,2027,0.029,2021-09-01T05:48:56
1616,2420,0.029,2021-09-01T05:49:35
1615,5351,0.22,2021-09-01T05:49:48
1614,3432,0.027,2021-09-01T05:50:50
1613,3379,0.027,2021-09-01T05:50:53
1612,3386,0.027,2021-09-01T05:50:53
1611,3376,0.03,2021-09-01T05:51:08
1610,5979,0.0279,2021-09-01T05:52:05
1609,2906,0.028,2021-09-01T05:57:03
1608,3377,0.027,2021-09-01T05:57:06
1607,5298,0.1,2021-09-01T06:00:05
1606,5649,0.04,2021-09-01T06:00:27
1605,2407,0.029,2021-09-01T06:00:42
1604,4193,0.039,2021-09-01T06:01:29
1603,3025,0.04,2021-09-01T06:01:29
1602,2411,0.029,2021-09-01T06:07:00
1601,2907,0.028,2021-09-01T06:17:57
1600,5659,0.045,2021-09-01T06:26:12
1599,5417,0.028,2021-09-01T06:28:33
1598,3697,0.029,2021-09-01T06:32:42
1597,3743,0.044,2021-09-01T06:38:53
1596,3699,0.029,2021-09-01T06:49:34
1595,5135,0.038,2021-09-01T07:01:45
1593,1714,0.03,2021-09-01T07:07:14
1594,5663,0.035,2021-09-01T07:07:14
1592,2564,0.0279,2021-09-01T07:10:22
1591,3544,0.1,2021-09-01T07:22:15
1590,4150,0.057,2021-09-01T07:28:36
1589,5411,0.028,2021-09-01T07:54:31
1588,4872,0.04,2021-09-01T08:09:39
1587,5892,0.275,2021-09-01T08:15:18
1586,5439,0.025,2021-09-01T08:22:00
1585,5441,0.0265,2021-09-01T08:29:20
1584,777,0.03,2021-09-01T08:40:09
1583,5440,0.025,2021-09-01T08:48:00
1582,2211,0.03,2021-09-01T09:01:30
1581,2093,0.027,2021-09-01T09:13:42
1580,5644,0.029,2021-09-01T09:19:41
1579,3152,0.03,2021-09-01T09:31:25
1578,2419,0.029,2021-09-01T09:33:01
1577,5435,0.0249,2021-09-01T09:34:08
1576,5434,0.0249,2021-09-01T09:35:40
1575,5803,0.029,2021-09-01T09:41:01
1574,486,0.03,2021-09-01T09:41:22
1573,3969,0.03,2021-09-01T09:42:30
1572,2092,0.026,2021-09-01T09:42:51
1571,5432,0.0249,2021-09-01T09:44:37
1570,3991,1.0,2021-09-01T09:45:04
1569,5516,0.025,2021-09-01T09:45:45
1568,3559,0.025,2021-09-01T09:47:07
1566,3557,0.036,2021-09-01T09:49:34
1565,4457,0.5,2021-09-01T09:49:34
1564,2242,0.028,2021-09-01T09:50:54
1563,3811,0.25,2021-09-01T09:59:44
1562,2746,0.0255,2021-09-01T10:00:10
1561,419,0.0259,2021-09-01T10:02:51
1560,5454,0.029,2021-09-01T10:14:39
1559,2401,0.025,2021-09-01T10:56:17
1558,4663,0.015,2021-09-01T11:04:54
1557,5418,0.028,2021-09-01T11:09:03
1556,5693,0.25,2021-09-01T11:11:37
1555,3590,0.15,2021-09-01T11:12:35
1554,5732,0.04,2021-09-01T11:14:43
1553,646,0.025,2021-09-01T11:29:50
1552,4682,0.015,2021-09-01T11:35:15
1551,2456,0.025,2021-09-01T11:44:04
1550,5443,0.029,2021-09-01T11:46:33
1549,5698,0.025,2021-09-01T12:07:28
1548,3971,0.15,2021-09-01T12:30:15
1547,5654,0.045,2021-09-01T12:58:05
1546,2685,0.0185,2021-09-01T13:31:55
1545,4121,0.013,2021-09-01T15:32:05
1544,2253,0.05,2021-09-01T16:10:17
1543,4915,0.015,2021-09-01T19:12:40
1541,5989,0.038,2021-09-01T21:46:27
1540,2210,0.0011,2021-09-01T22:03:24
1539,1657,0.005,2021-09-01T22:53:12
1538,1673,0.01,2021-09-01T22:56:12
1537,720,0.009,2021-09-01T23:46:58
1536,2702,0.017,2021-09-02T00:10:51
1535,3157,0.012,2021-09-02T00:12:10
1534,5535,0.01,2021-09-02T00:16:00
1533,717,0.011,2021-09-02T00:17:27
1532,2693,0.014,2021-09-02T00:18:53
1531,1542,0.009,2021-09-02T00:30:47
1530,2759,0.015,2021-09-02T00:33:20
1529,1544,0.009,2021-09-02T00:36:39
1528,157,0.01,2021-09-02T00:44:50
1527,1715,0.01,2021-09-02T00:47:33
1526,39,0.0115,2021-09-02T02:04:04
1525,5884,0.1,2021-09-02T03:16:47
1524,4870,0.1,2021-09-02T04:11:59
1522,725,0.0099,2021-09-02T05:26:28
1521,4386,0.25,2021-09-02T06:05:11
1520,1375,0.059,2021-09-02T06:09:03
1519,5816,0.04,2021-09-02T07:21:14
1518,726,0.0099,2021-09-02T07:26:12
1517,228,0.0089,2021-09-02T08:26:47
1516,5515,0.01,2021-09-02T08:34:52
1515,2252,0.03,2021-09-02T09:01:34
1514,405,0.038,2021-09-02T10:47:30
1513,1646,0.029,2021-09-02T15:11:28
1512,724,0.008,2021-09-02T21:55:39
1511,232,0.0089,2021-09-03T02:59:48
1510,3473,0.04,2021-09-03T03:30:46
1509,3771,0.04,2021-09-03T03:36:25
1508,230,0.0059,2021-09-03T05:37:05
1507,4261,0.01,2021-09-03T05:41:15
1506,2154,0.04,2021-09-03T06:04:39
1505,5815,0.037,2021-09-03T06:06:30
1504,5787,0.029,2021-09-03T06:09:26
1503,4661,0.029,2021-09-03T06:12:36
1502,1623,0.0099,2021-09-03T06:29:08
1501,5871,0.027,2021-09-03T06:32:08
1500,2379,0.012,2021-09-03T10:03:25
1499,2391,0.012,2021-09-03T10:08:14
1498,3163,0.012,2021-09-03T10:10:47
1497,1487,0.02,2021-09-03T10:16:20
1496,5705,0.025,2021-09-03T10:22:39
1495,5697,0.025,2021-09-03T10:25:18
1494,2566,0.0267,2021-09-03T10:27:16
1493,1647,0.008,2021-09-03T10:35:46
1492,5793,0.029,2021-09-03T10:35:58
1491,5791,0.029,2021-09-03T10:41:37
1490,3427,0.03,2021-09-03T10:43:36
1489,406,0.035,2021-09-03T10:45:09
1488,1758,0.043,2021-09-03T10:47:13
1487,403,0.045,2021-09-03T10:48:32
1486,2011,0.06,2021-09-03T10:49:13
1485,3700,0.075,2021-09-03T10:50:11
1484,1999,0.025,2021-09-03T11:00:44
1483,2000,0.05,2021-09-03T11:02:45
1482,5317,0.35,2021-09-03T11:09:00
1481,5468,0.199,2021-09-03T11:09:53
1480,4113,0.007,2021-09-03T19:41:41
1479,526,0.015,2021-09-04T02:38:53
1478,5413,0.005,2021-09-04T09:07:09
1477,5449,0.129,2021-09-04T11:03:41
1476,5798,0.129,2021-09-04T18:40:53
1474,2711,0.005,2021-09-05T01:16:43
1473,4260,0.025,2021-09-05T01:50:11
1472,723,0.0044,2021-09-05T01:53:11
1471,121,0.004,2021-09-05T04:50:05
1470,825,0.005,2021-09-05T09:18:00
1469,2001,0.0,2021-09-05T23:59:18
1468,2002,0.0,2021-09-06T00:02:23
1466,5130,0.05,2021-09-06T22:43:49
1464,4914,0.12,2021-09-07T23:45:43
1463,1847,0.0,2021-09-08T23:28:35
1462,1846,0.0,2021-09-09T06:27:18
1461,728,0.0009,2021-09-09T06:31:24
1460,727,0.0009,2021-09-09T06:31:57
1459,4326,0.001,2021-09-09T06:32:35
1457,620,0.002,2021-09-09T06:39:54
1456,1653,0.002,2021-09-09T07:10:27
1455,1649,0.002,2021-09-09T07:12:46
1454,4941,0.08,2021-09-09T07:30:12
1453,1652,0.002,2021-09-09T07:48:09
1452,5437,0.002,2021-09-11T23:19:32
1451,2359,0.005,2021-09-12T02:08:34
1450,5183,0.01,2021-09-12T02:15:38
1449,1284,0.03,2021-09-12T02:17:45
1448,4681,0.008,2021-09-12T02:27:13
1447,2715,0.005,2021-09-12T02:28:59
1446,1650,0.005,2021-09-12T05:55:44
1445,3521,0.01,2021-09-12T07:58:13
1444,5565,0.003,2021-09-12T08:05:31
1443,3070,0.0033,2021-09-12T15:46:48
1442,3071,0.0032,2021-09-12T23:40:03
1441,3936,0.0023,2021-09-13T12:25:46
1440,5186,0.003,2021-09-13T21:48:07
1439,999,0.025,2021-09-14T07:07:53
1438,5078,0.02,2021-09-14T07:08:36
1437,5694,0.02,2021-09-14T07:09:29
1436,3064,0.0035,2021-09-14T07:10:24
1435,2209,0.018,2021-09-14T23:35:57
1434,3467,0.0019,2021-09-16T01:49:22
1433,1509,0.01,2021-09-16T03:32:04
1432,4114,0.001,2021-09-16T06:10:39
1431,5067,0.02,2021-09-16T06:16:29
1430,5064,0.013,2021-09-16T06:28:07
1429,5363,0.01,2021-09-17T01:30:29
1428,3946,0.005,2021-09-17T01:46:58
