TOKEN_ID,TOKEN_NAME,Legendary Trait,Type,Trait Count,Genesis Trait,RARITY_SCORE,Rank
1,cyberkongz #1,22727.272727272728,253.29280648429585,484.4961240310077,149.34289127837516,23614.404549066407,1
1000,cyberkongz #1000,22727.272727272728,253.29280648429585,484.4961240310077,149.34289127837516,23614.404549066407,2
101,cyberkongz #101,22727.272727272728,253.29280648429585,484.4961240310077,149.34289127837516,23614.404549066407,3
201,cyberkongz #201,22727.272727272728,253.29280648429585,484.4961240310077,149.34289127837516,23614.404549066407,4
301,cyberkongz #301,22727.272727272728,253.29280648429585,484.4961240310077,149.34289127837516,23614.404549066407,5
420,cyberkongz #420,22727.272727272728,253.29280648429585,484.4961240310077,149.34289127837516,23614.404549066407,6
501,cyberkongz #501,22727.272727272728,253.29280648429585,484.4961240310077,149.34289127837516,23614.404549066407,7
666,cyberkongz #666,22727.272727272728,253.29280648429585,484.4961240310077,149.34289127837516,23614.404549066407,8
701,cyberkongz #701,22727.272727272728,253.29280648429585,484.4961240310077,149.34289127837516,23614.404549066407,9
801,cyberkongz #801,22727.272727272728,253.29280648429585,484.4961240310077,149.34289127837516,23614.404549066407,10
296,cyberkongz #296,23.26230575974691,253.29280648429585,8333.333333333332,149.34289127837516,8759.23133685575,11
452,cyberkongz #452,23.26230575974691,253.29280648429585,8333.333333333332,149.34289127837516,8759.23133685575,12
526,cyberkongz #526,23.26230575974691,253.29280648429585,8333.333333333332,149.34289127837516,8759.23133685575,13
580,cyberkongz #580,23.26230575974691,253.29280648429585,8333.333333333332,149.34289127837516,8759.23133685575,14
676,cyberkongz #676,23.26230575974691,253.29280648429585,8333.333333333332,149.34289127837516,8759.23133685575,15
123,cyberkongz #123,23.26230575974691,253.29280648429585,4166.666666666666,707.966172718515,5151.187951629224,16
222,cyberkongz #222,23.26230575974691,253.29280648429585,4166.666666666666,551.895827467826,4995.117606378535,17
575,cyberkongz #575,23.26230575974691,253.29280648429585,4166.666666666666,469.2511690998928,4912.4729480106025,18
444,cyberkongz #444,23.26230575974691,253.29280648429585,4166.666666666666,444.21184083892365,4887.433619749632,19
186,cyberkongz #186,23.26230575974691,253.29280648429585,4166.666666666666,439.83504044780295,4883.056819358511,20
602,cyberkongz #602,23.26230575974691,253.29280648429585,4166.666666666666,434.4816939147181,4877.7034728254275,21
951,cyberkongz #951,23.26230575974691,253.29280648429585,4166.666666666666,433.64143347105636,4876.863212381765,22
619,cyberkongz #619,23.26230575974691,253.29280648429585,4166.666666666666,420.3044790905572,4863.526258001266,23
83,cyberkongz #83,23.26230575974691,253.29280648429585,4166.666666666666,389.4270411400348,4832.648820050744,24
21,cyberkongz #21,23.26230575974691,253.29280648429585,4166.666666666666,374.0425098922338,4817.264288802943,25
643,cyberkongz #643,23.26230575974691,253.29280648429585,218.15008726003492,1587.4003406446864,2082.1055401487642,26
883,cyberkongz #883,23.26230575974691,253.29280648429585,218.15008726003492,1518.9529913778101,2013.6581908818875,27
209,cyberkongz #209,23.26230575974691,253.29280648429585,218.15008726003492,1508.55091027946,2003.2561097835378,28
71,cyberkongz #71,23.26230575974691,253.29280648429585,484.4961240310077,1008.0645161290323,1769.1157524040827,29
88,cyberkongz #88,23.26230575974691,253.29280648429585,218.15008726003492,1164.9383776004547,1659.6435771045324,30
91,cyberkongz #91,23.26230575974691,253.29280648429585,100.64412238325282,1172.5148650217334,1549.7140996490289,31
741,cyberkongz #741,23.26230575974691,253.29280648429585,148.2799525504152,1054.4123099740452,1479.2473747685033,32
786,cyberkongz #786,23.26230575974691,253.29280648429585,218.15008726003492,712.1910347716799,1206.8962342757577,33
769,cyberkongz #769,23.26230575974691,253.29280648429585,218.15008726003492,673.9958930293939,1168.7010925334716,34
317,cyberkongz #317,23.26230575974691,253.29280648429585,218.15008726003492,659.7365453895444,1154.441744893622,35
783,cyberkongz #783,23.26230575974691,253.29280648429585,218.15008726003492,605.088076286233,1099.7932757903109,36
394,cyberkongz #394,23.26230575974691,253.29280648429585,218.15008726003492,588.7129960218749,1083.4181955259526,37
94,cyberkongz #94,23.26230575974691,253.29280648429585,218.15008726003492,559.5651135816565,1054.2703130857342,38
838,cyberkongz #838,23.26230575974691,253.29280648429585,218.15008726003492,551.6596540439458,1046.3648535480236,39
327,cyberkongz #327,23.26230575974691,253.29280648429585,218.15008726003492,537.7248433218482,1032.430042825926,40
384,cyberkongz #384,23.26230575974691,253.29280648429585,218.15008726003492,533.6711343576333,1028.376333861711,41
223,cyberkongz #223,23.26230575974691,253.29280648429585,218.15008726003492,528.0602173147398,1022.7654168188175,42
789,cyberkongz #789,23.26230575974691,253.29280648429585,218.15008726003492,528.047512592604,1022.7527120966816,43
854,cyberkongz #854,23.26230575974691,253.29280648429585,218.15008726003492,523.1576497354899,1017.8628492395677,44
93,cyberkongz #93,23.26230575974691,253.29280648429585,218.15008726003492,520.7996578837029,1015.5048573877807,45
810,cyberkongz #810,23.26230575974691,253.29280648429585,148.2799525504152,578.5413744740533,1003.3764392685114,46
54,cyberkongz #54,23.26230575974691,253.29280648429585,218.15008726003492,491.1299645013462,985.8351640054238,47
739,cyberkongz #739,23.26230575974691,253.29280648429585,484.4961240310077,224.01433691756276,985.0655731926133,48
911,cyberkongz #911,23.26230575974691,253.29280648429585,218.15008726003492,483.7601360610018,978.4653355650796,49
540,cyberkongz #540,23.26230575974691,253.29280648429585,218.15008726003492,481.2412342215989,975.9464337256767,50
457,cyberkongz #457,23.26230575974691,253.29280648429585,218.15008726003492,481.114596831026,975.8197963351037,51
