TOKEN_ID,TOKEN_NAME,hairstyle,apparel,background,earrings,eyes,eyewear,face filter,forehead accessory,head accessory,lips,necklace,nose,skin,tattoo,goddess,NUM_TRAITS,RARITY_SCORE,Rank
7162,8SIAN #7162,39.29540229885058,35.436123348017624,51.92633377634326,6.731380753138075,42.284477427334565,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,42.20617283950617,63.068373111956646,37.843641898436424,40.49093197127841,7.101209949628706,2.133221015849245,34.13153625358792,443.1398328496266,7410
1065,8SIAN #1065,75.34325068870524,71.82142857142857,32.31285444234405,6.731380753138075,48.082981715893105,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.01004648373069,5.820611864857675,37.843641898436424,40.22295757040959,7.101209949628706,2.133221015849245,34.13153625358792,443.04614941370824,7411
1088,8SIAN #1088,65.58657074340528,75.17757009345794,31.965404394576904,6.731380753138075,52.757716049382715,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,42.38276770494344,5.820611864857675,38.29671637611147,40.46397396064506,7.101209949628706,2.133221015849245,34.13153625358792,443.03970736528333,7412
3190,8SIAN #3190,75.34325068870524,81.25252525252525,31.965404394576904,6.731380753138075,40.338643067846604,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,39.61987541648559,5.820611864857675,37.56297211921439,40.49093197127841,7.101209949628706,2.133221015849245,34.13153625358792,442.98259095339296,7413
3121,8SIAN #3121,40.33864306784661,86.49462365591398,57.168896321070235,6.731380753138075,44.864829396325455,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,39.61987541648559,5.820611864857675,37.56297211921439,40.49093197127841,7.101209949628706,2.133221015849245,34.13153625358792,442.94975999089525,7414
5213,8SIAN #5213,75.34325068870524,73.79816513761467,32.13819036427732,6.731380753138075,45.13135313531353,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.972989564149785,5.820611864857675,38.29671637611147,39.645720084076245,7.101209949628706,2.133221015849245,34.13153625358792,442.7353733930088,7415
1047,8SIAN #1047,64.65626477541372,82.9278350515464,31.625346901017576,6.731380753138075,46.04309764309764,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,42.20617283950617,5.820611864857675,38.29671637611147,40.49093197127841,7.101209949628706,2.133221015849245,34.13153625358792,442.6553536007319,7416
2735,8SIAN #2735,40.160939794419974,78.86274509803921,61.612074791619726,6.731380753138075,45.13135313531353,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.68510897729005,5.820611864857675,38.29671637611147,40.49093197127841,7.101209949628706,2.133221015849245,34.13153625358792,442.6488581868329,7417
3746,8SIAN #3746,63.30925925925926,82.9278350515464,32.13819036427732,6.731380753138075,49.225341972642184,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,40.51792592592592,5.820611864857675,38.29671637611147,39.775450843513674,7.101209949628706,2.133221015849245,34.13153625358792,442.59970783603677,7418
4382,8SIAN #4382,64.20093896713615,80.44,32.757935082045755,6.731380753138075,49.225341972642184,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,42.20617283950617,5.820611864857675,37.56297211921439,39.645720084076245,7.101209949628706,2.133221015849245,34.13153625358792,442.4480691073814,7419
3566,8SIAN #3566,64.20093896713615,82.9278350515464,32.757935082045755,6.731380753138075,46.04309764309764,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,42.14763445831407,5.820611864857675,38.29671637611147,39.645720084076245,7.101209949628706,2.133221015849245,34.13153625358792,442.42886570508824,7420
4913,8SIAN #4913,64.65626477541372,25.69968051118211,31.965404394576904,6.731380753138075,48.082981715893105,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,39.51683282762606,63.068373111956646,38.29671637611147,40.49093197127841,7.101209949628706,2.133221015849245,34.13153625358792,442.36556186194133,7421
7473,8SIAN #7473,26.42473429951691,68.75213675213675,33.21544814185086,6.731380753138075,53.375487900078056,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,85.84306340238544,5.820611864857675,37.843641898436424,40.49093197127841,7.101209949628706,2.133221015849245,34.13153625358792,442.3544324084434,7422
1453,8SIAN #1453,40.33864306784661,47.59763313609468,32.66794075489727,6.731380753138075,48.082981715893105,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.972989564149785,63.068373111956646,37.56297211921439,40.46397396064506,7.101209949628706,2.133221015849245,34.13153625358792,442.34388360860044,7423
7215,8SIAN #7215,27.459437751004018,41.251282051282054,61.612074791619726,6.731380753138075,48.082981715893105,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,89.37777777777777,5.820611864857675,38.29671637611147,39.775450843513674,7.101209949628706,2.133221015849245,34.13153625358792,442.26470934996235,7424
895,8SIAN #895,69.59185750636134,71.82142857142857,30.7264352319964,6.731380753138075,53.375487900078056,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,42.20617283950617,5.820611864857675,37.843641898436424,40.22295757040959,7.101209949628706,2.133221015849245,34.13153625358792,442.1969695609771,7425
4960,8SIAN #4960,27.459437751004018,96.91566265060241,51.92633377634326,6.731380753138075,49.225341972642184,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,42.20617283950617,5.820611864857675,37.56297211921439,40.46397396064506,7.101209949628706,2.133221015849245,34.13153625358792,442.16888311271805,7426
1262,8SIAN #1262,64.65626477541372,78.86274509803921,32.31285444234405,6.731380753138075,49.43890093998553,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,42.38276770494344,5.820611864857675,38.29671637611147,39.775450843513674,7.101209949628706,2.133221015849245,34.13153625358792,442.13468822311165,7427
5780,8SIAN #5780,65.58657074340528,25.864951768488748,31.625346901017576,6.731380753138075,44.864829396325455,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,42.14763445831407,63.068373111956646,37.843641898436424,40.46397396064506,7.101209949628706,2.133221015849245,34.13153625358792,442.0536984164921,7428
1220,8SIAN #1220,82.87757575757576,71.82142857142857,31.625346901017576,6.731380753138075,40.338643067846604,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.01004648373069,5.820611864857675,38.29671637611147,39.645720084076245,7.101209949628706,2.133221015849245,34.13153625358792,442.02446528454743,7429
