TOKEN_ID,TOKEN_NAME,TOKEN_ADDRESS,Attributes Count,Type,Clothes,Ears,Mouth,Eyes,Hat,NUM_TRAITS,RARITY_SCORE,Rank
1632,MB #1632,5000.0,2156.6597653554177,2933.2394696703036,3635.3060927730116,2134.5628415300544,1357.9576317218903,12696.800406297612,2686.4388566516222,2156.6597653554177,34757.62482935533,2816
4947,MB #4947,5000.0,1812.382195157315,3200.2048131080387,1495.1258895999044,2134.5628415300544,1357.9576317218903,15253.20317266626,2686.4388566516222,1812.382195157315,34752.2575955924,2817
3190,MB #3190,5000.0,1812.382195157315,5005.005005005005,2986.1442904921164,2134.5628415300544,1357.9576317218903,635.3724553333162,13997.760358342663,1812.382195157315,34741.56697273967,2818
2667,MB #2667,5000.0,2156.6597653554177,2933.2394696703036,5907.372400756144,9622.78675904542,1357.9576317218903,635.3724553333162,4971.167230065619,2156.6597653554177,34741.21547730353,2819
3715,MB #3715,5000.0,2156.6597653554177,7631.257631257631,3044.696139325295,2134.5628415300544,7788.16199376947,635.3724553333162,4188.306248952923,2156.6597653554177,34735.676840879525,2820
4526,MB #4526,5000.0,2156.6597653554177,2933.2394696703036,3132.439543916802,2134.5628415300544,1357.9576317218903,11837.121212121212,3999.360102383619,2156.6597653554177,34708.00033205472,2821
3019,MB #3019,5000.0,2156.6597653554177,2933.2394696703036,7295.010213014299,9622.78675904542,1357.9576317218903,635.3724553333162,3546.099290780142,2156.6597653554177,34703.78535027621,2822
219,MB #219,5000.0,1812.382195157315,2933.2394696703036,1495.1258895999044,2134.5628415300544,1357.9576317218903,14384.3498273878,3772.4460540214272,1812.382195157315,34702.446104246,2823
247,MB #247,5000.0,2156.6597653554177,2933.2394696703036,3635.3060927730116,9622.78675904542,1357.9576317218903,635.3724553333162,7188.039102932719,2156.6597653554177,34686.021042187494,2824
2379,MB #2379,5000.0,2156.6597653554177,4189.710072063013,5875.440658049354,2134.5628415300544,7788.16199376947,635.3724553333162,4749.240121580548,2156.6597653554177,34685.80767303659,2825
2397,MB #2397,5000.0,2156.6597653554177,2460.387757110521,2986.1442904921164,2134.5628415300544,1357.9576317218903,10521.88552188552,5910.16548463357,2156.6597653554177,34684.42305808451,2826
1696,MB #1696,5000.0,2156.6597653554177,5005.005005005005,6072.382803011902,9622.78675904542,1357.9576317218903,635.3724553333162,2672.9391639046294,2156.6597653554177,34679.763348733,2827
3072,MB #3072,5000.0,2156.6597653554177,3200.2048131080387,6072.382803011902,9622.78675904542,1357.9576317218903,635.3724553333162,4469.8730556052205,2156.6597653554177,34671.89704853662,2828
582,MB #582,5000.0,2156.6597653554177,4189.710072063013,3635.3060927730116,9622.78675904542,1357.9576317218903,635.3724553333162,5910.16548463357,2156.6597653554177,34664.61802628105,2829
4490,MB #4490,5000.0,2156.6597653554177,2933.2394696703036,6709.608158883521,9622.78675904542,1357.9576317218903,635.3724553333162,4091.6530278232403,2156.6597653554177,34663.93703318853,2830
1420,MB #1420,5000.0,2156.6597653554177,5005.005005005005,3132.439543916802,2134.5628415300544,7788.16199376947,635.3724553333162,6648.936170212765,2156.6597653554177,34657.79754047825,2831
1996,MB #1996,5000.0,2156.6597653554177,4189.710072063013,3044.696139325295,2134.5628415300544,1357.9576317218903,10521.88552188552,4091.6530278232403,2156.6597653554177,34653.78476505985,2832
889,MB #889,5000.0,2156.6597653554177,5005.005005005005,2808.673182788451,9622.78675904542,1357.9576317218903,635.3724553333162,5910.16548463357,2156.6597653554177,34653.280049238485,2833
1718,MB #1718,5000.0,1812.382195157315,2933.2394696703036,5907.372400756144,2134.5628415300544,1357.9576317218903,12696.800406297612,992.3785328675771,1812.382195157315,34647.07567315821,2834
2125,MB #2125,5000.0,2156.6597653554177,2460.387757110521,2986.1442904921164,2134.5628415300544,1357.9576317218903,12696.800406297612,3693.853427895981,2156.6597653554177,34643.02588575901,2835
3917,MB #3917,5000.0,1812.382195157315,5005.005005005005,3044.696139325295,2134.5628415300544,14204.545454545452,635.3724553333162,992.3785328675771,1812.382195157315,34641.32481892133,2836
4686,MB #4686,5000.0,2156.6597653554177,2460.387757110521,7548.309178743962,9622.78675904542,1357.9576317218903,635.3724553333162,3693.853427895981,2156.6597653554177,34631.98674056192,2837
4178,MB #4178,5000.0,1812.382195157315,2460.387757110521,1495.1258895999044,9622.78675904542,1357.9576317218903,635.3724553333162,10429.703796412181,1812.382195157315,34626.09867953786,2838
3187,MB #3187,5000.0,2156.6597653554177,4189.710072063013,5875.440658049354,9622.78675904542,1357.9576317218903,635.3724553333162,3618.4686640613695,2156.6597653554177,34613.05577098519,2839
3603,MB #3603,5000.0,1812.382195157315,3200.2048131080387,3044.696139325295,2134.5628415300544,1357.9576317218903,15253.20317266626,992.3785328675771,1812.382195157315,34607.767521533744,2840
3116,MB #3116,5000.0,1812.382195157315,7631.257631257631,2906.3008602650543,2134.5628415300544,1357.9576317218903,635.3724553333162,11317.338162064281,1812.382195157315,34607.55397248686,2841
4518,MB #4518,5000.0,2156.6597653554177,3200.2048131080387,2808.673182788451,2134.5628415300544,1357.9576317218903,10521.88552188552,5266.484095218032,2156.6597653554177,34603.087616962825,2842
221,MB #221,5000.0,1812.382195157315,2933.2394696703036,1495.1258895999044,2134.5628415300544,1357.9576317218903,14116.318464144551,3940.1103230890462,1812.382195157315,34602.079010070374,2843
2479,MB #2479,5000.0,2156.6597653554177,2460.387757110521,5079.236082893133,2134.5628415300544,7788.16199376947,635.3724553333162,7188.039102932719,2156.6597653554177,34599.079764280046,2844
1469,MB #1469,5000.0,2156.6597653554177,3200.2048131080387,2808.673182788451,2134.5628415300544,1357.9576317218903,11837.121212121212,3940.1103230890462,2156.6597653554177,34591.94953506953,2845
150,MB #150,5000.0,1812.382195157315,5005.005005005005,6393.86189258312,2134.5628415300544,1357.9576317218903,635.3724553333162,10429.703796412181,1812.382195157315,34581.228012900196,2846
1717,MB #1717,5000.0,2156.6597653554177,2460.387757110521,1495.1258895999044,9622.78675904542,7788.16199376947,635.3724553333162,3263.2815559326464,2156.6597653554177,34578.43594150212,2847
3967,MB #3967,5000.0,2156.6597653554177,2933.2394696703036,2906.3008602650543,2134.5628415300544,1357.9576317218903,11837.121212121212,4091.6530278232403,2156.6597653554177,34574.15457384259,2848
