TOKEN_ID,TOKEN_NAME,UNIQUENESS INDEX,NAME,Background ID,Skull Gene,Hair Gene,Eyes Gene,Nose Gene,Teeth Gene,Bones Gene,Beard Gene,NUM_TRAITS,RARITY_SCORE,Rank
9,CryptoSkull #9,909090.9090909091,10000.0,75187.96992481203,625000.0,80645.16129032259,111111.11111111112,1111111.1111111112,833333.3333333334,588235.2941176471,1000000.0,5000000.0,10343714.889979247,1
19,CryptoSkull #19,909090.9090909091,10000.0,75187.96992481203,625000.0,80645.16129032259,111111.11111111112,1111111.1111111112,833333.3333333334,588235.2941176471,1000000.0,5000000.0,10343714.889979247,2
20,CryptoSkull #20,909090.9090909091,10000.0,75187.96992481203,625000.0,80645.16129032259,111111.11111111112,1111111.1111111112,833333.3333333334,588235.2941176471,1000000.0,5000000.0,10343714.889979247,3
24,CryptoSkull #24,909090.9090909091,10000.0,75187.96992481203,625000.0,80645.16129032259,111111.11111111112,1111111.1111111112,833333.3333333334,588235.2941176471,1000000.0,5000000.0,10343714.889979247,4
27,CryptoSkull #27,909090.9090909091,10000.0,75187.96992481203,625000.0,80645.16129032259,111111.11111111112,1111111.1111111112,833333.3333333334,588235.2941176471,1000000.0,5000000.0,10343714.889979247,5
36,CryptoSkull #36,909090.9090909091,10000.0,75187.96992481203,625000.0,80645.16129032259,111111.11111111112,1111111.1111111112,833333.3333333334,588235.2941176471,1000000.0,5000000.0,10343714.889979247,6
41,CryptoSkull #41,909090.9090909091,10000.0,75187.96992481203,625000.0,80645.16129032259,111111.11111111112,1111111.1111111112,833333.3333333334,588235.2941176471,1000000.0,5000000.0,10343714.889979247,7
42,CryptoSkull #42,909090.9090909091,10000.0,75187.96992481203,625000.0,80645.16129032259,111111.11111111112,1111111.1111111112,833333.3333333334,588235.2941176471,1000000.0,5000000.0,10343714.889979247,8
43,CryptoSkull #43,909090.9090909091,10000.0,75187.96992481203,625000.0,80645.16129032259,111111.11111111112,1111111.1111111112,833333.3333333334,588235.2941176471,1000000.0,5000000.0,10343714.889979247,9
70,CryptoSkull #70,909090.9090909091,10000.0,75187.96992481203,625000.0,80645.16129032259,111111.11111111112,1111111.1111111112,833333.3333333334,588235.2941176471,1000000.0,5000000.0,10343714.889979247,10
2422,CryptoSkull #2422,252525.2525252525,10000.0,9893.153937475267,8979.885057471265,14934.289127837514,9578.544061302684,8436.682696363789,8689.607229753216,40016.00640256103,1155.5350127108852,5005.005005005005,369213.9610557332,11
4400,CryptoSkull #4400,252525.2525252525,10000.0,11057.054400707651,9071.117561683599,13440.860215053763,9578.544061302684,8436.682696363789,8744.316194473593,40016.00640256103,1155.5350127108852,5005.005005005005,369030.3740751145,12
8779,CryptoSkull #8779,252525.2525252525,10000.0,9169.264624977077,8979.885057471265,15508.684863523575,10288.065843621398,8436.682696363789,8689.607229753216,39215.68627450981,1155.5350127108852,5005.005005005005,368973.66913318855,13
3370,CryptoSkull #3370,252525.2525252525,10000.0,8084.72794890452,8765.77840112202,14148.273910582908,8888.888888888889,8566.778034781119,8970.218873340511,42625.74595055414,1155.5350127108852,5005.005005005005,368736.20455114247,14
4163,CryptoSkull #4163,252525.2525252525,10000.0,9282.465422816302,9110.787172011662,13440.860215053763,10893.246187363835,8436.682696363789,8744.316194473593,40016.00640256103,1155.5350127108852,5005.005005005005,368610.15683361236,15
6984,CryptoSkull #6984,252525.2525252525,10000.0,12531.328320802006,9110.787172011662,10473.397570171763,10482.18029350105,8436.682696363789,8744.316194473593,40016.00640256103,1155.5350127108852,5005.005005005005,368480.4911928533,16
9217,CryptoSkull #9217,252525.2525252525,10000.0,10299.721907508498,8765.77840112202,14148.273910582908,8748.906386701663,8436.682696363789,8970.218873340511,40016.00640256103,1155.5350127108852,5005.005005005005,368071.3811211488,17
7724,CryptoSkull #7724,252525.2525252525,10000.0,9517.46454744456,8765.77840112202,13668.671405139423,10288.065843621398,8436.682696363789,8874.689385871496,39215.68627450981,1155.5350127108852,5005.005005005005,367452.8310970409,18
1187,CryptoSkull #1187,252525.2525252525,10000.0,9169.264624977077,8765.77840112202,17158.544955387784,9259.25925925926,8436.682696363789,8744.316194473593,37230.081906180196,1155.5350127108852,5005.005005005005,367449.7205807321,19
5066,CryptoSkull #5066,252525.2525252525,10000.0,9058.791557206268,8979.885057471265,14148.273910582908,9259.25925925926,8436.682696363789,8689.607229753216,40016.00640256103,1155.5350127108852,5005.005005005005,367274.2986561661,20
2436,CryptoSkull #2436,252525.2525252525,10000.0,9282.465422816302,8765.77840112202,13668.671405139423,9920.634920634922,8436.682696363789,8970.218873340511,39478.87879984209,1155.5350127108852,5005.005005005005,367209.12306222745,21
2500,CryptoSkull #2500,252525.2525252525,10000.0,9893.153937475267,8765.77840112202,12406.947890818858,10482.18029350105,8436.682696363789,9048.136083966703,39478.87879984209,1155.5350127108852,5005.005005005005,367197.5506460582,22
767,CryptoSkull #767,252525.2525252525,10000.0,8642.295393656557,9110.787172011662,13904.338153503895,9578.544061302684,8566.778034781119,8689.607229753216,40016.00640256103,1155.5350127108852,5005.005005005005,367194.14899053855,23
8262,CryptoSkull #8262,252525.2525252525,10000.0,11222.085063404782,9164.222873900293,13904.338153503895,9496.67616334283,8436.682696363789,8744.316194473593,37230.081906180196,1155.5350127108852,5005.005005005005,366884.19559413777,24
1843,CryptoSkull #1843,252525.2525252525,10000.0,10299.721907508498,8765.77840112202,12406.947890818858,8818.342151675486,8735.150244584207,8744.316194473593,40016.00640256103,1155.5350127108852,5005.005005005005,366472.0557357121,25
1987,CryptoSkull #1987,252525.2525252525,10000.0,9893.153937475267,8765.77840112202,13668.671405139423,10683.760683760685,8566.778034781119,8689.607229753216,37230.081906180196,1155.5350127108852,5005.005005005005,366183.62414118036,26
3834,CryptoSkull #3834,252525.2525252525,10000.0,7832.080200501254,9110.787172011662,14934.289127837514,9182.73645546373,8436.682696363789,8970.218873340511,38955.97974289053,1155.5350127108852,5005.005005005005,366108.5668113774,27
2846,CryptoSkull #2846,252525.2525252525,10000.0,8845.643520566122,9110.787172011662,12600.806451612903,9578.544061302684,8436.682696363789,8970.218873340511,39478.87879984209,1155.5350127108852,5005.005005005005,365707.35411800817,28
272,CryptoSkull #272,252525.2525252525,10000.0,10025.062656641605,8765.77840112202,12800.819252432157,9661.835748792271,8735.150244584207,8744.316194473593,37950.66413662239,1155.5350127108852,5005.005005005005,365369.4191776366,29
1866,CryptoSkull #1866,252525.2525252525,10000.0,8448.086508405848,8765.77840112202,10897.994768962511,11695.90643274854,8436.682696363789,8874.689385871496,39215.68627450981,1155.5350127108852,5005.005005005005,365020.61701095244,30
3586,CryptoSkull #3586,252525.2525252525,10000.0,8845.643520566122,9164.222873900293,14148.273910582908,9661.835748792271,8566.778034781119,8689.607229753216,37230.081906180196,1155.5350127108852,5005.005005005005,364992.2357675245,31
1064,CryptoSkull #1064,252525.2525252525,10000.0,8642.295393656557,8765.77840112202,11358.473421172193,9033.423667570009,8436.682696363789,8874.689385871496,40567.951318458414,1155.5350127108852,5005.005005005005,364365.08682718285,32
3247,CryptoSkull #3247,252525.2525252525,10000.0,9058.791557206268,9469.696969696968,11520.737327188941,9033.423667570009,8436.682696363789,8744.316194473593,39215.68627450981,1155.5350127108852,5005.005005005005,364165.12722997775,33
2482,CryptoSkull #2482,252525.2525252525,10000.0,10025.062656641605,8979.885057471265,15508.684863523575,10288.065843621398,8436.682696363789,9048.136083966703,33046.92663582287,1155.5350127108852,5005.005005005005,364019.2363803796,34
2910,CryptoSkull #2910,252525.2525252525,10000.0,9893.153937475267,9370.314842578711,12406.947890818858,8613.264427217915,8436.682696363789,8744.316194473593,37230.081906180196,1155.5350127108852,5005.005005005005,363380.55443807674,35
5747,CryptoSkull #5747,252525.2525252525,10000.0,9639.48332369385,9071.117561683599,12036.591237361581,8613.264427217915,8436.682696363789,9117.432530999271,37230.081906180196,1155.5350127108852,5005.005005005005,362830.4462264686,36
6305,CryptoSkull #6305,252525.2525252525,10000.0,8642.295393656557,9469.696969696968,10339.12324234905,9107.468123861567,8436.682696363789,8689.607229753216,38955.97974289053,1155.5350127108852,5005.005005005005,362326.6459415401,37
5608,CryptoSkull #5608,252525.2525252525,10000.0,9282.465422816302,9585.889570552148,10611.20543293718,8960.57347670251,8436.682696363789,8874.689385871496,36995.93044765076,1155.5350127108852,5005.005005005005,361433.2289758626,38
7179,CryptoSkull #7179,252525.2525252525,10000.0,11222.085063404782,8765.77840112202,12036.591237361581,10288.065843621398,8436.682696363789,8874.689385871496,33046.92663582287,1155.5350127108852,5005.005005005005,361356.6118065363,39
6716,CryptoSkull #6716,252525.2525252525,10000.0,10896.807235480006,9071.117561683599,12800.819252432157,9107.468123861567,8735.150244584207,8689.607229753216,33046.92663582287,1155.5350127108852,5005.005005005005,361033.688826586,40
3227,CryptoSkull #3227,252525.2525252525,10000.0,10896.807235480006,8765.77840112202,12800.819252432157,9337.068160597573,8436.682696363789,9048.136083966703,33046.92663582287,1155.5350127108852,5005.005005005005,361018.0110087535,41
544,CryptoSkull #544,252525.2525252525,10000.0,7914.523149980215,9164.222873900293,11200.716845878136,9578.544061302684,8566.778034781119,8744.316194473593,36995.93044765076,1155.5350127108852,5005.005005005005,360850.8241509352,42
1330,CryptoSkull #1330,252525.2525252525,10000.0,10896.807235480006,9585.889570552148,10339.12324234905,10893.246187363835,8436.682696363789,8744.316194473593,33046.92663582287,1155.5350127108852,5005.005005005005,360628.7843053737,43
9755,CryptoSkull #9755,252525.2525252525,10000.0,10589.85491898761,9071.117561683599,11200.716845878136,9337.068160597573,8436.682696363789,9117.432530999271,33046.92663582287,1155.5350127108852,5005.005005005005,359485.5918933012,44
18,CryptoSkull #18,252525.2525252525,10000.0,10299.721907508498,8765.77840112202,10611.20543293718,10384.215991692628,8436.682696363789,9117.432530999271,33046.92663582287,1155.5350127108852,5005.005005005005,359347.7561394146,45
3476,CryptoSkull #3476,252525.2525252525,10000.0,8084.72794890452,9469.696969696968,13007.284079084287,9337.068160597573,8566.778034781119,8744.316194473593,33046.92663582287,1155.5350127108852,5005.005005005005,358942.5905663293,46
3881,CryptoSkull #3881,95693.77990430623,10000.0,8084.72794890452,9484.066767830045,277.0359371017608,9259.25925925926,9026.085386767758,8744.316194473593,50276.52086475616,67567.56756756756,5005.005005005005,273418.36483597185,47
535,CryptoSkull #535,95693.77990430623,10000.0,7914.523149980215,9164.222873900293,277.0359371017608,10288.065843621398,9456.264775413712,9048.136083966703,50276.52086475616,62893.08176100629,5005.005005005005,270016.63619905774,48
4197,CryptoSkull #4197,95693.77990430623,10000.0,11222.085063404782,9469.696969696968,277.0359371017608,11947.431302270013,8436.682696363789,9534.706331045005,36995.93044765076,67567.56756756756,5005.005005005005,266149.92122441187,49
4748,CryptoSkull #4748,95693.77990430623,10000.0,12531.328320802006,9164.222873900293,277.0359371017608,9746.588693957116,9077.70515613653,8874.689385871496,40016.00640256103,65359.47712418302,5005.005005005005,265745.83880382444,50
7549,CryptoSkull #7549,95693.77990430623,10000.0,8084.72794890452,9585.889570552148,277.0359371017608,10482.18029350105,8818.342151675486,9589.566551591868,40016.00640256103,67567.56756756756,5005.005005005005,265120.10133276664,51
3417,CryptoSkull #3417,95693.77990430623,10000.0,10299.721907508498,9071.117561683599,277.0359371017608,9107.468123861567,9456.264775413712,9920.63492063492,40567.951318458414,65359.47712418302,5005.005005005005,264758.4565781567,52
3659,CryptoSkull #3659,95693.77990430623,10000.0,12963.443090484834,9469.696969696968,277.0359371017608,10893.246187363835,9456.264775413712,9117.432530999271,40016.00640256103,61728.3950617284,5005.005005005005,264620.305864661,53
8107,CryptoSkull #8107,95693.77990430623,10000.0,10589.85491898761,8979.885057471265,277.0359371017608,10893.246187363835,8436.682696363789,9534.706331045005,39215.68627450981,65359.47712418302,5005.005005005005,263985.3594363373,54
9768,CryptoSkull #9768,95693.77990430623,10000.0,11934.598400763814,9469.696969696968,277.0359371017608,8818.342151675486,8818.342151675486,9187.798603454612,39215.68627450981,65359.47712418302,5005.005005005005,263779.7625223722,55
8036,CryptoSkull #8036,95693.77990430623,10000.0,10442.773600668337,9720.062208398134,277.0359371017608,9033.423667570009,8436.682696363789,9416.195856873825,42625.74595055414,62893.08176100629,5005.005005005005,263543.7865878475,56
99,CryptoSkull #99,95693.77990430623,10000.0,9517.46454744456,8765.77840112202,277.0359371017608,12345.67901234568,8566.778034781119,8874.689385871496,42625.74595055414,61728.3950617284,5005.005005005005,263400.3512402604,57
6106,CryptoSkull #6106,95693.77990430623,10000.0,8845.643520566122,8765.77840112202,277.0359371017608,10893.246187363835,9026.085386767758,9117.432530999271,40016.00640256103,65359.47712418302,5005.005005005005,262999.490399976,58
6527,CryptoSkull #6527,95693.77990430623,10000.0,9893.153937475267,10179.153094462541,277.0359371017608,11695.90643274854,8818.342151675486,9589.566551591868,40016.00640256103,61728.3950617284,5005.005005005005,262896.34447865613,59
6897,CryptoSkull #6897,95693.77990430623,10000.0,12963.443090484834,9484.066767830045,277.0359371017608,10893.246187363835,8566.778034781119,9117.432530999271,37950.66413662239,62893.08176100629,5005.005005005005,262844.5333555008,60
7287,CryptoSkull #7287,95693.77990430623,10000.0,12963.443090484834,9469.696969696968,277.0359371017608,8960.57347670251,9077.70515613653,9187.798603454612,40016.00640256103,61728.3950617284,5005.005005005005,262379.43960717786,61
4186,CryptoSkull #4186,95693.77990430623,10000.0,9639.48332369385,9484.066767830045,277.0359371017608,9661.835748792271,8818.342151675486,8689.607229753216,37230.081906180196,67567.56756756756,5005.005005005005,262066.80554190563,62
2589,CryptoSkull #2589,95693.77990430623,10000.0,10160.53647632595,9164.222873900293,277.0359371017608,9337.068160597573,8818.342151675486,8970.218873340511,38955.97974289053,65359.47712418302,5005.005005005005,261741.66624932637,63
1920,CryptoSkull #1920,95693.77990430623,10000.0,9893.153937475267,9469.696969696968,277.0359371017608,10010.01001001001,9456.264775413712,8970.218873340511,41135.33525298232,61728.3950617284,5005.005005005005,261638.89572706015,64
3907,CryptoSkull #3907,95693.77990430623,10000.0,9517.46454744456,9370.314842578711,277.0359371017608,9661.835748792271,9026.085386767758,8970.218873340511,41135.33525298232,62893.08176100629,5005.005005005005,261550.15725932544,65
3322,CryptoSkull #3322,95693.77990430623,10000.0,10299.721907508498,9370.314842578711,277.0359371017608,10288.065843621398,8818.342151675486,9187.798603454612,42625.74595055414,59880.239520958086,5005.005005005005,261446.04966676392,66
2165,CryptoSkull #2165,95693.77990430623,10000.0,8354.21888053467,10179.153094462541,277.0359371017608,11337.868480725625,9152.480322167308,9117.432530999271,39215.68627450981,62893.08176100629,5005.005005005005,261225.74219081854,67
902,CryptoSkull #902,95693.77990430623,10000.0,11567.37998843262,9370.314842578711,277.0359371017608,8818.342151675486,9152.480322167308,9187.798603454612,50276.52086475616,51813.47150259067,5005.005005005005,261162.12912206852,68
8087,CryptoSkull #8087,95693.77990430623,10000.0,11057.054400707651,9585.889570552148,277.0359371017608,11223.34455667789,9152.480322167308,9187.798603454612,36995.93044765076,62893.08176100629,5005.005005005005,261071.40050862962,69
184,CryptoSkull #184,95693.77990430623,10000.0,12531.328320802006,9164.222873900293,277.0359371017608,10582.010582010582,9456.264775413712,9416.195856873825,38955.97974289053,59880.239520958086,5005.005005005005,260962.06251926202,70
2807,CryptoSkull #2807,95693.77990430623,10000.0,8354.21888053467,9342.301943198803,277.0359371017608,8818.342151675486,8735.150244584207,9920.63492063492,38955.97974289053,65359.47712418302,5005.005005005005,260461.92585411464,71
3024,CryptoSkull #3024,95693.77990430623,10000.0,11057.054400707651,9469.696969696968,277.0359371017608,11947.431302270013,8436.682696363789,9416.195856873825,38955.97974289053,59880.239520958086,5005.005005005005,260139.10133617383,72
2886,CryptoSkull #2886,95693.77990430623,10000.0,10025.062656641605,9071.117561683599,277.0359371017608,10288.065843621398,9026.085386767758,9534.706331045005,39478.87879984209,61728.3950617284,5005.005005005005,260128.1324877428,73
