TOKEN_ID,TOKEN_NAME,Background,Fur,Torso,Eyes,Head,Nose,Earring,Cake's Special Batch,NUM_TRAITS,RARITY_SCORE,Rank
1313,Caked Apes #1313,3055.25,2107.0689655172414,1222.1000000000001,1566.7948717948718,1111.0,1697.361111111111,9.26254358041534,54315.555555555555,20368.333333333336,85452.72638089253,1
2789,Caked Apes #2789,3055.25,2107.0689655172414,1222.1000000000001,1566.7948717948718,1111.0,1697.361111111111,9.26254358041534,54315.555555555555,20368.333333333336,85452.72638089253,2
3456,Caked Apes #3456,3055.25,2107.0689655172414,1222.1000000000001,1566.7948717948718,1111.0,1697.361111111111,9.26254358041534,54315.555555555555,20368.333333333336,85452.72638089253,3
4443,Caked Apes #4443,3055.25,2107.0689655172414,1222.1000000000001,1566.7948717948718,1111.0,1697.361111111111,9.26254358041534,54315.555555555555,20368.333333333336,85452.72638089253,4
5909,Caked Apes #5909,3055.25,2107.0689655172414,1222.1000000000001,1566.7948717948718,1111.0,1697.361111111111,9.26254358041534,54315.555555555555,20368.333333333336,85452.72638089253,5
6767,Caked Apes #6767,3055.25,2107.0689655172414,1222.1000000000001,1566.7948717948718,1111.0,1697.361111111111,9.26254358041534,54315.555555555555,20368.333333333336,85452.72638089253,6
7420,Caked Apes #7420,3055.25,2107.0689655172414,1222.1000000000001,1566.7948717948718,1111.0,1697.361111111111,9.26254358041534,54315.555555555555,20368.333333333336,85452.72638089253,7
8069,Caked Apes #8069,3055.25,2107.0689655172414,1222.1000000000001,1566.7948717948718,1111.0,1697.361111111111,9.26254358041534,54315.555555555555,20368.333333333336,85452.72638089253,8
762,Caked Apes #762,581.952380952381,41.11354079058032,47.92549019607843,42.489352455454146,40.4,54.97525865946919,8147.333333333333,6.116616616616617,1771.159420289855,10733.465393293769,9
7395,Caked Apes #7395,46.204158790170126,42.24699680235071,43.842152466367715,46.25224713785599,44.663316582914575,107.76895943562612,8147.333333333333,6.116616616616617,1771.159420289855,10255.587201455091,10
1385,Caked Apes #1385,80.93377483443707,40.039315259234996,54.61899441340782,47.478632478632484,50.21468926553672,36.799156880457694,8147.333333333333,6.116616616616617,1771.159420289855,10234.693933371513,11
2372,Caked Apes #2372,47.003846153846155,42.24699680235071,55.550000000000004,48.02436388643285,40.4,51.24109014675052,8147.333333333333,6.116616616616617,1771.159420289855,10209.075667229186,12
2019,Caked Apes #2019,47.64522417153996,42.24699680235071,45.05437788018433,48.02436388643285,41.14814814814815,54.97525865946919,8147.333333333333,6.116616616616617,1771.159420289855,10203.703739787928,13
1940,Caked Apes #1940,45.685981308411215,36.88523353203049,51.45684210526316,42.489352455454146,50.5,35.36168981481482,8147.333333333333,6.116616616616617,1771.159420289855,10186.988469455777,14
1044,Caked Apes #1044,47.003846153846155,42.567049808429125,45.68598130841122,45.57948717948718,43.56862745098039,36.799156880457694,8147.333333333333,6.116616616616617,1771.159420289855,10185.813519021416,15
1789,Caked Apes #1789,37.37308868501529,42.353145035522445,45.05437788018433,47.84106478762967,50.5,37.20243531202435,8147.333333333333,6.116616616616617,1771.159420289855,10184.933481940181,16
3294,Caked Apes #3294,46.204158790170126,41.11354079058032,44.44,45.57948717948718,44.0,38.142946317103615,8147.333333333333,6.116616616616617,1771.159420289855,10184.089503317147,17
2899,Caked Apes #2899,37.14589665653495,42.567049808429125,41.60340425531915,47.84106478762967,40.4,38.142946317103615,8147.333333333333,6.116616616616617,1771.159420289855,10172.309732064823,18
