TOKEN_ID,TOKEN_NAME,Origin,Legendary,Trait Count,Advocate,Background,Body,Neck,Eyes,Hat,Mouth,Special,Nosering,RARITY_SCORE,Rank
220,kaiju-kingz #220,25.002500250025005,2.2797946360991803,9.228497600590625,8.38447865311735,8.093758093758094,25.002500250025005,27.07385748321421,16.89645850229792,38.959015116097866,3.4735247940199803,2.1094910220062104,6.449948400412797,172.95382480166427,2377
442,kaiju-kingz #442,25.002500250025005,2.2797946360991803,9.228497600590625,8.38447865311735,17.95203217004165,14.003248753710862,27.07385748321421,10.521885521885524,46.45113340765514,3.4735247940199803,2.1094910220062104,6.449948400412797,172.93039269277855,2378
1529,kaiju-kingz #1529,25.002500250025005,2.2797946360991803,11.720581340834505,8.38447865311735,16.910173160173162,25.002500250025005,31.494079113126734,39.234149403640934,0.8056901058032246,3.4735247940199803,2.1094910220062104,6.449948400412797,172.86691112928412,2379
804,kaiju-kingz #804,25.002500250025005,2.2797946360991803,11.720581340834505,8.38447865311735,57.39210284664831,14.18681193962093,28.058361391694728,12.931926339747571,0.8056901058032246,3.4735247940199803,2.1094910220062104,6.449948400412797,172.7952117200298,2380
1542,kaiju-kingz #1542,25.002500250025005,2.2797946360991803,11.720581340834505,8.38447865311735,14.081333783936014,15.555970381432394,3.4756979201423652,17.020697167755994,0.8056901058032246,65.87615283267456,2.1094910220062104,6.449948400412797,172.7623364942396,2381
1941,kaiju-kingz #1941,25.002500250025005,2.2797946360991803,9.228497600590625,8.38447865311735,14.18681193962093,15.555970381432394,20.4398659144796,5.190167746221558,60.38647342995169,3.4735247940199803,2.1094910220062104,6.449948400412797,172.68752476797735,2382
96,kaiju-kingz #96,25.002500250025005,2.2797946360991803,9.228497600590625,8.38447865311735,11.9115685153421,14.18681193962093,28.57796067672611,30.8641975308642,30.193236714975846,3.4735247940199803,2.1094910220062104,6.449948400412797,172.66201073380034,2383
97,kaiju-kingz #97,25.002500250025005,2.2797946360991803,9.228497600590625,8.38447865311735,10.947626554562971,15.555970381432394,21.73535037384803,17.020697167755994,50.32206119162641,3.4735247940199803,2.1094910220062104,6.449948400412797,172.50994102549697,2384
2128,kaiju-kingz #2128,25.002500250025005,2.2797946360991803,85.20790729379686,8.38447865311735,8.093758093758094,14.18681193962093,3.4756979201423652,12.931926339747571,0.8056901058032246,3.4735247940199803,2.1094910220062104,6.449948400412797,172.40152944854958,2385
130,kaiju-kingz #130,25.002500250025005,2.2797946360991803,11.720581340834505,8.38447865311735,41.625041625041625,14.18681193962093,3.4756979201423652,10.521885521885524,43.13319530710835,3.4735247940199803,2.1094910220062104,6.449948400412797,172.36295141031385,2386
1255,kaiju-kingz #1255,25.002500250025005,2.2797946360991803,11.720581340834505,8.38447865311735,19.13070094888277,14.003248753710862,33.54804079441761,45.38852578068265,0.8056901058032246,3.4735247940199803,2.1094910220062104,6.449948400412797,172.29652548001215,2387
2811,kaiju-kingz #2811,25.002500250025005,2.2797946360991803,9.228497600590625,8.38447865311735,16.910173160173162,12.378688849277085,26.838432635534083,35.07295173961841,24.154589371980677,3.4735247940199803,2.1094910220062104,6.449948400412797,172.2830711128546,2388
2097,kaiju-kingz #2097,25.002500250025005,2.2797946360991803,11.720581340834505,8.38447865311735,17.95203217004165,32.93807641633728,31.818760341097114,29.301453352086263,0.8056901058032246,3.4735247940199803,2.1094910220062104,6.449948400412797,172.2363314818806,2389
2592,kaiju-kingz #2592,25.002500250025005,2.2797946360991803,11.720581340834505,8.38447865311735,61.094819159335295,12.378688849277085,26.838432635534083,11.690983913206138,0.8056901058032246,3.4735247940199803,2.1094910220062104,6.449948400412797,172.22893375967087,2390
1067,kaiju-kingz #1067,25.002500250025005,2.2797946360991803,85.20790729379686,8.38447865311735,10.947626554562971,12.378688849277085,3.4756979201423652,11.690983913206138,0.8056901058032246,3.4735247940199803,2.1094910220062104,6.449948400412797,172.2063323924692,2391
1746,kaiju-kingz #1746,25.002500250025005,2.2797946360991803,11.720581340834505,8.38447865311735,8.093758093758094,68.87052341597797,20.4398659144796,14.467592592592595,0.8056901058032246,3.4735247940199803,2.1094910220062104,6.449948400412797,172.0977492191265,2392
2473,kaiju-kingz #2473,25.002500250025005,2.2797946360991803,11.720581340834505,8.38447865311735,14.18681193962093,12.378688849277085,3.4756979201423652,43.675751222921036,38.959015116097866,3.4735247940199803,2.1094910220062104,6.449948400412797,172.09628414457433,2393
2902,kaiju-kingz #2902,25.002500250025005,2.2797946360991803,9.228497600590625,8.38447865311735,11.9115685153421,14.003248753710862,31.494079113126734,5.190167746221558,52.509976895610166,3.4735247940199803,2.1094910220062104,6.449948400412797,172.03727638028258,2394
2694,kaiju-kingz #2694,25.002500250025005,2.2797946360991803,9.228497600590625,8.38447865311735,14.18681193962093,25.002500250025005,20.4398659144796,31.281281281281284,24.154589371980677,3.4735247940199803,2.1094910220062104,6.449948400412797,171.99328411365866,2395
2376,kaiju-kingz #2376,25.002500250025005,2.2797946360991803,9.228497600590625,8.38447865311735,32.100667693888035,14.003248753710862,21.73535037384803,11.690983913206138,35.52145495879511,3.4735247940199803,2.1094910220062104,6.449948400412797,171.97994104971934,2396
634,kaiju-kingz #634,25.002500250025005,2.2797946360991803,9.228497600590625,8.38447865311735,8.093758093758094,28.696051423324153,24.890481879729194,11.690983913206138,41.64584374479427,3.4735247940199803,2.1094910220062104,6.449948400412797,171.945354411083,2397
635,kaiju-kingz #635,25.002500250025005,2.2797946360991803,11.720581340834505,8.38447865311735,17.95203217004165,32.93807641633728,3.4756979201423652,11.690983913206138,46.45113340765514,3.4735247940199803,2.1094910220062104,6.449948400412797,171.92824292389764,2398
941,kaiju-kingz #941,25.002500250025005,2.2797946360991803,11.720581340834505,8.38447865311735,11.9115685153421,28.696051423324153,31.818760341097114,39.234149403640934,0.8056901058032246,3.4735247940199803,2.1094910220062104,6.449948400412797,171.8865388857226,2399
94,kaiju-kingz #94,25.002500250025005,2.2797946360991803,9.228497600590625,8.38447865311735,17.95203217004165,15.555970381432394,28.058361391694728,11.690983913206138,41.64584374479427,3.4735247940199803,2.1094910220062104,6.449948400412797,171.83142695744036,2400
