TOKEN_ID,TOKEN_NAME,background,shoes,hands,shorts,body,accessory,head,eyes,mouth,Trait Count,mask,special,RARITY_SCORE,Rank
1,cryptoongoonz #1,8.027486112449026,1262.6262626262626,434.02777777777777,8333.333333333332,3.686500036865,10.276647346569655,527.4261603375527,730.9941520467836,514.4032921810699,4.041579772701553,1.2110642832921572,5.985730019633194,11836.03998587429,1
69,cryptoongoonz #69,8.027486112449026,5.3051523639758935,12.891914191419142,2.9943705833033896,3.686500036865,92.48982611912689,5.701904436081651,4.35115566694514,6.390103008460496,3472.222222222222,1.2110642832921572,5208.333333333333,8823.605032357475,2
4774,cryptoongoonz #4774,4.596433167861739,27.750027750027748,7.076539855072464,5.978000956480153,3.686500036865,14.833274000237331,9.767151117362086,11.421783625730994,20.996052742084487,3472.222222222222,1.2110642832921572,5208.333333333333,8787.87238309057,3
4783,cryptoongoonz #4783,11.524454893283547,4.990617638838982,11.625744047619047,5.978000956480153,8.01667468334135,22.787348464132712,14.064697609001405,11.246063877642825,5.275931201857127,3472.222222222222,1.2110642832921572,5208.333333333333,8777.276153211045,4
1733,cryptoongoonz #1733,9.758001561280249,9.67529703161887,6.609560067681895,7.284382284382285,8.01667468334135,12.380527905709899,24.531449318025707,9.945498667303179,6.390103008460496,3472.222222222222,1.2110642832921572,5208.333333333333,8776.358114366652,5
2781,cryptoongoonz #2781,4.596433167861739,16.291951775822746,7.891414141414142,9.792401096748922,3.686500036865,25.360113613308986,12.864052691159822,7.309941520467836,5.358367626886145,3472.222222222222,1.2110642832921572,5208.333333333333,8774.917795509384,6
7,cryptoongoonz #7,9.758001561280249,5.55000555000555,25.040064102564102,7.284382284382285,11.273448773448774,9.194894994299165,8.177149772675236,5.580108030891479,4.9461855017410565,3472.222222222222,1.2110642832921572,5208.333333333333,8768.570860410135,7
6826,cryptoongoonz #6826,11.524454893283547,11.273448773448774,6.746545768566494,5.978000956480153,11.273448773448774,11.230907457322552,6.205013651030032,5.29705907280278,6.813288638159867,3472.222222222222,1.2110642832921572,5208.333333333333,8758.10878782339,8
1468,cryptoongoonz #1468,4.596433167861739,10.141576406636647,8.623068432671081,9.792401096748922,3.686500036865,5.823433496389471,6.8944596122555915,6.8637948548993775,19.411444987964902,3472.222222222222,1.2110642832921572,5208.333333333333,8757.59973193114,9
2642,cryptoongoonz #2642,23.95324326913864,8.145975887911373,7.315074906367041,14.671361502347418,8.01667468334135,4.960022220899549,5.701904436081651,16.61350345560872,11.690983913206134,315.65656565656565,8333.333333333332,5.985730019633194,8756.044373284432,10
