TOKEN_ID,TOKEN_NAME,Head,Face,Hat,Shirt,Background,RARITY_SCORE,Rank
9807,dope-shibas #9807,20.2020202020202,19.64636542239686,21.14164904862579,2105.2631578947367,20.145044319097504,2186.398236886877,1
1045,dope-shibas #1045,20.2020202020202,22.22222222222222,22.254367419606098,24.479804161566705,21.390374331550802,110.54878833696603,2
2925,dope-shibas #2925,20.2020202020202,20.833333333333336,21.836445026749644,25.062656641604008,21.949078138718175,109.88353334242537,3
5112,dope-shibas #5112,20.2020202020202,22.675736961451246,19.792182088075208,25.062656641604008,21.949078138718175,109.68167403186884,4
1960,dope-shibas #1960,20.2020202020202,22.22222222222222,22.578460149017836,24.479804161566705,19.477989871445267,108.96049660627222,5
1332,dope-shibas #1332,20.2020202020202,21.73913043478261,19.962072063080146,25.062656641604008,21.949078138718175,108.91495748020515,6
7353,dope-shibas #7353,20.2020202020202,21.69197396963124,21.836445026749644,25.062656641604008,20.110608345902463,108.90370418590756,7
6805,dope-shibas #6805,20.2020202020202,22.22222222222222,21.734405564007822,24.479804161566705,20.110608345902463,108.7490604957194,8
8750,dope-shibas #8750,20.2020202020202,21.141649048625794,22.578460149017836,25.062656641604008,19.706375012316485,108.69116105358432,9
4369,dope-shibas #4369,20.2020202020202,20.833333333333336,22.578460149017836,24.479804161566705,20.53177291859152,108.62539076452958,10
5025,dope-shibas #5025,20.2020202020202,20.408163265306126,21.43392991104919,25.062656641604008,21.390374331550802,108.49714435153032,11
2770,dope-shibas #2770,20.2020202020202,22.22222222222222,22.578460149017836,22.637238256932655,20.82248828735034,108.46242911754324,12
3198,dope-shibas #3198,20.2020202020202,21.69197396963124,22.578460149017836,24.479804161566705,19.477989871445267,108.43024835368124,13
7421,dope-shibas #7421,20.2020202020202,20.0,22.578460149017836,25.062656641604008,20.53177291859152,108.37490991123357,14
1267,dope-shibas #1267,20.2020202020202,21.69197396963124,21.836445026749644,22.637238256932655,21.949078138718175,108.31675559405191,15
5105,dope-shibas #5105,20.2020202020202,19.64636542239686,21.43392991104919,25.062656641604008,21.949078138718175,108.29405031578844,16
728,dope-shibas #728,20.2020202020202,22.675736961451246,20.580366330520683,23.391812865497077,21.390374331550802,108.24031069104001,17
268,dope-shibas #268,20.2020202020202,22.675736961451246,22.578460149017836,22.637238256932655,20.145044319097504,108.23849988851944,18
1129,dope-shibas #1129,20.2020202020202,22.675736961451246,22.578460149017836,22.1606648199446,20.60368806016277,108.22057019259665,19
6711,dope-shibas #6711,20.2020202020202,21.69197396963124,21.23818625889349,23.13475997686524,21.949078138718175,108.21601854612835,20
4185,dope-shibas #4185,20.2020202020202,21.73913043478261,22.688598979013044,22.637238256932655,20.933640360058615,108.20062823280712,21
2402,dope-shibas #2402,20.2020202020202,22.22222222222222,21.734405564007822,24.479804161566705,19.477989871445267,108.1164420212622,22
7581,dope-shibas #7581,20.2020202020202,22.22222222222222,21.43392991104919,23.391812865497077,20.82248828735034,108.07247348813902,23
4545,dope-shibas #4545,20.2020202020202,22.22222222222222,22.688598979013044,21.482277121374867,21.390374331550802,107.98549285618112,24
1379,dope-shibas #1379,20.2020202020202,22.675736961451246,21.836445026749644,22.637238256932655,20.60368806016277,107.95512850731652,25
5090,dope-shibas #5090,20.2020202020202,20.70393374741201,22.688598979013044,23.391812865497077,20.933640360058615,107.92000615400094,26
7692,dope-shibas #7692,20.2020202020202,22.22222222222222,20.39983680130559,23.13475997686524,21.949078138718175,107.90791734113144,27
6617,dope-shibas #6617,20.2020202020202,22.675736961451246,21.734405564007822,23.13475997686524,20.145044319097504,107.89196702344202,28
9205,dope-shibas #9205,20.2020202020202,22.675736961451246,19.140587616039813,24.479804161566705,21.390374331550802,107.88852327262876,29
27,dope-shibas #27,20.2020202020202,20.408163265306126,21.23818625889349,25.062656641604008,20.933640360058615,107.84466672788244,30
2757,dope-shibas #2757,20.2020202020202,20.833333333333336,21.23818625889349,25.062656641604008,20.496003279360526,107.83219971521156,31
3921,dope-shibas #3921,20.2020202020202,22.22222222222222,22.254367419606098,23.391812865497077,19.706375012316485,107.77679772166208,32
6321,dope-shibas #6321,20.2020202020202,22.22222222222222,19.792182088075208,25.062656641604008,20.496003279360526,107.77508443328216,33
4413,dope-shibas #4413,20.2020202020202,22.675736961451246,21.43392991104919,21.482277121374867,21.949078138718175,107.74304233461368,34
2192,dope-shibas #2192,20.2020202020202,20.408163265306126,22.578460149017836,25.062656641604008,19.477989871445267,107.72929012939343,35
9876,dope-shibas #9876,20.2020202020202,22.22222222222222,21.04598547827002,24.479804161566705,19.772614928324273,107.72264699240343,36
3539,dope-shibas #3539,20.2020202020202,22.22222222222222,21.93944712593243,21.929824561403507,21.390374331550802,107.68388844312916,37
6689,dope-shibas #6689,20.2020202020202,22.675736961451246,22.254367419606098,21.929824561403507,20.60368806016277,107.66563720464382,38
8245,dope-shibas #8245,20.2020202020202,22.22222222222222,22.578460149017836,22.1606648199446,20.496003279360526,107.65937067256537,39
2669,dope-shibas #2669,20.2020202020202,21.73913043478261,21.836445026749644,21.929824561403507,21.949078138718175,107.65649836367415,40
7946,dope-shibas #7946,20.2020202020202,21.73913043478261,20.134903855834086,25.062656641604008,20.496003279360526,107.63471441360143,41
1298,dope-shibas #1298,20.2020202020202,20.70393374741201,22.043425548330212,24.479804161566705,20.145044319097504,107.57422797842663,42
7041,dope-shibas #7041,20.2020202020202,22.22222222222222,21.23818625889349,21.929824561403507,21.949078138718175,107.5413313832576,43
