TOKEN_ID,TOKEN_NAME,Background,Eyes,Clothes,Fur,Mouth,Hat-Hair,Item,Glasses,Ninja Clothes,Hat,Unique,NUM_TRAITS,RARITY_SCORE,Rank
6118,Ape Kids Club #6118,48.08684460100258,41.53402375519279,73.51470588235294,59.35267558528428,50.951622164800455,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,338.2075241169151,8234
5744,Ape Kids Club #5744,53.777121212121216,41.53402375519279,79.34920634920634,36.944831893411056,61.82893476178033,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,338.2017700999938,8235
7178,Ape Kids Club #7178,48.08684460100258,40.82459167241776,76.3206106870229,57.23738106756975,50.951622164800455,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,338.18870232109555,8236
5722,Ape Kids Club #5722,49.79363075196409,40.88808248372789,78.7244094488189,59.742299276216116,44.25824552652909,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,338.17431961553814,8237
1054,Ape Kids Club #1054,48.08684460100258,37.345223063973066,86.93913043478261,56.761394530625296,44.25824552652909,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,338.1584902851947,8238
1539,Ape Kids Club #1539,49.79363075196409,41.20852200162545,78.109375,53.32466947115385,50.951622164800455,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,338.1554715178259,8239
9504,Ape Kids Club #9504,48.08684460100258,40.82459167241776,86.93913043478261,44.10699639617249,53.42500188153834,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,338.15021711419587,8240
7709,Ape Kids Club #7709,46.09467532467533,40.82459167241776,69.43055555555556,59.87331309041836,57.122233845658656,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,338.1130216170077,8241
6391,Ape Kids Club #6391,46.09467532467533,41.599742147210506,79.984,57.23738106756975,48.411511968901316,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,338.09496263663897,8242
1306,Ape Kids Club #1306,53.42098133654425,41.599742147210506,71.92805755395683,59.742299276216116,46.633688083037704,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,338.09242052524746,8243
9750,Ape Kids Club #9750,49.79363075196409,41.53402375519279,76.3206106870229,54.71388931709572,50.951622164800455,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,338.081428804358,8244
809,Ape Kids Club #809,46.09467532467533,41.599742147210506,81.95081967213115,59.742299276216116,43.90512122711529,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,338.0603097756304,8245
4044,Ape Kids Club #4044,49.79363075196409,41.53402375519279,81.28455284552845,56.761394530625296,43.90512122711529,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,338.046375238708,8246
5814,Ape Kids Club #5814,46.09467532467533,40.95177108572747,81.95081967213115,53.32466947115385,50.951622164800455,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,338.0412098467703,8247
5952,Ape Kids Club #5952,46.09467532467533,44.186616868969814,79.34920634920634,59.35267558528428,44.25824552652909,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,338.00907178294693,8248
6086,Ape Kids Club #6086,53.42098133654425,40.95177108572747,79.984,36.944831893411056,61.82893476178033,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,337.89817120574514,8249
9422,Ape Kids Club #9422,51.958571219440785,37.345223063973066,86.93913043478261,59.87331309041836,37.014182917926796,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,337.8980728548237,8250
3042,Ape Kids Club #3042,53.42098133654425,42.680254930254925,81.95081967213115,54.71388931709572,40.36265423324046,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,337.89625161754856,8251
5689,Ape Kids Club #5689,49.79363075196409,41.144032921810705,79.984,40.268776945768096,61.82893476178033,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,337.78702750960525,8252
6559,Ape Kids Club #6559,53.42098133654425,37.345223063973066,70.40845070422534,54.71388931709572,57.122233845658656,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,337.7784303957791,8253
2149,Ape Kids Club #2149,53.777121212121216,44.186616868969814,79.34920634920634,36.944831893411056,58.748489613506585,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,337.77391806549707,8254
4152,Ape Kids Club #4152,51.958571219440785,41.20852200162545,76.90769230769232,53.32466947115385,49.574551295481534,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,337.741658423676,8255
6323,Ape Kids Club #6323,50.893174648695165,40.88808248372789,78.109375,41.24204043690448,61.82893476178033,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,337.72925945938994,8256
2504,Ape Kids Club #2504,46.09467532467533,40.88808248372789,86.93913043478261,54.71388931709572,44.25824552652909,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,337.6616752150927,8257
2958,Ape Kids Club #2958,48.08684460100258,44.186616868969814,69.91608391608392,59.742299276216116,50.951622164800455,5.633167743266622,3.579591239845291,5.2232311043089235,3.812730622351368,1.734296589837432,7.106397036740414,37.67823779193206,337.65111895535495,8258
