TOKEN_ID,TOKEN_NAME,Eyes,Hair,Lips,Shirt,Skin,Trait Count,Glasses,Headwear,Iconic,RARITY_SCORE,Rank
924,1989-sisters #924,10.749914000687996,95.78544061302684,72.33796296296298,1851.8518518518522,74.07407407407408,1851.851851851852,2645.502645502646,11111.111111111111,3968.2539682539687,21681.51882022218,1
1254,1989-sisters #1254,139.06271728549578,48.49895727241865,94.4822373393802,3703.7037037037044,81.22157244964264,1157.4074074074076,6.47613866708114,11111.111111111111,2525.252525252525,18867.216370488768,2
1518,1989-sisters #1518,10.749914000687996,93.44921035417252,77.80890133831312,1851.8518518518522,81.22157244964264,1851.851851851852,5291.005291005292,5555.555555555556,3968.2539682539687,18781.748116661336,3
1914,1989-sisters #1914,10.749914000687996,85.14261387824607,81.94034742707309,1851.8518518518522,99.56192751891678,1851.851851851852,1763.6684303350971,5555.555555555556,3968.2539682539687,15268.576460673248,4
330,1989-sisters #330,10.749914000687996,75.125835774923,85.73388203017834,1234.5679012345681,78.80220646178094,1851.851851851852,1763.6684303350971,5555.555555555556,3968.2539682539687,14624.30954549861,5
462,1989-sisters #462,10.749914000687996,48.49895727241865,72.33796296296298,925.9259259259261,84.5594452900389,1157.4074074074076,2645.502645502646,3703.703703703704,3968.2539682539687,12616.93993031976,6
528,1989-sisters #528,10.749914000687996,93.44921035417252,101.75010175010176,925.9259259259261,74.07407407407408,1851.851851851852,1763.6684303350971,3703.703703703704,3968.2539682539687,12493.427180249584,7
66,1989-sisters #66,10.749914000687996,98.24147755182238,83.41675008341676,925.9259259259261,84.5594452900389,1851.851851851852,1763.6684303350971,3703.703703703704,3968.2539682539687,12490.371466996514,8
1419,1989-sisters #1419,151.99878400972793,87.07767328456984,76.52280379553108,1851.8518518518522,84.5594452900389,1851.851851851852,6.47613866708114,5555.555555555556,2525.252525252525,12191.146629558732,9
1584,1989-sisters #1584,10.749914000687996,72.2908985758693,101.75010175010176,925.9259259259261,99.56192751891678,1851.851851851852,88.18342151675485,3703.703703703704,2525.252525252525,9379.270270096338,10
1683,1989-sisters #1683,125.6913021618904,83.29168748958855,72.33796296296298,925.9259259259261,84.5594452900389,1851.851851851852,6.47613866708114,3703.703703703704,2525.252525252525,9379.090543305569,11
825,1989-sisters #825,133.38668800853677,81.5195239259803,85.73388203017834,51.440329218107,99.56192751891678,1851.851851851852,6.47613866708114,5555.555555555556,1322.7513227513227,9188.27721952753,12
1023,1989-sisters #1023,133.38668800853677,81.5195239259803,77.80890133831312,54.46623093681918,99.56192751891678,1851.851851851852,6.47613866708114,5555.555555555556,1322.7513227513227,9183.378140554378,13
1815,1989-sisters #1815,128.15583749839806,98.24147755182238,77.80890133831312,58.788947677836575,81.22157244964264,1851.851851851852,6.47613866708114,5555.555555555556,1322.7513227513227,9180.851605341824,14
1716,1989-sisters #1716,10.749914000687996,85.14261387824607,72.33796296296298,52.16484089723527,80.16674683341351,1851.851851851852,110.22927689594357,5555.555555555556,1322.7513227513227,9140.95008562722,15
363,1989-sisters #363,151.99878400972793,48.49895727241865,72.33796296296298,925.9259259259261,81.22157244964264,1157.4074074074076,6.47613866708114,3703.703703703704,2525.252525252525,8672.822977651396,16
297,1989-sisters #297,10.749914000687996,72.2908985758693,77.80890133831312,1851.8518518518522,78.80220646178094,1157.4074074074076,2645.502645502646,8.35421888053467,2525.252525252525,8428.020569271617,17
132,1989-sisters #132,10.749914000687996,89.10273545397844,77.80890133831312,54.46623093681918,84.5594452900389,1157.4074074074076,5291.005291005292,8.35421888053467,1322.7513227513227,8096.205467064395,18
1386,1989-sisters #1386,10.749914000687996,72.2908985758693,72.33796296296298,62.774639045825495,74.07407407407408,1157.4074074074076,5291.005291005292,8.35421888053467,1322.7513227513227,8071.745728703977,19
33,1989-sisters #33,10.749914000687996,72.2908985758693,94.4822373393802,1851.8518518518522,80.16674683341351,1157.4074074074076,1763.6684303350971,8.35421888053467,2525.252525252525,7564.224230476768,20
1188,1989-sisters #1188,10.749914000687996,98.24147755182238,72.33796296296298,925.9259259259261,99.56192751891678,1157.4074074074076,2645.502645502646,8.35421888053467,2525.252525252525,7543.334005003429,21
264,1989-sisters #264,151.99878400972793,89.10273545397844,72.33796296296298,60.71645415907712,74.07407407407408,1851.851851851852,6.47613866708114,3703.703703703704,1322.7513227513227,7333.01302763378,22
1980,1989-sisters #1980,10.749914000687996,73.6811081638668,89.89572096368214,60.71645415907712,81.22157244964264,1851.851851851852,110.22927689594357,3703.703703703704,1322.7513227513227,7304.800924939779,23
1452,1989-sisters #1452,10.749914000687996,76.62835249042146,83.41675008341676,1234.5679012345681,74.07407407407408,1157.4074074074076,1763.6684303350971,8.35421888053467,2525.252525252525,6934.119573758733,24
1122,1989-sisters #1122,176.6472354707649,48.49895727241865,81.94034742707309,64.97725795971411,81.22157244964264,1157.4074074074076,6.47613866708114,3703.703703703704,1322.7513227513227,6643.623943109129,25
957,1989-sisters #957,10.749914000687996,72.2908985758693,94.4822373393802,925.9259259259261,84.5594452900389,1157.4074074074076,1763.6684303350971,8.35421888053467,2525.252525252525,6642.691003007467,26
759,1989-sisters #759,10.749914000687996,95.78544061302684,72.33796296296298,925.9259259259261,81.22157244964264,1157.4074074074076,1763.6684303350971,8.35421888053467,2525.252525252525,6640.7033978278105,27
693,1989-sisters #693,10.749914000687996,85.14261387824607,72.33796296296298,52.16484089723527,84.5594452900389,1157.4074074074076,2645.502645502646,8.35421888053467,1322.7513227513227,5438.970371571082,28
198,1989-sisters #198,10.749914000687996,63.85696040868455,76.52280379553108,60.71645415907712,84.5594452900389,1157.4074074074076,2645.502645502646,8.35421888053467,1322.7513227513227,5430.421172195931,29
990,1989-sisters #990,176.6472354707649,95.78544061302684,81.94034742707309,1851.8518518518522,84.5594452900389,1157.4074074074076,6.47613866708114,8.35421888053467,1322.7513227513227,4785.773408359102,30
858,1989-sisters #858,10.749914000687996,76.62835249042146,77.80890133831312,1851.8518518518522,84.5594452900389,1157.4074074074076,101.75010175010175,8.35421888053467,1322.7513227513227,4691.86151576068,31
231,1989-sisters #231,10.749914000687996,100.82677959265982,76.52280379553108,69.88120195667366,80.16674683341351,1157.4074074074076,1763.6684303350971,8.35421888053467,1322.7513227513227,4590.328825553328,32
1485,1989-sisters #1485,10.749914000687996,78.19219641879741,84.1750841750842,75.58578987150416,80.16674683341351,1157.4074074074076,1763.6684303350971,8.35421888053467,1322.7513227513227,4581.051110673849,33
