TOKEN_ID,TOKEN_NAME,Background,Mouth,Eyes,Fur,Headgear,Clothes,Trait Count,Earrings,Necklace,Signature,RARITY_SCORE,Rank
9088,kbaofficial #9088,7.802746566791511,40.0962309542903,9.63948332369385,4.220477758082215,9.658103148541626,8.884150675195452,2.8691111493659265,1.7875017875017876,2.6299179465600675,2.50075022506752,90.08847353509026,3008
8306,kbaofficial #8306,7.71604938271605,6.774608766343744,7.631257631257632,5.0393065914130215,3.140999466030091,15.13317191283293,2.8691111493659265,36.63003663003663,2.6299179465600675,2.50075022506752,90.06520970162362,3009
740,kbaofficial #740,7.58955676988464,5.709065996802924,9.836710603974032,4.220477758082215,8.718395815170009,9.110787172011662,10.56859015007398,29.154518950437318,2.6299179465600675,2.50075022506752,90.03877138806438,3010
6660,kbaofficial #6660,7.49400479616307,10.912265386294195,4.113533525298231,5.0393065914130215,8.718395815170009,8.884150675195452,10.56859015007398,29.154518950437318,2.6299179465600675,2.50075022506752,90.01543406167286,3011
3814,kbaofficial #3814,7.548309178743962,8.056719303899452,7.631257631257632,5.584096493187402,16.37465203864418,35.01400560224089,2.8691111493659265,1.7875017875017876,2.6299179465600675,2.50075022506752,89.99632135646881,3012
5118,kbaofficial #5118,7.49400479616307,9.319664492078287,4.113533525298231,5.639521768554026,10.576414595452142,43.029259896729776,2.8691111493659265,1.7875017875017876,2.6299179465600675,2.50075022506752,89.95968018277082,3013
3956,kbaofficial #3956,7.71604938271605,8.151952392598028,7.631257631257632,25.252525252525253,8.81367882954345,22.60397830018083,2.8691111493659265,1.7875017875017876,2.6299179465600675,2.50075022506752,89.95672289731654,3014
4090,kbaofficial #4090,7.687576875768758,10.26272577996716,6.8073519400953035,17.825311942959,8.81367882954345,1.3972725240330874,2.8691111493659265,29.154518950437318,2.6299179465600675,2.50075022506752,89.94821616379758,3015
5306,kbaofficial #5306,7.183908045977011,9.319664492078287,7.631257631257632,5.577244841048522,3.140999466030091,43.029259896729776,7.140816909454442,1.7875017875017876,2.6299179465600675,2.50075022506752,89.94132124170514,3016
3812,kbaofficial #3812,7.387706855791962,6.966213862765587,5.623031938821413,5.639521768554026,10.576414595452142,8.884150675195452,10.56859015007398,29.154518950437318,2.6299179465600675,2.50075022506752,89.93081696871947,3017
4289,kbaofficial #4289,7.183908045977011,9.319664492078287,7.175660160734788,5.2246603970741905,8.208158909956497,43.029259896729776,2.8691111493659265,1.7875017875017876,2.6299179465600675,2.50075022506752,89.92859301104583,3018
2820,kbaofficial #2820,7.802746566791511,7.679901697258275,7.631257631257632,33.67003367003367,3.140999466030091,15.943877551020408,7.140816909454442,1.7875017875017876,2.6299179465600675,2.50075022506752,89.9278034509754,3019
1778,kbaofficial #1778,7.802746566791511,40.0962309542903,6.9051236017124715,4.220477758082215,15.43448062972681,1.3972725240330874,7.140816909454442,1.7875017875017876,2.6299179465600675,2.50075022506752,89.9153189032202,3020
