TOKEN_ID,TOKEN_NAME,Background,Fur,Eye,Mouth,Shirt,Neck,Head,Eye Accessory,Trait Count,Specials,RARITY_SCORE,Rank
3158,shiba-shelter-nft #3158,15.375153751537518,15.56178026766262,16.339869281045754,8.203445447087777,11.512779184895235,39.478878799842086,17.226528854435834,1.7285487105026625,9.012256669069934,2.2530641672674836,136.6923051333469,2842
3798,shiba-shelter-nft #3798,19.025875190258756,14.144271570014144,18.85369532428356,26.35046113306983,17.88908765652952,1.6971589559078104,3.3080816434549605,24.15458937198068,9.012256669069934,2.2530641672674836,136.68854168183668,2843
4770,shiba-shelter-nft #4770,12.761613067891783,15.56178026766262,13.308490817141337,5.289326139849783,14.35544071202986,47.05882352941177,15.299877600979194,1.7285487105026625,9.012256669069934,2.2530641672674836,136.62922168180646,2844
3460,shiba-shelter-nft #3460,21.701388888888893,14.144271570014144,19.607843137254903,19.94415636218588,11.28923007450892,1.6971589559078104,35.236081747709655,1.7285487105026625,9.012256669069934,2.2530641672674836,136.6140002833103,2845
206,shiba-shelter-nft #206,12.761613067891783,5.047955577990913,17.664723547076488,20.605810838656502,29.815146094215862,22.711787417669775,15.003750937734436,1.7285487105026625,9.012256669069934,2.2530641672674836,136.60465702807585,2846
4532,shiba-shelter-nft #4532,12.761613067891783,13.35113484646195,5.596910505401019,14.492753623188408,29.815146094215862,1.6971589559078104,14.35544071202986,33.26679973386561,9.012256669069934,2.2530641672674836,136.60227837529973,2847
4618,shiba-shelter-nft #4618,19.025875190258756,5.047955577990913,5.596910505401019,8.203445447087777,13.520822065981614,35.868005738880925,36.33720930232559,1.7285487105026625,9.012256669069934,2.2530641672674836,136.5940933747667,2848
596,shiba-shelter-nft #596,15.375153751537518,8.99604174163368,5.596910505401019,15.639662183296842,8.01924619085806,43.89815627743635,3.3080816434549605,24.47381302006853,9.012256669069934,2.2530641672674836,136.57238615002439,2849
4221,shiba-shelter-nft #4221,12.761613067891783,18.649757553151808,16.711229946524067,10.951702989814917,14.534883720930235,1.6971589559078104,16.730801405387318,33.26679973386561,9.012256669069934,2.2530641672674836,136.56926820981099,2850
2593,shiba-shelter-nft #2593,14.318442153493702,15.56178026766262,18.85369532428356,16.406890894175554,30.599755201958388,1.6971589559078104,26.13012803762739,1.7285487105026625,9.012256669069934,2.2530641672674836,136.56172038194913,2851
4141,shiba-shelter-nft #4141,12.761613067891783,18.649757553151808,16.52346331791144,15.639662183296842,17.3550850399167,1.6971589559078104,18.168604651162795,24.47381302006853,9.012256669069934,2.2530641672674836,136.53447862564514,2852
217,shiba-shelter-nft #217,12.86008230452675,8.99604174163368,16.52346331791144,14.492753623188408,13.842746400885936,1.6971589559078104,14.44460494005489,42.40882103477524,9.012256669069934,2.2530641672674836,136.53099315522155,2853
2333,shiba-shelter-nft #2333,14.318442153493702,12.987012987012987,8.147303242626691,20.605810838656502,13.520822065981614,39.478878799842086,14.44460494005489,1.7285487105026625,9.012256669069934,2.2530641672674836,136.49674457450857,2854
1021,shiba-shelter-nft #1021,12.86008230452675,5.047955577990913,8.147303242626691,8.203445447087777,43.06632213608958,33.80662609871535,12.370113805047009,1.7285487105026625,9.012256669069934,2.2530641672674836,136.49571815892418,2855
1530,shiba-shelter-nft #1530,19.025875190258756,13.35113484646195,5.596910505401019,24.425989252564733,13.365410318096766,33.80662609871535,13.92563709789723,1.7285487105026625,9.012256669069934,2.2530641672674836,136.49145285623592,2856
3999,shiba-shelter-nft #3999,21.701388888888893,8.99604174163368,15.941335883947076,16.283992835043154,13.365410318096766,25.46473134708429,21.734405564007826,1.7285487105026625,9.012256669069934,2.2530641672674836,136.4811761255418,2857
4131,shiba-shelter-nft #4131,12.761613067891783,5.047955577990913,16.339869281045754,26.838432635534087,19.70831690973591,39.478878799842086,3.3080816434549605,1.7285487105026625,9.012256669069934,2.2530641672674836,136.4770174623356,2858
4016,shiba-shelter-nft #4016,15.375153751537518,5.047955577990913,15.941335883947076,16.283992835043154,12.239902080783354,43.572984749455344,15.003750937734436,1.7285487105026625,9.012256669069934,2.2530641672674836,136.45894536333188,2859
3616,shiba-shelter-nft #3616,25.406504065040654,5.047955577990913,16.339869281045754,18.42299189388357,15.92863969417012,1.6971589559078104,16.852039096730707,25.484199796126404,9.012256669069934,2.2530641672674836,136.44467919723334,2860
2071,shiba-shelter-nft #2071,12.761613067891783,13.252054068380598,5.596910505401019,22.52759630547421,41.52823920265781,1.6971589559078104,3.3080816434549605,24.47381302006853,9.012256669069934,2.2530641672674836,136.41078760557414,2861
4348,shiba-shelter-nft #4348,15.375153751537518,12.987012987012987,19.607843137254903,14.492753623188408,13.065064018813695,1.6971589559078104,23.730422401518748,24.15458937198068,9.012256669069934,2.2530641672674836,136.37531908355217,2862
3577,shiba-shelter-nft #3577,15.375153751537518,13.35113484646195,16.52346331791144,19.40993788819876,19.062142584826535,1.6971589559078104,14.180374361883155,25.484199796126404,9.012256669069934,2.2530641672674836,136.34888633919098,2863
4357,shiba-shelter-nft #4357,10.052271813429837,5.047955577990913,17.664723547076488,18.42299189388357,17.3550850399167,39.478878799842086,15.299877600979194,1.7285487105026625,9.012256669069934,2.2530641672674836,136.31565381995887,2864
2018,shiba-shelter-nft #2018,25.406504065040654,5.047955577990913,13.308490817141337,5.289326139849783,12.919896640826874,22.711787417669775,14.812620352540366,25.484199796126404,9.012256669069934,2.2530641672674836,136.24610164352353,2865
5039,shiba-shelter-nft #5039,14.318442153493702,15.56178026766262,17.717930545712264,16.283992835043154,11.28923007450892,1.6971589559078104,3.3080816434549605,44.80286738351255,9.012256669069934,2.2530641672674836,136.2448046956334,2866
1163,shiba-shelter-nft #1163,14.318442153493702,13.252054068380598,16.711229946524067,18.42299189388357,14.35544071202986,33.80662609871535,12.370113805047009,1.7285487105026625,9.012256669069934,2.2530641672674836,136.23076822491424,2867
214,shiba-shelter-nft #214,23.47417840375587,5.047955577990913,48.61448711716092,16.283992835043154,14.35544071202986,1.6971589559078104,13.760836658868861,1.7285487105026625,9.012256669069934,2.2530641672674836,136.2279198075975,2868
3852,shiba-shelter-nft #3852,10.052271813429837,12.987012987012987,16.339869281045754,17.96622349982034,17.618040873854827,33.80662609871535,14.44460494005489,1.7285487105026625,9.012256669069934,2.2530641672674836,136.2085190407741,2869
