TOKEN_ID,TOKEN_NAME,Clothing,Emotion,Eyes,Skin,Teeth,Hat,Mouth Props,Glasses,Necklace,Accessories,Nose,Jacket,Earrings,Legendary,NUM_TRAITS,RARITY_SCORE,Rank
4645,#4645,51.090640394088666,61.38375946969696,36.35006308706014,49.714313105167285,9.21296214045872,5.54798331015299,8.625582168995342,125.25845410628017,4.805311538604099,14.650939398220086,23.572435110686847,7.379468351548269,22.212370427482224,4.650434938570531,20.241617549475,444.69633509648736,5456
3456,#3456,110.38101319710513,61.38375946969696,36.85643212508884,49.714313105167285,9.21296214045872,64.86178861788618,8.625582168995342,6.097236919459141,4.805311538604099,14.650939398220086,23.572435110686847,7.379468351548269,22.212370427482224,4.650434938570531,20.241617549475,444.6456650584446,5457
6489,#6489,83.55945858846276,60.43939393939393,79.6574500768049,47.71531100478469,23.165959347777527,39.1078431372549,8.625582168995342,6.097236919459141,4.805311538604099,14.650939398220086,23.572435110686847,7.379468351548269,22.212370427482224,4.650434938570531,19.001502326774393,444.6406972748196,5458
5640,#5640,6.332055289635636,60.39715816445375,36.85643212508884,27.90711441179636,23.165959347777527,43.12432432432432,8.625582168995342,141.91844553913518,4.805311538604099,14.650939398220086,23.572435110686847,7.379468351548269,22.212370427482224,4.650434938570531,19.001502326774393,444.59953346309334,5459
5665,#5665,85.9698275862069,60.907916373032656,36.85643212508884,66.08512807442334,9.21296214045872,73.19266055045871,8.625582168995342,6.097236919459141,4.805311538604099,14.650939398220086,23.572435110686847,7.379468351548269,22.212370427482224,4.650434938570531,20.241617549475,444.4603232527106,5460
1755,#1755,85.9698275862069,61.38375946969696,36.35006308706014,66.08512807442334,9.21296214045872,73.19266055045871,8.625582168995342,6.097236919459141,4.805311538604099,14.650939398220086,23.572435110686847,7.379468351548269,22.212370427482224,4.650434938570531,20.241617549475,444.42979731134625,5461
1392,#1392,154.15279429250893,61.25324828726671,36.85643212508884,29.379072007251715,9.21296214045872,41.336787564766844,8.625582168995342,6.097236919459141,4.805311538604099,14.650939398220086,23.572435110686847,7.379468351548269,22.212370427482224,4.650434938570531,20.241617549475,444.4266928203832,5462
4826,#4826,85.9698275862069,60.907916373032656,85.15106732348112,49.714313105167285,9.21296214045872,41.123711340206185,8.625582168995342,6.097236919459141,4.805311538604099,14.650939398220086,23.572435110686847,7.379468351548269,22.212370427482224,4.650434938570531,20.241617549475,444.3151942715943,5463
3729,#3729,6.332055289635636,60.39715816445375,36.13728222996516,27.90711441179636,23.165959347777527,5.54798331015299,8.625582168995342,6.097236919459141,177.3495212038304,14.650939398220086,23.572435110686847,7.379468351548269,22.212370427482224,4.650434938570531,20.241617549475,444.2671588220492,5464
6096,#6096,50.51334502240405,61.38375946969696,64.53086112493779,46.49601004214112,9.21296214045872,43.12432432432432,8.625582168995342,64.02098765432099,4.805311538604099,14.650939398220086,23.572435110686847,7.379468351548269,22.212370427482224,4.650434938570531,19.001502326774393,444.18029403916574,5465
1578,#1578,44.928955120429734,60.43939393939393,36.35006308706014,51.01524840137728,23.165959347777527,44.07734806629834,8.625582168995342,64.02098765432099,4.805311538604099,14.650939398220086,23.572435110686847,7.379468351548269,22.212370427482224,4.650434938570531,34.285619834710744,444.180117385476,5466
4028,#4028,6.332055289635636,61.25324828726671,36.85643212508884,51.01524840137728,9.21296214045872,5.54798331015299,8.625582168995342,135.25560772039645,4.805311538604099,14.650939398220086,23.572435110686847,7.379468351548269,22.212370427482224,4.650434938570531,52.79140792018731,444.1614871286713,5467
