TOKEN_ID,TOKEN_NAME,Hat,Ear,Hair,Beard,Clothes,Skin,Background,Eyes,Mouth,Cheek,Face
8104,BUTTHEAD #8104,,,Undercut Blonde,Scruff Blonde,Punk Leather Jacket,Brown,Green,Burglar,,,
8105,BUTTHEAD #8105,Chatham Fedora,Diamond,Curly Blonde,,Biker Vest,White,Green,Hippie,,,
8106,BUTTHEAD #8106,,,Half Bald,Gentlemen Mustache Blonde,Bathrobe,Brown with tattoos,Gradient,Speed,,,
8107,BUTTHEAD #8107,Beanie Black,,Dreads Colorful,Scruff Brown,College Sweater,Dark Brown,Grey,Joke,,,
8108,BUTTHEAD #8108,,,Undercut Blue,,Jeans Jacket,White,Magenta,Pineapple,Corn Straw,,
8109,BUTTHEAD #8109,Cowboy Hat Brown,,Sissy Brown,Mustache Pink,Bomber Jacket,Brown,Sand,Broken,,,
8110,BUTTHEAD #8110,Beanie Black,,Suave ,,Leather Jacket,White,Peach,Burglar,,,
8111,BUTTHEAD #8111,Mesh Cap Buttheads,Diamond,Average Brown,Mustache Blonde,Denim Jacket Sheep,Dark Brown,Green,Sweets,,,
8112,BUTTHEAD #8112,Top Hat,,Pompadour Blonde,Three-Day Black,Fight Club,Porcelain,Sand,Hippie,,,
8113,BUTTHEAD #8113,Headband Sport,,Average Blonde,Three-Day Blonde,Gentlemen,Brown with tattoos,Sand,Googly Eyes,,,
8114,BUTTHEAD #8114,Chatham Fedora,,Mob-Top,,Gentlemen,Dark Brown,Sand,3D,Corn Straw,,
8115,BUTTHEAD #8115,Visor Green,Safety Pin,Shoulder Long Colorful,,Turtleneck Sweater,Dark Brown,Beige,,Pipe,,
8116,BUTTHEAD #8116,,Earring,Afro,Scruff Brown,Evel Knievel,Light,Pastel Green,Kiss,Corn Straw,,
8117,BUTTHEAD #8117,Mesh Cap Fish,,Short,Gentlemen Mustache Brown,Prison Shirt,Dark Brown,Green,Broken,,,
8118,BUTTHEAD #8118,Top Hat,,Short,Scruff Brown,Gym Tank Top,White,Beige,Black Sunglasses ,Rainbow,,
8119,BUTTHEAD #8119,Beanie Red,,Emo Dark Blonde,,Suit,Dark Brown with tattoos,Green,Sweets,,,
8120,BUTTHEAD #8120,,,Afro,,Tank Top,Brown,Peach,Star,Toothpick,,
8121,BUTTHEAD #8121,Halo,Headphones,Undercut Pink,Full Blonde,Striped Red T-Shirt,Dark Brown,Gradient,,,,
8122,BUTTHEAD #8122,Paper Crown,,Mullet Brown,,Ice Hockey,Brown,Pastel Green,,Cigar,Scar,
8123,BUTTHEAD #8123,Charlie Chaplin,Headphones,Suave ,Gentlemen Mustache Blonde,Gigolo Outfit,Light,Green,,Pipe,,
8124,BUTTHEAD #8124,Prison,,Bowl Brown,Mustache Pink,Lumberjack,White,Peach,,,,
8125,BUTTHEAD #8125,,,Bowl Brown,Mustache Brown,Punk Leather Jacket,Dark Brown,Sand,3D,Straw,,
8126,BUTTHEAD #8126,,,Suave ,,Leather Jacket,Light,Cyan,Broken,,,
8127,BUTTHEAD #8127,Police,,Short,,Flamingo,White,Cyan,Sweets,,,
8128,BUTTHEAD #8128,,,Afro,,Fan Shirt,Brown,Peach,Pineapple,,,
8129,BUTTHEAD #8129,Cowboy Hat Brown,,Mullet Brown,,Flamingo,Light,Beige,,,,
8130,BUTTHEAD #8130,,,Punk Red,,T-Shirt Lilac,White with tattoos,Peach,Lolita,,,
8131,BUTTHEAD #8131,Pizza,,,Scruff Black,College Sweater,Light,Magenta,,,,
8132,BUTTHEAD #8132,,,Half Bald,Gentlemen Mustache Brown,Hawaii Shirt Red,Brown,Green,Speed,Toothpick,,
8133,BUTTHEAD #8133,Bucket Hat Orange,,Mob-Top,Scruff Blonde,Bullseye Shirt,White with tattoos,Sand,,,,
8134,BUTTHEAD #8134,Mesh Cap Fish,Earring,20s,Mustache Blonde,Beige Shirt,Brown,Peach,,,,
8135,BUTTHEAD #8135,,,Slicked Back,Full Brown,Prison Shirt,White,Sand,Spring,,,
8136,BUTTHEAD #8136,Cowboy Hat Brown,Feather,Bowl Colorful,,Ice Hockey,Brown with tattoos,Beige,Hippie,,,
8137,BUTTHEAD #8137,Pizza,,Fringe,Mustache Brown,Hoodie,White,Beige,Speed,,,
8138,BUTTHEAD #8138,Visor Green,,20s,Full Brown,Pimp Coat Zebra,White with tattoos,Beige,Las Vegas,,,
8139,BUTTHEAD #8139,,,Jude,Scruff Brown,Space Shirt,White,Sand,,,,
8140,BUTTHEAD #8140,Hat Black,,Undercut Pink,Mustache Pink,T-Shirt Inkwell,Light,Green,,Corn Straw,,
8141,BUTTHEAD #8141,,,,Three-Day Black,Beige Shirt,Brown,Sand,Insect,Corn Straw,,
8142,BUTTHEAD #8142,Party,,Nick Bowl Colorful,,Leather Jacket,Brown,Magenta,Kiss,,,
8143,BUTTHEAD #8143,Flower Crown,,Shoulder Long Colorful,,Striped Blue T-Shirt,Gold,Sand,Insect,Pipe,,
8144,BUTTHEAD #8144,Visor Red,,20s,Scruff Brown,Party Tank Top,Infrared,Green,Broken,,,
8145,BUTTHEAD #8145,Police,,Undercut Blue,,Fan Shirt,White,Pastel Green,Star,,,
8146,BUTTHEAD #8146,Prison,,Shoulder Long Orange,,Bathrobe,Brown with tattoos,Beige,Googly Eyes,,,
8147,BUTTHEAD #8147,FEZ,Feather,Nick Bowl Colorful,Three-Day Blonde,Lumberjack,Light,Pastel Green,Googly Eyes,,,
8148,BUTTHEAD #8148,Hat Black,,Average Blonde,Mustache Pink,Tank Top,Brown,Cyan,,Bubble Gum,,
8149,BUTTHEAD #8149,,Diamond,Short,Three-Day Brown,Gentlemen,Light with tattoos,Gradient,Buttons,Bubble Gum,,
8150,BUTTHEAD #8150,Cowboy Hat Black,,Dreads Colorful,Mustache Pink,Striped Blue T-Shirt,Brown,Pastel Green,,Pipe,,
