TOKEN_ID,TOKEN_NAME,Hat,Ear,Hair,Beard,Clothes,Skin,Background,Eyes,Mouth,Cheek,Face
0,BUTTHEAD #0,Party,Triple Earring,Undercut Blue,Gentlemen Mustache Brown,Polo Shirt,Dark Brown with tattoos,Gradient,,,,
1,BUTTHEAD #1,,,Punk Red,Gentlemen Mustache Blonde,Party Tank Top,Dark Brown,Pastel Green,Leon,,,
2,BUTTHEAD #2,FEZ,,Emo Black,,Band Shirt,White with tattoos,Grey,,Straw,,
3,BUTTHEAD #3,,Headphones,Punk Green,Three-Day Brown,Jeans Jacket,White,Peach,,,,
4,BUTTHEAD #4,Snapback Red,,Crop,,Beige Shirt,Porcelain,Sand,Buttons,,,
5,BUTTHEAD #5,Halo,,Sissy Dark Blonde,,Beige Shirt,White,Grey,,,,
6,BUTTHEAD #6,,,Emo Dark Blonde,,College Sweater,White,Magenta,Black Sunglasses ,Cigar,,
7,BUTTHEAD #7,Flat Cap Black,,Shoulder Long Orange,Full Blonde,Hoodie,Brown with tattoos,Grey,Insect,Rainbow,,
8,BUTTHEAD #8,Police,Safety Pin,Mullet Blonde,Scruff Black,T-Shirt with Suspenders,White with tattoos,Sand,Matrix,,,
9,BUTTHEAD #9,,,Half Bald,,Dungarees ,Light,Grey,Steam Punk,Corn Straw,,
10,BUTTHEAD #10,,,Nick Bowl Colorful,Full Brown,Pimp Coat Multicolor Pink,Light with tattoos,Beige,,,,
11,BUTTHEAD #11,,,Average Blonde,Full Grey,Fight Club,Dark Brown with tattoos,Grey,Googly Eyes,,,
12,BUTTHEAD #12,,Earring,Punk Green,Mustache Pink,Lumberjack,Brown,Beige,Kiss,,,
13,BUTTHEAD #13,Beer,,Short,,Bullseye Shirt,Light,Cyan,Bike,Cigarette,,
14,BUTTHEAD #14,Safety Helmet,Safety Pin,Suave ,,Jeans Jacket,Brown,Sand,,,,
15,BUTTHEAD #15,Party,,,,T-Shirt Lilac,Infrared,Gradient,,Pipe,,
16,BUTTHEAD #16,,,Mob-Top,Mustache Brown,American Football,Light,Sand,,,,
17,BUTTHEAD #17,,,Sissy Brown,Three-Day Black,Gentlemen,Brown,Beige,Broken,Bubble Gum,,
18,BUTTHEAD #18,Beanie Red,,Crop,,Ripped Shirt,White,Gradient,Monocle,,,
19,BUTTHEAD #19,Pizza,,Nick Bowl Colorful,Three-Day Blonde,Lumberjack,Light,Peach,,,,
20,BUTTHEAD #20,Flat Cap Black,Headphones,Crop,,Shirt and Sweater,Light,Peach,,,,
21,BUTTHEAD #21,Turban,Triple Earring,Fringe,Full Blonde,Punk Leather Jacket,Dark Brown,Cyan,,Pipe,,
22,BUTTHEAD #22,,,Sissy Brown,Scruff Blonde,Shirt Dark,Brown with tattoos,Cyan,,,,
23,BUTTHEAD #23,Sailor,,Emo Dark Blonde,,Tracksuit,Dark Brown,Magenta,Black Sunglasses ,Rainbow,,
24,BUTTHEAD #24,Pizza,,Suave ,,Beige Shirt,Brown,Peach,,,,
25,BUTTHEAD #25,Beret,,Dreads Colorful,Gentlemen Mustache Blonde,Prison Shirt,Light with tattoos,Grey,,Cigarette,,
26,BUTTHEAD #26,Beanie Black,Headphones,Average Blonde,Scruff Black,Punk Leather Jacket,Dark Brown,Magenta,,,,
27,BUTTHEAD #27,Hat Black,Diamond,20s,,Space Shirt,White,Grey,,,,
28,BUTTHEAD #28,Mesh Cap Buttheads,,Fringe,Full Grey,Striped Blue T-Shirt,White,Peach,Laser,,,
29,BUTTHEAD #29,,,Clown,Mustache Pink,Punk Leather Jacket,Brown with tattoos,Cyan,Laser,,,
30,BUTTHEAD #30,,,Shoulder Long Colorful,,Caveman,Brown,Magenta,Monocle,,,
31,BUTTHEAD #31,,Earring,Shoulder Long Orange,Three-Day Brown,Bullseye Shirt,Brown,Magenta,Hippie,,,
32,BUTTHEAD #32,Hat Black,,Mullet Blonde,,Hoodie,Light,Magenta,Lolita,,,
33,BUTTHEAD #33,,,Punk Red,,Prison Shirt,White,Cyan,Pineapple,Corn Straw,,
34,BUTTHEAD #34,Mesh Cap Buttheads,,Slicked Back,Three-Day Brown,Punk Leather Jacket,Dark Brown,Peach,,Bubble Gum,,
35,BUTTHEAD #35,Pizza,,Long Blonde,Three-Day Black,Dude,Dark Brown,Gradient,,Cigar,,
36,BUTTHEAD #36,,Safety Pin,Very Short,,Shirt and Sweater,Light,Grey,Hippie,,,
37,BUTTHEAD #37,Snapback Red,,Crop,,T-Shirt Lilac,Gold,Sand,,,,
38,BUTTHEAD #38,,,Bowl Colorful,Gentlemen Mustache Blonde,College Sweater,Light,Sand,Lolita,,,
39,BUTTHEAD #39,Cowboy Hat Brown,,Dreads Colorful,,Ice Hockey,Light,Peach,Lolita,,,
40,BUTTHEAD #40,Visor Red,,Suave ,Mustache Brown,Desert Jacket,Brown,Green,,,,
41,BUTTHEAD #41,,,,Mustache Pink,T-Shirt Lilac,Brown,Green,Steam Punk,Corn Straw,,
42,BUTTHEAD #42,Mesh Cap Fish,,Mullet Brown,,Dungarees ,White,Peach,Speed,Bubble Gum,,
43,BUTTHEAD #43,,,Dreads Brown,Mustache Blonde,Gigolo Outfit,Light,Grey,Hippie,,,
44,BUTTHEAD #44,Bucket Hat Orange,,Sissy Dark Blonde,Three-Day Brown,Flamingo,Brown,Sand,X-Ray,Cigar,,
45,BUTTHEAD #45,Charlie Chaplin,,Shoulder Long Orange,,Shirt and Sweater,Brown,Gradient,,,,
46,BUTTHEAD #46,Halo,,20s,Scruff Brown,Punk Leather Jacket,White,Green,,,,
47,BUTTHEAD #47,,,Very Short,Gentlemen Mustache Blonde,Ice Hockey,Light,Peach,Sweets,,,
48,BUTTHEAD #48,,,Punk Red,Scruff Brown,Polo Shirt,Light,Sand,Star,,,
49,BUTTHEAD #49,Bucket Hat Orange,Safety Pin,Slicked Back,Three-Day Black,Dressing Gown,White,Sand,,Toothpick,,
50,BUTTHEAD #50,,,Afro Pink,,Beige Shirt,White,Grey,,,,
51,BUTTHEAD #51,,Triple Earring,Short,Gentlemen Mustache Brown,Band Shirt,White,Grey,Kiss,,,
52,BUTTHEAD #52,Mesh Cap Fish,Headphones,Mullet Brown,,Caveman,Dark Brown with tattoos,Beige,Hippie,,,
53,BUTTHEAD #53,,Earring,,Gentlemen Mustache Brown,T-Shirt with Suspenders,Dark Brown,Gradient,Pineapple,,,
54,BUTTHEAD #54,Bucket Hat Orange,,Undercut Blonde,,Ice Hockey,Dark Brown with tattoos,Cyan,Buttons,Rainbow,,
55,BUTTHEAD #55,Halo,,Long Brown,Full Grey,Joker,Light,Cyan,,,,
56,BUTTHEAD #56,Bucket Hat Army,,Emo Black,,Gigolo Outfit,Light,Grey,Joke,,,
57,BUTTHEAD #57,Beanie Green,,Average Brown,,Striped Red T-Shirt,White,Beige,Steam Punk,Cigarette,,
58,BUTTHEAD #58,Ranger Hat,,Shoulder Long Orange,,Suit,Brown with tattoos,Sand,Pineapple,,,
59,BUTTHEAD #59,,Diamond,Afro Pink,Mustache Blonde,Western Cowboy Jacket,Light,Green,,,,
60,BUTTHEAD #60,FVCK Cap,,Emo Black,Mustache Pink,Hawaii Shirt Green,Light,Cyan,,Straw,,
61,BUTTHEAD #61,,,Punk Red,Mustache Pink,Flamingo,Light with tattoos,Peach,Buttons,,,
62,BUTTHEAD #62,Ranger Hat,,Emo Dark Blonde,,Dungarees ,Brown,Beige,Pineapple,,,
63,BUTTHEAD #63,,Headphones,Pompadour Blonde,Full Grey,Tank Top,Light,Beige,,,,
64,BUTTHEAD #64,Top Hat,,Slicked Back,Three-Day Blonde,Party Tank Top,Brown with tattoos,Cyan,,,,
65,BUTTHEAD #65,,,Mullet Brown,,Prison Shirt,Brown,Magenta,Burglar,,,
66,BUTTHEAD #66,Cowboy Hat Black,Earring,Curly Brown,Gentlemen Mustache Brown,Flamingo,Light,Pastel Green,,,,
67,BUTTHEAD #67,,,Sissy Brown,Mustache Brown,Fleece Jacket,Dark Brown,Gradient,,Straw,,
68,BUTTHEAD #68,,,Afro,Scruff Blonde,American Football,Brown,Cyan,,,,
69,BUTTHEAD #69,Bear,,Sissy Brown,Mustache Blonde,Pimp Coat Multicolor Purple,Dark Brown,Magenta,,,,
70,BUTTHEAD #70,Headband Sport,,,Full Brown,Dungarees ,Light,Green,,,,
71,BUTTHEAD #71,,,Undercut Blue,,Party Tank Top,Brown with tattoos,Cyan,Bike,,,
72,BUTTHEAD #72,Beanie Green,,Bowl Brown,Mustache Pink,Western Cowboy Jacket,Light,Magenta,,Straw,,
73,BUTTHEAD #73,,,Dreads Colorful,Scruff Brown,Striped Blue T-Shirt,Light with tattoos,Pastel Green,,,,
74,BUTTHEAD #74,Halo,,Average Blonde,,Fleece Jacket,White with tattoos,Pastel Green,Burglar,,,
75,BUTTHEAD #75,,Earring,Short,,Caveman,Light,Beige,Steam Punk,Cigar,,
76,BUTTHEAD #76,Mesh Cap Fish,,Mullet Brown,Full Brown,American Football,White,Gradient,Star,,,
77,BUTTHEAD #77,Hat Beige,,Slicked Back,Scruff Blonde,Dude,Light,Peach,,,,
78,BUTTHEAD #78,,,Dreads Colorful,,Denim Jacket Sheep,White,Magenta,,,,
79,BUTTHEAD #79,Beer,Feather,Emo Dark Blonde,,T-Shirt Inkwell,Brown,Green,Hippie,,,
80,BUTTHEAD #80,Bucket Hat Orange,,20s,Scruff Black,Ripped Shirt,Dark Brown,Grey,,Cigarette,,
81,BUTTHEAD #81,,,Undercut Pink,,Turtleneck Sweater,White with tattoos,Gradient,Monocle,,,
82,BUTTHEAD #82,Snapback Mesh,,Clown,,Dungarees ,Dark Brown,Cyan,,,,
83,BUTTHEAD #83,Beanie Red,,Sissy Brown,Gentlemen Mustache Brown,Striped Red T-Shirt,Light,Grey,Broken,,,
84,BUTTHEAD #84,,Diamond,Very Short,,Striped Red T-Shirt,Light with tattoos,Pastel Green,Laser,,,
85,BUTTHEAD #85,,,Undercut Blonde,,Bomber Jacket,Dark Brown,Peach,3D,,,
86,BUTTHEAD #86,Turban,Headphones,Curly Brown,Gentlemen Mustache Pink,Bomber Jacket,White with tattoos,Green,Bike,,,
87,BUTTHEAD #87,Snapback Mesh,Headphones,Crop,Gentlemen Mustache Brown,Clown,Light,Beige,3D,,,
88,BUTTHEAD #88,,,Curly Blonde,Scruff Black,Gym Tank Top,Light,Gradient,,,,
89,BUTTHEAD #89,McButtheads,Safety Pin,Mullet Brown,,American Football,Light,Green,,Toothpick,,
90,BUTTHEAD #90,Flower Crown,,Sissy Dark Blonde,,Joker,Dark Brown,Peach,,Corn Straw,,
91,BUTTHEAD #91,,,Brain,,Striped Red T-Shirt,Brown with tattoos,Magenta,Speed,Cigarette,,
92,BUTTHEAD #92,Beanie Red,,Nick Bowl Brown,,Hawaii Shirt Green,White with tattoos,Pastel Green,Matrix,,,
93,BUTTHEAD #93,Hermes,,20s,Three-Day Blonde,Puffer Jacket,Brown,Beige,Lolita,Cigarette,,
94,BUTTHEAD #94,,,Suave ,,Western Cowboy Jacket,Dark Brown,Pastel Green,Lolita,,,
95,BUTTHEAD #95,,Triple Earring,Undercut Blue,Three-Day Black,College Sweater,Dark Brown with tattoos,Cyan,Broken,,,
96,BUTTHEAD #96,,,Nick Bowl Colorful,Three-Day Blonde,Denim Jacket Sheep,Dark Brown,Green,Steam Punk,,,
97,BUTTHEAD #97,Prison,,Undercut Blonde,Gentlemen Mustache Blonde,Tank Top,Light,Magenta,X-Ray,,,
98,BUTTHEAD #98,Prison,,Mob-Top,,Flamingo,White with tattoos,Magenta,,,,
99,BUTTHEAD #99,Beer,,20s,Scruff Blonde,Dungarees ,Brown with tattoos,Gradient,Burglar,,,
100,BUTTHEAD #100,Commie Hat,,Bowl Colorful,Mustache Blonde,Fcuk Tank Top,Dark Brown with tattoos,Peach,,Corn Straw,,
101,BUTTHEAD #101,Beanie Black,,Fringe,Gentlemen Mustache Brown,Gym Tank Top,Brown,Grey,,,,
102,BUTTHEAD #102,Flat Cap Black,Safety Pin,,Three-Day Brown,American Football,White with tattoos,Grey,,,,
103,BUTTHEAD #103,FVCK Cap,,,,Clown,Brown,Magenta,Star,,,
104,BUTTHEAD #104,FEZ,,Sissy Brown,Gentlemen Mustache Pink,Jeans Jacket,White with tattoos,Grey,,,,
105,BUTTHEAD #105,Beanie Red,,Nick Bowl Brown,,Space Suit,Brown,Sand,Pineapple,,,
106,BUTTHEAD #106,Mesh Cap Fish,,Classic Side Part,Full Grey,Marty,Brown,Beige,,,,
107,BUTTHEAD #107,Top Hat,,Jude,Mustache Pink,T-Shirt French Blue,White,Cyan,Googly Eyes,,,
108,BUTTHEAD #108,Commie Hat,,Average Blonde,Gentlemen Mustache Brown,Suit,Dark Brown,Sand,Speed,,,
109,BUTTHEAD #109,Bucket Hat Orange,Diamond,Nick Bowl Brown,,College Sweater,White,Grey,Star,,,
110,BUTTHEAD #110,,,Average Blonde,Mustache Blonde,Dungarees ,White,Grey,Kiss,,,
111,BUTTHEAD #111,,,Clown,Gentlemen Mustache Pink,Space Shirt,Brown,Pastel Green,Broken,,,
112,BUTTHEAD #112,Safety Helmet,,Average Blonde,,Fan Shirt,Brown,Gradient,Sweets,Corn Straw,,
113,BUTTHEAD #113,Bandana Black,Feather,Slicked Back,Mustache Pink,T-Shirt Marigold,Light with tattoos,Sand,Lolita,,,
114,BUTTHEAD #114,Visor Green,Triple Earring,Undercut Blonde,Scruff Brown,Pimp Coat Multicolor Pink,Porcelain,Green,Googly Eyes,,,
115,BUTTHEAD #115,Visor Red,,Average Brown,Full Blonde,Gym Tank Top,Dark Brown,Beige,,,,
116,BUTTHEAD #116,,Safety Pin,Short,Three-Day Black,Gym Tank Top,Brown,Peach,Speed,Bubble Gum,,
117,BUTTHEAD #117,Flower Crown,,Undercut Blonde,Full Grey,Striped Blue T-Shirt,White,Beige,,,,
118,BUTTHEAD #118,Mesh Cap Fish,,Clown,,Joker,Light with tattoos,Green,Steam Punk,,,
119,BUTTHEAD #119,Prison,,Mullet Blonde,,Suit,Light,Green,3D,Corn Straw,,
120,BUTTHEAD #120,Snapback Red,,Undercut Pink,,Shirt and Sweater,Dark Brown with tattoos,Beige,Monocle,Toothpick,,
121,BUTTHEAD #121,,,Emo Black,Three-Day Black,Dude,White,Peach,,Cigar,,
122,BUTTHEAD #122,,,Dreads Brown,,Western Cowboy Jacket,Light with tattoos,Gradient,,,,
123,BUTTHEAD #123,,,Undercut Blonde,Scruff Brown,Desert Jacket,Brown,Beige,,,,
124,BUTTHEAD #124,Beer,Headphones,Mullet Blonde,Three-Day Brown,Fan Shirt,Dark Brown,Grey,,,,
125,BUTTHEAD #125,FVCK Cap,,Pompadour Blonde,,Striped Red T-Shirt,Infrared,Beige,Broken,Corn Straw,,
126,BUTTHEAD #126,Commie Hat,,Mullet Brown,Gentlemen Mustache Pink,Band Shirt,Dark Brown,Gradient,,Bubble Gum,,
127,BUTTHEAD #127,Visor Green,Triple Earring,20s,Gentlemen Mustache Blonde,T-Shirt French Blue,Brown,Green,,,,
128,BUTTHEAD #128,,,Bowl Brown,,Western Cowboy Jacket,White,Gradient,,,,
129,BUTTHEAD #129,Flat Cap Black,,Crop,Mustache Blonde,Puffer Jacket,White,Cyan,,,,
130,BUTTHEAD #130,,,Punk Red,,Gigolo Outfit,Light with tattoos,Peach,Monocle,,,
131,BUTTHEAD #131,Party,Triple Earring,Undercut Blonde,Three-Day Brown,Polo Shirt,Brown,Peach,Black Sunglasses ,Cigar,,
132,BUTTHEAD #132,,,Nick Bowl Colorful,,Beige Shirt,Brown,Cyan,Kiss,,,
133,BUTTHEAD #133,Snapback Mesh,,Dreads Brown,Scruff Blonde,Punk Leather Jacket,Brown,Magenta,Matrix,,,
134,BUTTHEAD #134,,,Long Brown,,Dude,Light with tattoos,Sand,,,,
135,BUTTHEAD #135,,Earring,Average Brown,Full Grey,Striped Red T-Shirt,White with tattoos,Sand,X-Ray,Pipe,,
136,BUTTHEAD #136,Cowboy Hat Black,,Pompadour Blue,,Puffer Jacket,White,Cyan,Kiss,,,
137,BUTTHEAD #137,Turban,,Jude,,Bathrobe,Light with tattoos,Grey,,,,
138,BUTTHEAD #138,Sailor,,Suave ,Three-Day Blonde,Prison Shirt,Dark Brown,Peach,Googly Eyes,,,
139,BUTTHEAD #139,,Feather,Shoulder Long Colorful,,Ice Hockey,Light with tattoos,Peach,Broken,,,
140,BUTTHEAD #140,,Feather,Pompadour Blue,,Striped Blue T-Shirt,Brown,Pastel Green,Speed,,,
141,BUTTHEAD #141,Bucket Hat Army,,Fringe,,College Sweater,Gold,Beige,Leon,,,
142,BUTTHEAD #142,Safety Helmet,,Mob-Top,Mustache Brown,Ripped Shirt,White with tattoos,Grey,Hippie,,,
143,BUTTHEAD #143,Party,Safety Pin,Dreads Brown,,Tracksuit,White with tattoos,Green,Joke,,,
144,BUTTHEAD #144,Beret,Triple Earring,Long Blonde,Full Brown,Gentlemen,White,Grey,,,,
145,BUTTHEAD #145,Headband Sport,,Nick Bowl Brown,Scruff Brown,Fan Shirt,White,Peach,Kiss,,,
146,BUTTHEAD #146,,,Emo Black,Gentlemen Mustache Brown,Worn Out,Dark Brown,Magenta,Buttons,,,
147,BUTTHEAD #147,Flower Crown,,Curly Blonde,,Gym Tank Top,Light with tattoos,Beige,,,,
148,BUTTHEAD #148,Police,,Curly Blonde,,Punk Leather Jacket,Brown,Cyan,Joke,,,
149,BUTTHEAD #149,,,Punk Green,,Space Shirt,Brown,Pastel Green,Joke,,,
150,BUTTHEAD #150,Crown,,Curly Blonde,Three-Day Black,Beige Shirt,White with tattoos,Magenta,Insect,,,
151,BUTTHEAD #151,Top Hat,,Nick Bowl Brown,,Gentlemen,Light,Cyan,,Cigarette,,
152,BUTTHEAD #152,Flower Crown,Safety Pin,Undercut Blue,,Fan Shirt,White,Magenta,,,,
153,BUTTHEAD #153,Beanie Red,Earring,Very Short,,Space Suit,Light with tattoos,Pastel Green,Hippie,,,
154,BUTTHEAD #154,Snapback Mesh,Feather,20s,,Shirt Dark,Light,Sand,Googly Eyes,,,
155,BUTTHEAD #155,Beanie Red,,Shoulder Long Orange,Mustache Pink,Fan Shirt,Porcelain,Gradient,X-Ray,Cigar,,
156,BUTTHEAD #156,,,20s,Scruff Black,Worn Out,Light,Pastel Green,,,,
157,BUTTHEAD #157,,Feather,Punk Red,,Striped Red T-Shirt,Light with tattoos,Gradient,Broken,,,
158,BUTTHEAD #158,FEZ,Safety Pin,Bowl Brown,,Bomber Jacket,White,Magenta,Pineapple,Cigarette,,
159,BUTTHEAD #159,Snapback Red,,Undercut Blonde,,Tracksuit,Infrared,Beige,Pineapple,,,
160,BUTTHEAD #160,Beanie Green,,Curly Blonde,Full Brown,Ripped Shirt,Dark Brown,Beige,Insect,,,
161,BUTTHEAD #161,,,Brain,Mustache Blonde,Dressing Gown,Dark Brown with tattoos,Grey,Buttons,Bubble Gum,,
162,BUTTHEAD #162,,Earring,Emo Black,,Flamingo,Light,Magenta,Googly Eyes,,,
163,BUTTHEAD #163,Bucket Hat Army,Feather,Crop,,Dungarees ,Brown with tattoos,Grey,Sweets,,,
164,BUTTHEAD #164,,,Afro,Full Grey,Biker Vest,Light with tattoos,Sand,Lolita,Pipe,,
165,BUTTHEAD #165,Visor Red,Triple Earring,Fringe,Mustache Blonde,Striped Red T-Shirt,Dark Brown,Beige,Pineapple,,,
166,BUTTHEAD #166,Beanie Black,,Average Brown,,Space Suit,Light,Cyan,Pineapple,Cigar,,
167,BUTTHEAD #167,Flat Cap Black,,Crop,,T-Shirt Inkwell,Brown with tattoos,Gradient,,,,
168,BUTTHEAD #168,,,Nick Bowl Colorful,,Clown,White,Pastel Green,Pineapple,Cigarette,,
169,BUTTHEAD #169,Chatham Fedora,Feather,Short,,Hoodie,Dark Brown,Cyan,3D,,,
170,BUTTHEAD #170,Cowboy Hat Brown,,Average Brown,,Band Shirt,Brown,Sand,Sweets,,,
171,BUTTHEAD #171,,,Brain,,Tank Top,Infrared,Beige,Broken,Bubble Gum,,
172,BUTTHEAD #172,Beanie Black,,Undercut Blue,,T-Shirt Marigold,White,Sand,,,,
173,BUTTHEAD #173,,,Afro,Gentlemen Mustache Brown,Joker,Brown,Grey,Kiss,,,
174,BUTTHEAD #174,,,Curly Brown,,Pimp Coat Tiger,Dark Brown with tattoos,Gradient,Broken,,,
175,BUTTHEAD #175,,,Average Brown,,Marty,Porcelain,Grey,,,,
176,BUTTHEAD #176,,Safety Pin,Suave ,Gentlemen Mustache Brown,Striped Blue T-Shirt,Light,Green,3D,,,
177,BUTTHEAD #177,Snapback Red,,Half Bald,Full Grey,Band Shirt,Dark Brown,Magenta,Broken,,,
178,BUTTHEAD #178,,,Short,,Ripped Shirt,Brown,Peach,,Corn Straw,,
179,BUTTHEAD #179,Top Hat,,Pompadour Blue,Full Grey,Beige Shirt,Dark Brown,Sand,,Bubble Gum,Blush,
180,BUTTHEAD #180,Party,,Suave ,Scruff Black,Turtleneck Sweater,White,Grey,Monocle,Corn Straw,,
181,BUTTHEAD #181,Bucket Hat Army,,Nick Bowl Brown,Gentlemen Mustache Brown,College Sweater,Light,Grey,Broken,,Scar,
182,BUTTHEAD #182,,,Undercut Pink,Three-Day Black,Pimp Coat Zebra,Dark Brown with tattoos,Magenta,Black Sunglasses ,,,
183,BUTTHEAD #183,,,Undercut Blonde,Three-Day Brown,Space Suit,Dark Brown,Cyan,,,,
184,BUTTHEAD #184,,,Nick Bowl Colorful,Gentlemen Mustache Blonde,Striped Blue T-Shirt,Dark Brown,Beige,Speed,Cigarette,,
185,BUTTHEAD #185,,,Curly Brown,Gentlemen Mustache Pink,Worn Out,Brown with tattoos,Magenta,,,,
186,BUTTHEAD #186,Police,,Short,,Bullseye Shirt,White,Cyan,Monocle,,,
187,BUTTHEAD #187,,,Jude,,T-Shirt Lilac,Gold,Gradient,,Straw,,
188,BUTTHEAD #188,,,Undercut Blonde,Full Brown,Gentlemen,Light,Grey,,,,
189,BUTTHEAD #189,Snapback Red,,Undercut Blonde,,Beige Shirt,Brown,Green,,Cigar,,
190,BUTTHEAD #190,Commie Hat,,Sissy Brown,Three-Day Blonde,Dude,Light,Beige,Hippie,Bubble Gum,,
191,BUTTHEAD #191,Visor Green,Feather,Classic Side Part,,Bullseye Shirt,Dark Brown with tattoos,Beige,Burglar,,,
192,BUTTHEAD #192,Snapback Mesh,Feather,Shoulder Long Colorful,,Turtleneck Sweater,White with tattoos,Grey,Star,Cigar,,
193,BUTTHEAD #193,Mesh Cap Fish,Triple Earring,Half Bald,,Beige Shirt,Brown,Grey,Ski,Straw,,
194,BUTTHEAD #194,,,Shoulder Long Orange,Scruff Brown,Ice Hockey,White,Cyan,Kiss,,,
195,BUTTHEAD #195,Party,Headphones,Half Bald,Three-Day Black,Striped Red T-Shirt,Brown,Gradient,Lolita,Corn Straw,,
196,BUTTHEAD #196,,,Bowl Brown,,Biker Vest,Light,Cyan,Kiss,Bubble Gum,,
197,BUTTHEAD #197,Halo,,Surfer Curly,,T-Shirt French Blue,White,Green,Spring,Cigar,,
198,BUTTHEAD #198,Paper Crown,,Nick Bowl Colorful,,T-Shirt French Blue,Dark Brown,Magenta,,,,
199,BUTTHEAD #199,,,Afro Pink,Full Brown,Space Shirt,Light with tattoos,Cyan,Hippie,,,
200,BUTTHEAD #200,,,Very Short,,Punk Leather Jacket,Brown with tattoos,Grey,Hippie,Straw,,
201,BUTTHEAD #201,McButtheads,,Shoulder Long Orange,,Marty,Light with tattoos,Sand,Kiss,Toothpick,,
202,BUTTHEAD #202,,,Punk Green,,Polo Shirt,Light,Sand,Joke,,,
203,BUTTHEAD #203,Beanie Red,Triple Earring,Curly Blonde,Gentlemen Mustache Brown,T-Shirt French Blue,White,Sand,,Corn Straw,,
204,BUTTHEAD #204,FEZ,,Average Blonde,Mustache Pink,Punk Leather Jacket,Light with tattoos,Green,Las Vegas,,,
205,BUTTHEAD #205,Sailor,Feather,Bowl Colorful,Three-Day Blonde,T-Shirt Inkwell,Light,Grey,,Straw,,
206,BUTTHEAD #206,,,Punk Red,Mustache Pink,Fight Club,Light,Beige,Googly Eyes,,,
207,BUTTHEAD #207,,,Long Brown,Full Brown,Gym Tank Top,Brown,Pastel Green,,Cigar,,
208,BUTTHEAD #208,,,Clown,,Hoodie,Brown with tattoos,Beige,Las Vegas,Toothpick,,
209,BUTTHEAD #209,,Diamond,Shoulder Long Colorful,Mustache Brown,Gentlemen,Dark Brown,Sand,Hippie,Corn Straw,,
210,BUTTHEAD #210,,Safety Pin,Punk Green,Gentlemen Mustache Brown,Space Shirt,Light,Cyan,,,,
211,BUTTHEAD #211,Beanie Black,,Crop,Scruff Blonde,Ripped Shirt,Brown,Magenta,Buttons,,,
212,BUTTHEAD #212,Safety Helmet,,Short,Three-Day Black,Beige Shirt,White,Pastel Green,Kiss,,,
213,BUTTHEAD #213,Cowboy Hat Black,Safety Pin,Surfer Curly,Full Grey,Bathrobe,White,Green,Steam Punk,,,
214,BUTTHEAD #214,,,Fringe,,Shirt Dark,Light,Beige,Pineapple,Cigarette,,
215,BUTTHEAD #215,,,Afro,,Striped Red T-Shirt,Brown with tattoos,Peach,Las Vegas,,,
216,BUTTHEAD #216,,,Bowl Colorful,,Biker Vest,White,Peach,Lolita,,,
217,BUTTHEAD #217,,Headphones,Crop,,Fleece Jacket,Infrared,Grey,Broken,,,
218,BUTTHEAD #218,Flat Cap Clown,,Nick Bowl Colorful,,Punk Leather Jacket,Brown,Cyan,Sweets,Corn Straw,,
219,BUTTHEAD #219,,Diamond,Mullet Blonde,Full Brown,Polo Shirt,Infrared,Magenta,,Bubble Gum,,
220,BUTTHEAD #220,Flower Crown,,Long Brown,,Suit,Dark Brown,Magenta,,,,
221,BUTTHEAD #221,,,Mob-Top,Scruff Black,Dude,Light,Sand,Matrix,Cigarette,,
222,BUTTHEAD #222,,,Punk Green,Full Blonde,Hoodie,Dark Brown,Cyan,,,,
223,BUTTHEAD #223,Top Hat,Triple Earring,Bowl Brown,Gentlemen Mustache Brown,Denim Jacket Sheep,Light,Grey,,Straw,,
224,BUTTHEAD #224,,,Punk Red,Mustache Brown,Pimp Coat Multicolor Purple,Dark Brown with tattoos,Gradient,,,,
225,BUTTHEAD #225,,,Shoulder Long Colorful,Gentlemen Mustache Brown,Lumberjack,White,Cyan,,,,
226,BUTTHEAD #226,Beanie Black,,Slicked Back,Mustache Brown,Flamingo,White,Magenta,3D,,,
227,BUTTHEAD #227,,Headphones,Emo Black,Three-Day Blonde,Clown,Brown,Gradient,,,,
228,BUTTHEAD #228,Mesh Cap Fish,,Classic Side Part,,Suit,Dark Brown with tattoos,Magenta,Spring,,,
229,BUTTHEAD #229,,,Crop,Scruff Brown,Punk Leather Jacket,White with tattoos,Beige,Kiss,,,
230,BUTTHEAD #230,,,Punk Green,,Fleece Jacket,White,Green,Pineapple,Cigar,,
231,BUTTHEAD #231,Commie Hat,,Half Bald,Three-Day Blonde,T-Shirt Marigold,Brown,Cyan,Matrix,Bubble Gum,,
232,BUTTHEAD #232,Mesh Cap Buttheads,Earring,Clown,Gentlemen Mustache Blonde,Punk Leather Jacket,Dark Brown,Cyan,Matrix,,,
233,BUTTHEAD #233,,,Punk Green,Scruff Black,Gigolo Outfit,Light,Magenta,Black Sunglasses ,Corn Straw,Scar,
234,BUTTHEAD #234,Charlie Chaplin,,Shoulder Long Colorful,Three-Day Blonde,Space Suit,Dark Brown,Grey,Broken,,,
235,BUTTHEAD #235,,,,,,Gold,Gradient,,,,Skull
236,BUTTHEAD #236,,,Fringe,,Jeans Jacket,Brown,Pastel Green,Googly Eyes,Toothpick,,
