TOKEN_ID,TOKEN_NAME,Background,Body,Eyes,Clothes,Head,Mouth,RARITY_SCORE,Rank
1393,Wicked Cranium #1393,90.54189044038668,65.820796460177,68.93376039253101,430.44,64.48642101236773,48.86637681159421,769.0892451170566,1
4484,Wicked Cranium #4484,90.54189044038668,29.456435643564355,24.914630541871922,430.44,81.16947520462206,76.34218867924528,732.8646205096903,2
4377,Wicked Cranium #4377,37.05252747252747,165.28333333333333,20.96182858090186,430.44,17.393458972419012,54.38354838709677,725.5146967462784,3
9410,Wicked Cranium #9410,37.05252747252747,12.16312346688471,24.87908898617738,430.44,55.11846120313863,152.1103759398496,711.7635770685779,4
2664,Wicked Cranium #2664,40.22963728921413,69.83802816901408,73.89932787843367,430.44,51.95880419149374,40.54244488977956,706.9082424179352,5
1175,Wicked Cranium #1175,99.52125147579694,338.0795454545454,41.22988505747126,50.52112676056338,131.57310093652447,35.24508710801394,696.1699967929154,6
4076,Wicked Cranium #4076,48.04017857142858,39.88069705093834,73.89932787843367,430.44,51.95880419149374,40.54244488977956,684.7614525820738,7
6689,Wicked Cranium #6689,48.168285714285716,69.83802816901408,57.36921506352087,430.44,38.56989247311828,33.66169717138103,678.04711859132,8
1525,Wicked Cranium #1525,52.50903239202658,54.489010989010985,41.22988505747126,430.44,41.095880393272125,56.51027932960894,676.27408816139,9
7675,Wicked Cranium #7675,48.04017857142858,28.388358778625953,52.6895509948953,430.44,71.55730050933786,43.600603448275855,674.7159923025636,10
3667,Wicked Cranium #3667,46.5543998527246,56.99425287356321,67.07785145888593,430.44,17.393458972419012,54.38354838709677,672.8435115446895,11
6003,Wicked Cranium #6003,48.04017857142858,69.51168224299064,57.36921506352087,430.44,36.336446583806314,17.130127011007623,658.8276494727539,12
10032,Wicked Cranium #10032,35.3485462678222,28.388358778625953,69.48303338370656,430.44,71.55730050933786,22.50353726362625,657.7207762031189,13
4288,Wicked Cranium #4288,47.97638019351167,69.51168224299064,20.96182858090186,430.44,47.15336565355212,40.3001593625498,656.3434160335061,14
10516,Wicked Cranium #10516,48.04017857142858,54.489010989010985,37.345270619508234,52.74999999999999,131.57310093652447,331.6504918032787,655.8480529197509,15
5796,Wicked Cranium #5796,47.97638019351167,338.0795454545454,96.89022988505748,29.563186813186814,118.22510518934082,17.130127011007623,647.8645745466498,16
3094,Wicked Cranium #3094,48.491562799616496,338.0795454545454,47.135787511649575,40.60754716981132,131.57310093652447,40.3001593625498,646.1877032346971,17
8739,Wicked Cranium #8739,46.5543998527246,41.32083333333333,46.50731034482758,430.44,41.095880393272125,39.902721893491126,645.8211458176488,18
6012,Wicked Cranium #6012,34.870863210148926,54.489010989010985,46.50731034482758,46.18454935622317,131.57310093652447,331.6504918032787,645.2753266400139,19
7216,Wicked Cranium #7216,48.04017857142858,31.853319057815845,54.84352635003253,430.44,38.56989247311828,40.54244488977956,644.2893613421749,20
9276,Wicked Cranium #9276,48.168285714285716,12.16312346688471,41.22988505747126,430.44,43.27603319928126,67.88818791946308,643.1655153573861,21
2965,Wicked Cranium #2965,47.97638019351167,36.018159806295394,46.50731034482758,430.44,27.6526517222526,53.23863157894737,641.8331336458346,22
