TOKEN_ID,TOKEN_NAME,Background,Wings,Skin Base,Mask,EC Logo,Halo,Headwear,Eyes,Clothes,Choker,Chain,Mouth,RARITY_SCORE,Rank
1601,EVOL #0073,21122.18181818182,10.887722586691659,219.19245283018867,19.097813578826237,27.7193987115247,42.55384615384615,97.7878787878788,29.043,31.637254901960787,32.4321608040201,274.63829787234044,20.281424581005588,21927.453068990104,1
4305,EVOL #2777,20.871721164211284,8.052680830416248,25.476315789473688,10561.09090909091,27.68306922435363,9.648837209302325,26.817174515235454,13.186379114642449,9.710130391173522,17.27978580990629,19.935135135135134,45.09782608695652,10784.849964361714,2
3605,EVOL #2077,20.871721164211284,199.26586620926244,297.87692307692305,19.097813578826237,66.42195540308748,178.4516129032258,97.7878787878788,232.344,156.1451612903226,216.94117647058826,263.42857142857144,6.459741992882563,1755.0924223057802,3
3249,EVOL #1721,21.75301938020785,74.11291866028708,297.87692307692305,20.506972639011476,66.42195540308748,178.4516129032258,97.7878787878788,19.201983471074378,39.839506172839506,88.10921501706484,263.42857142857144,37.52325581395349,1205.0138127541252,4
5031,EVOL #3503,21.40038684719536,199.26586620926244,219.19245283018867,50.05256355019388,12.468820435762586,42.55384615384615,3.4451957295373665,57.22758620689655,33.1541095890411,216.94117647058826,11.499331848552337,50.074137931034485,917.2754738020992,5
2226,EVOL #0698,21.553246753246754,232.11188811188813,297.87692307692305,22.32788775706323,12.468820435762586,22.89103448275862,63.690789473684205,3.51716621253406,156.1451612903226,14.544225352112676,40.3375,20.11288088642659,907.5775238327225,6
1534,EVOL #0006,20.871721164211284,8.052680830416248,297.87692307692305,22.32788775706323,41.25426136363637,40.67647058823529,27.81896551724138,58.37788944723618,9.710130391173522,216.94117647058826,19.935135135135134,67.85747663551403,831.7007183773741,7
5933,EVOL #4405,21.271079373798408,232.11188811188813,297.87692307692305,20.078119599032146,12.468820435762586,40.67647058823529,26.817174515235454,27.858992805755395,36.258426966292134,18.626262626262626,43.46127946127947,18.834630350194555,796.3400679106592,8
2324,EVOL #0796,23.287962313320637,10.887722586691659,297.87692307692305,22.614755693984815,26.90723798494499,8.585618210036213,24.696428571428573,33.86938775510204,33.49826989619377,32.4321608040201,263.42857142857144,9.94623287671233,788.0312711979295,9
3200,EVOL #1672,20.871721164211284,232.11188811188813,9.83674851820491,21.122181818181822,12.468820435762586,8.585618210036213,78.0725806451613,13.186379114642449,9.710130391173522,88.10921501706484,274.63829787234044,6.459741992882563,775.1733232915501,10
2828,EVOL #1300,21.75301938020785,232.11188811188813,25.25478260869565,22.09433244579688,26.90723798494499,9.648837209302325,24.696428571428573,232.344,33.38275862068966,33.18251928020565,40.3375,37.52325581395349,739.2365600271131,11
2544,EVOL #1016,21.271079373798408,199.26586620926244,24.849625668449196,116.05594405594407,27.68306922435363,145.57894736842107,27.58119658119658,27.858992805755395,50.160621761658035,32.4321608040201,40.3375,19.310505319148938,732.3855091720078,12
4575,EVOL #3047,22.446526905612984,232.11188811188813,25.476315789473688,20.506972639011476,41.25426136363637,42.01518987341772,26.164864864864864,26.583981693363846,3.990519373454246,216.94117647058826,19.935135135135134,37.52325581395349,714.9500880344002,13
3617,EVOL #2089,20.871721164211284,34.51336898395722,219.19245283018867,21.820435762584523,41.25426136363637,9.648837209302325,24.14214463840399,26.583981693363846,3.990519373454246,31.7539975399754,274.63829787234044,6.459741992882563,714.8697604243008,14
5846,EVOL #4318,21.40038684719536,8.052680830416248,10.262544169611308,116.05594405594407,10.498102295318997,42.55384615384615,26.164864864864864,19.201983471074378,156.1451612903226,14.544225352112676,263.42857142857144,6.459741992882563,694.7680527521607,15
4221,EVOL #2693,20.871721164211284,31.76267942583732,25.70176991150442,21.2925219941349,12.468820435762586,42.55384615384615,3.4451957295373665,27.858992805755395,3.990519373454246,216.94117647058826,263.42857142857144,20.281424581005588,690.597239474209,16
7914,EVOL #6386,21.553246753246754,74.11291866028708,219.19245283018867,19.20198347107438,12.468820435762586,79.02857142857142,27.58119658119658,19.201983471074378,3.990519373454246,14.544225352112676,40.3375,152.8578947368421,684.0713130938109,17
3797,EVOL #2269,23.287962313320637,11.933436055469954,9.83674851820491,21.2925219941349,26.90723798494499,164.31683168316832,24.759590792838875,27.858992805755395,24.571065989847714,32.4321608040201,263.42857142857144,51.31272084805654,681.9378412183338,18
8702,EVOL #7174,22.859504132231407,232.11188811188813,24.849625668449196,21.122181818181822,10.498102295318997,9.648837209302325,24.082089552238806,13.186379114642449,24.571065989847714,11.592276605298608,263.42857142857144,20.11288088642659,678.0634028123976,19
20,EVOL #7380,20.871721164211284,199.26586620926244,25.476315789473688,22.614755693984815,26.07676767676768,21.981456953642383,24.14214463840399,29.635714285714286,9.710130391173522,14.544225352112676,263.42857142857144,20.11288088642659,677.8605504697449,20
8908,EVOL #7380,20.871721164211284,199.26586620926244,25.476315789473688,22.614755693984815,26.07676767676768,21.981456953642383,24.14214463840399,29.635714285714286,9.710130391173522,14.544225352112676,263.42857142857144,20.11288088642659,677.8605504697449,21
2423,EVOL #0895,20.871721164211284,8.052680830416248,297.87692307692305,17.20047379330767,26.27137042062415,178.4516129032258,3.4451957295373665,27.858992805755395,36.39473684210527,18.626262626262626,19.904394757131843,21.26134699853587,676.2157119480364,22
4725,EVOL #3197,20.871721164211284,10.887722586691659,10.262544169611308,19.521424970593177,12.468820435762586,28.963350785340314,54.69491525423729,53.28990825688073,36.258426966292134,11.592276605298608,263.42857142857144,152.8578947368421,675.0975773603326,23
