,TOKEN_ID,USER,SELLER,DATE,RANK,PRICE
0,2359,0xc07ea4405892672f08683d3c2b8490f4b7512d1a,0xaa2c7930e2d3c247f20d6c31ed5fd634101c6097,2021-10-25T04:47:36.994982,966,3.3
1,3341,0x806e0005bb5dad60b17cc19018ef09587529c4e9,0xe61ed4d6722396334ab7589760f0bff5656142eb,2021-10-25T04:40:19.747573,8124,1.58
2,7048,0xa57506db809c55b34623df6e2aa13a966ddb34be,0x2fd48f3a8a0de43d3dd1a0a3795131a288d971b8,2021-10-25T02:48:27.178298,1594,3.99
3,5046,0x9b0388b50ecefb4dbe3e7497493560894ec10b4f,0x9b0388b50ecefb4dbe3e7497493560894ec10b4f,2021-10-25T02:33:22.172995,3838,3.99
4,8466,0x21389a213b7ab32dab0b9b3980a46c5c49984210,0x3954f5742ffe4e3dc5e0a1ffa220605bbedd8a9d,2021-10-25T02:25:13.226869,2617,1.75
5,4206,0x1b52a2f30b17b1036b9b289a057c72380c3c4a3a,0x390b6c1eb275b4ed82a2da635d891674f18b8f11,2021-10-25T01:55:03.617874,3794,1.25
6,6437,0x75169f916cc53b87056f3348301e7ab833dda941,0xe61ed4d6722396334ab7589760f0bff5656142eb,2021-10-25T00:47:22.040880,7524,1.47
7,3814,0x8dc24f29bb67bad92a90dfb7ab58c702b4bd73f1,0xa049a5b30b2b04a152df50379595457a935057f1,2021-10-25T00:03:59.406631,6315,1.47
8,2430,0x2c94f01098c8af8fb65b5c3dbcf18f811c846038,0x2c94f01098c8af8fb65b5c3dbcf18f811c846038,2021-10-24T23:58:58.431519,1901,1.5169
9,2063,0x21869950abf5ec3705643a51aa7d144a7f8b50ca,0x21869950abf5ec3705643a51aa7d144a7f8b50ca,2021-10-24T23:38:08.598087,1295,3.0
10,5104,0x8f0c82cf4edfc3222c44f18082dd97eaa343df1c,0x6885863e1aaa726346e9ea88b7273fe779075e8a,2021-10-24T23:32:23.314584,4954,1.55
11,3058,0x3ebae94838f725343f58102e0903a917d4cd4265,0xe61ed4d6722396334ab7589760f0bff5656142eb,2021-10-24T23:31:09.071350,7629,1.48
12,6654,0x499ac5ffe6a1a33480cfb6ca76a578a133faa09f,0x499ac5ffe6a1a33480cfb6ca76a578a133faa09f,2021-10-24T23:03:19.207973,4096,2.5
13,2086,0xcd211394ef3cf207a0456062fc7303cbe4b2395a,0x39d0792ad8a277af90b91c32eabc2aef37f8c151,2021-10-24T22:42:32.792056,1338,2.687
14,2678,0x4e465d96e5ed67b62a27c6c922c4534e674b2598,0x99dac652a41b5da29ccfd9bdc631e555636a3b64,2021-10-24T22:37:36.140719,2359,1.75
15,5555,0x4f445867482ca12ef8b422d3fea78dc04d8232d2,0x4f445867482ca12ef8b422d3fea78dc04d8232d2,2021-10-24T22:29:23.048923,3185,2.55555
16,8036,0xfaeeb1875df2bf758c06a0b4f9f0bb156eecb28e,0xe61ed4d6722396334ab7589760f0bff5656142eb,2021-10-24T22:08:30.860644,6575,1.45
17,7993,0x8b3383ffb325e3169c26b0d9cd6d0ae8c48f6331,0x3b838b2ce56f17fc56d7edfdb19193c532ecc504,2021-10-24T21:17:30.298334,6922,1.44
18,6135,0xb33eb1550d52750cf97b15d288846ef2b757f09c,0x3a74525601d3c02fd951532711fd3ac36bea262a,2021-10-24T21:14:03.359000,3895,1.888
